arm,birth_threshold,seed,feeding_attempts,eligible_attempts,space_blocked_attempts,births,blocked_fraction_of_eligible
dispersed,40,1400,4146,47,0,47,0.0
dispersed,40,1401,3841,42,0,42,0.0
dispersed,40,1402,4381,42,0,42,0.0
dispersed,40,1403,3646,35,0,35,0.0
dispersed,40,1404,3861,39,0,39,0.0
dispersed,40,1405,3654,33,0,33,0.0
dispersed,40,1406,3976,51,0,51,0.0
dispersed,40,1407,3965,36,0,36,0.0
dispersed,40,1408,4038,38,0,38,0.0
dispersed,40,1409,3544,39,0,39,0.0
dispersed,160,1400,3930,0,0,0,
dispersed,160,1401,3641,0,0,0,
dispersed,160,1402,4088,0,0,0,
dispersed,160,1403,3920,0,0,0,
dispersed,160,1404,3890,0,0,0,
dispersed,160,1405,4055,0,0,0,
dispersed,160,1406,4098,0,0,0,
dispersed,160,1407,3884,0,0,0,
dispersed,160,1408,3553,0,0,0,
dispersed,160,1409,4012,0,0,0,
block,40,1400,5619,109,0,109,0.0
block,40,1401,5666,120,0,120,0.0
block,40,1402,5863,104,0,104,0.0
block,40,1403,5493,106,0,106,0.0
block,40,1404,5806,116,0,116,0.0
block,40,1405,5379,108,0,108,0.0
block,40,1406,5397,100,0,100,0.0
block,40,1407,5724,116,0,116,0.0
block,40,1408,5670,118,0,118,0.0
block,40,1409,5542,120,2,118,0.016666666666666666
block,160,1400,3133,9,0,9,0.0
block,160,1401,2941,4,0,4,0.0
block,160,1402,3049,7,0,7,0.0
block,160,1403,3654,3,0,3,0.0
block,160,1404,3152,6,0,6,0.0
block,160,1405,3119,4,0,4,0.0
block,160,1406,3777,3,0,3,0.0
block,160,1407,3298,5,0,5,0.0
block,160,1408,3718,4,0,4,0.0
block,160,1409,2763,2,0,2,0.0
