treatment,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,initial_mean_genome,late_mean_population,extinction_tick,founder_offspring_min,founder_offspring_max
baseline,0,5000,73,7519,7526,1391,3764,820148,814993,957.0410958904109,14,1,113,444.3875,79.03,,0,6
baseline,1,5000,95,7684,7669,2067,3156,815752,810529,939.7263157894737,19,1,110,524.1625,79.903,,0,12
baseline,2,5000,84,7532,7528,1553,4292,817764,811919,983.6190476190476,8,1,119,484.9875,78.332,,0,8
baseline,3,5000,78,7615,7617,1450,3756,817748,812542,950.1666666666666,15,1,143,519.4625,79.407,,0,5
baseline,4,5000,60,7512,7532,1142,4092,824936,819702,985.75,7,1,117,467.8375,78.805,,0,4
no-mutation,0,5000,97,7430,7413,1895,3356,820016,814765,984.0,1,1,104,444.3875,78.389,,0,5
no-mutation,1,5000,76,7550,7554,1387,3544,818076,813145,966.0,1,1,113,524.1625,80.205,,0,5
no-mutation,2,5000,88,7565,7557,1741,3560,816648,811347,960.0,1,1,115,484.9875,79.38,,0,4
no-mutation,3,5000,92,7524,7512,1842,3360,817692,812490,963.0,1,1,113,519.4625,79.862,,0,4
no-mutation,4,5000,77,7499,7502,1386,3472,825204,820346,989.0,1,1,101,467.8375,78.569,,0,6
