movement_cost,trait,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,late_mean_population,extinction_tick
1,0,100,2000,0,0,80,0,24576,27648,3072,,0,0,,0,56
1,0,101,2000,0,0,80,0,24576,27484,2908,,0,0,,0,60
1,0,102,2000,0,0,80,0,24576,27556,2980,,0,0,,0,56
1,0,103,2000,0,0,80,0,24576,27652,3076,,0,0,,0,64
1,0,104,2000,0,0,80,0,24576,27684,3108,,0,0,,0,56
1,0,105,2000,0,0,80,0,24576,27640,3064,,0,0,,0,56
1,0,106,2000,0,0,80,0,24576,27580,3004,,0,0,,0,52
1,0,107,2000,0,0,80,0,24576,27772,3196,,0,0,,0,64
1,0,108,2000,0,0,80,0,24576,27592,3016,,0,0,,0,48
1,0,109,2000,0,0,80,0,24576,27616,3040,,0,0,,0,64
1,250,100,2000,100,3677,3657,1912,7688,307628,298028,250.0,1,3,51,114.98,
1,250,101,2000,133,3762,3709,2213,6184,307924,299527,250.0,1,2,64,115.586,
1,250,102,2000,124,3721,3677,2408,7548,307028,297072,250.0,1,2,61,111.502,
1,250,103,2000,109,3640,3611,1916,7272,309944,300756,250.0,1,3,53,115.756,
1,250,104,2000,131,3713,3662,2314,6076,307208,298818,250.0,1,3,54,115.032,
1,250,105,2000,80,3742,3742,1434,7856,310048,300758,250.0,1,3,49,116.31,
1,250,106,2000,115,3644,3609,1974,7500,307104,297630,250.0,1,3,56,115.696,
1,250,107,2000,137,3777,3720,2400,7144,310632,301088,250.0,1,2,54,113.946,
1,250,108,2000,140,3722,3662,2612,5948,308880,300320,250.0,1,3,50,114.208,
1,250,109,2000,102,3699,3677,1815,7448,309304,300041,250.0,1,2,55,114.806,
1,500,100,2000,110,3398,3368,1848,5212,328836,321776,500.0,1,2,48,103.186,
1,500,101,2000,94,3400,3386,1734,5228,327592,320630,500.0,1,2,44,100.516,
1,500,102,2000,105,3346,3321,1991,4896,328924,322037,500.0,1,3,46,102.488,
1,500,103,2000,100,3424,3404,2066,4832,331220,324322,500.0,1,3,46,104.262,
1,500,104,2000,97,3459,3442,1718,5064,328824,322042,500.0,1,4,56,103.596,
1,500,105,2000,130,3388,3338,2204,3860,328888,322824,500.0,1,2,47,103.814,
1,500,106,2000,99,3327,3308,2018,5328,327520,320174,500.0,1,3,53,99.59,
1,500,107,2000,101,3397,3376,1935,5696,327588,319957,500.0,1,2,47,100.608,
1,500,108,2000,133,3403,3350,2323,4008,328264,321933,500.0,1,3,56,103.426,
1,500,109,2000,98,3414,3396,1807,4864,331684,325013,500.0,1,1,46,104.27,
1,750,100,2000,92,3177,3165,1679,3576,331688,326433,750.0,1,2,49,90.072,
1,750,101,2000,85,3121,3116,1706,3916,331644,326022,750.0,1,1,49,88.262,
1,750,102,2000,75,3133,3138,1517,4676,331708,325515,750.0,1,2,46,88.6,
1,750,103,2000,74,3205,3211,1401,4124,333328,327803,750.0,1,2,54,90.26,
1,750,104,2000,79,3193,3194,1706,4348,331792,325738,750.0,1,2,51,89.56,
1,750,105,2000,89,3186,3177,1837,4636,332328,325855,750.0,1,2,55,89.27,
1,750,106,2000,89,3165,3156,1754,3676,331268,325838,750.0,1,2,47,88.652,
1,750,107,2000,87,3268,3261,1688,4116,331724,325920,750.0,1,2,58,89.15,
1,750,108,2000,90,3063,3053,1824,4832,334012,327356,750.0,1,3,48,87.956,
1,750,109,2000,81,3166,3165,1365,3880,333912,328667,750.0,1,2,46,91.106,
1,1000,100,2000,101,2994,2973,2031,3700,333676,327945,1000.0,1,3,48,78.604,
1,1000,101,2000,85,3062,3057,1645,3664,334908,329599,1000.0,1,1,43,77.91,
1,1000,102,2000,74,3093,3099,1410,3476,333844,328958,1000.0,1,1,54,78.28,
1,1000,103,2000,62,3084,3102,1200,3696,336328,331432,1000.0,1,3,51,79.964,
1,1000,104,2000,83,3120,3117,1669,3800,333952,328483,1000.0,1,2,59,78.338,
1,1000,105,2000,107,3047,3020,1955,3380,333500,328165,1000.0,1,3,54,78.408,
1,1000,106,2000,78,3094,3096,1570,3364,333532,328598,1000.0,1,1,50,77.778,
1,1000,107,2000,80,3058,3058,1567,3860,334200,328773,1000.0,1,2,58,78.696,
1,1000,108,2000,75,3079,3084,1549,4640,334492,328303,1000.0,1,1,52,77.098,
1,1000,109,2000,84,3088,3084,1632,3628,335928,330668,1000.0,1,3,58,79.544,
4,0,100,2000,0,0,80,0,24576,27648,3072,,0,0,,0,56
4,0,101,2000,0,0,80,0,24576,27484,2908,,0,0,,0,60
4,0,102,2000,0,0,80,0,24576,27556,2980,,0,0,,0,56
4,0,103,2000,0,0,80,0,24576,27652,3076,,0,0,,0,64
4,0,104,2000,0,0,80,0,24576,27684,3108,,0,0,,0,56
4,0,105,2000,0,0,80,0,24576,27640,3064,,0,0,,0,56
4,0,106,2000,0,0,80,0,24576,27580,3004,,0,0,,0,52
4,0,107,2000,0,0,80,0,24576,27772,3196,,0,0,,0,64
4,0,108,2000,0,0,80,0,24576,27592,3016,,0,0,,0,48
4,0,109,2000,0,0,80,0,24576,27616,3040,,0,0,,0,64
4,250,100,2000,69,2663,2674,1316,14640,224196,208240,250.0,1,1,99,46.28,
4,250,101,2000,61,2610,2629,1064,13812,216564,201688,250.0,1,1,105,49.532,
4,250,102,2000,59,2636,2657,1219,16164,222952,205569,250.0,1,2,79,42.638,
4,250,103,2000,47,2645,2678,894,16292,221512,204326,250.0,1,1,92,48.71,
4,250,104,2000,40,2507,2547,789,16292,204388,187307,250.0,1,1,96,49.144,
4,250,105,2000,66,2642,2656,1294,14140,227208,211774,250.0,1,1,87,53.516,
4,250,106,2000,36,2680,2724,720,14708,223080,207652,250.0,1,1,74,47.242,
4,250,107,2000,62,2610,2628,1117,12272,210084,196695,250.0,1,1,111,50.43,
4,250,108,2000,48,2674,2706,1007,15144,224748,208597,250.0,1,1,87,54.366,
4,250,109,2000,52,2606,2634,1010,14084,219520,204426,250.0,1,1,66,52.072,
4,500,100,2000,0,956,1036,0,24576,115892,91316,,0,0,,0,815
4,500,101,2000,37,2502,2545,753,12496,246936,233687,500.0,1,1,91,38.76,
4,500,102,2000,0,38,118,0,24576,35188,10612,,0,0,,0,188
4,500,103,2000,78,2482,2484,1721,12848,248248,233679,500.0,1,1,96,35.044,
4,500,104,2000,11,2467,2536,232,16596,246016,229188,500.0,1,1,110,35.374,
4,500,105,2000,93,2481,2468,1711,11004,241556,228841,500.0,1,1,94,35.084,
4,500,106,2000,31,2418,2467,712,14220,243944,229012,500.0,1,1,96,38.722,
4,500,107,2000,41,2504,2543,907,12832,252480,238741,500.0,1,1,80,39.878,
4,500,108,2000,37,2513,2556,684,11876,242068,229508,500.0,1,1,78,38.102,
4,500,109,2000,28,2500,2552,600,15732,249200,232868,500.0,1,1,78,38.352,
4,750,100,2000,0,31,111,0,24576,33528,8952,,0,0,,0,56
4,750,101,2000,11,2025,2094,258,14548,245380,230574,750.0,1,1,78,26.998,
4,750,102,2000,22,2111,2169,480,15568,255684,239636,750.0,1,1,92,28.066,
4,750,103,2000,12,2044,2112,201,13396,246896,233299,750.0,1,1,82,26.792,
4,750,104,2000,30,2085,2135,545,12208,250844,238091,750.0,1,1,79,27.924,
4,750,105,2000,24,2021,2077,533,12012,238752,226207,750.0,1,1,86,29.962,
4,750,106,2000,25,1982,2037,534,12736,237288,224018,750.0,1,1,75,29.656,
4,750,107,2000,0,44,124,0,24576,34712,10136,,0,0,,0,140
4,750,108,2000,38,2051,2093,777,11516,246696,234403,750.0,1,1,93,28.764,
4,750,109,2000,32,2058,2106,778,14056,244204,229370,750.0,1,1,77,30.716,
4,1000,100,2000,0,25,105,0,24576,33560,8984,,0,0,,0,83
4,1000,101,2000,0,25,105,0,24576,32976,8400,,0,0,,0,61
4,1000,102,2000,0,21,101,0,24576,33600,9024,,0,0,,0,74
