movement_cost,initial_b,treatment,b_trait,seed,tick,population,a,b,b_fraction,a_loss_tick,b_loss_tick,extinction_tick
1,8,competition,1000,200,3000,77,0,77,1.0,225,,
1,8,competition,1000,201,3000,85,0,85,1.0,189,,
1,8,competition,1000,202,3000,64,0,64,1.0,293,,
1,8,competition,1000,203,3000,80,0,80,1.0,251,,
1,8,competition,1000,204,3000,73,0,73,1.0,247,,
1,8,competition,1000,205,3000,83,0,83,1.0,213,,
1,8,competition,1000,206,3000,67,0,67,1.0,266,,
1,8,competition,1000,207,3000,85,0,85,1.0,209,,
1,8,competition,1000,208,3000,78,0,78,1.0,219,,
1,8,competition,1000,209,3000,84,0,84,1.0,197,,
1,8,neutral,250,200,3000,101,101,0,0.0,,2953,
1,8,neutral,250,201,3000,115,115,0,0.0,,734,
1,8,neutral,250,202,3000,142,11,131,0.9225352112676056,,,
1,8,neutral,250,203,3000,109,109,0,0.0,,2079,
1,8,neutral,250,204,3000,126,126,0,0.0,,625,
1,8,neutral,250,205,3000,133,133,0,0.0,,221,
1,8,neutral,250,206,3000,95,75,20,0.21052631578947367,,,
1,8,neutral,250,207,3000,161,161,0,0.0,,920,
1,8,neutral,250,208,3000,115,115,0,0.0,,1628,
1,8,neutral,250,209,3000,88,88,0,0.0,,420,
1,40,competition,1000,200,3000,88,0,88,1.0,273,,
1,40,competition,1000,201,3000,71,0,71,1.0,98,,
1,40,competition,1000,202,3000,65,0,65,1.0,110,,
1,40,competition,1000,203,3000,68,0,68,1.0,175,,
1,40,competition,1000,204,3000,66,0,66,1.0,157,,
1,40,competition,1000,205,3000,62,0,62,1.0,155,,
1,40,competition,1000,206,3000,69,0,69,1.0,208,,
1,40,competition,1000,207,3000,54,0,54,1.0,200,,
1,40,competition,1000,208,3000,61,0,61,1.0,105,,
1,40,competition,1000,209,3000,83,0,83,1.0,119,,
1,40,neutral,250,200,3000,101,101,0,0.0,,2953,
1,40,neutral,250,201,3000,115,0,115,1.0,1030,,
1,40,neutral,250,202,3000,142,11,131,0.9225352112676056,,,
1,40,neutral,250,203,3000,109,0,109,1.0,703,,
1,40,neutral,250,204,3000,126,65,61,0.48412698412698413,,,
1,40,neutral,250,205,3000,133,84,49,0.3684210526315789,,,
1,40,neutral,250,206,3000,95,18,77,0.8105263157894737,,,
1,40,neutral,250,207,3000,161,92,69,0.42857142857142855,,,
1,40,neutral,250,208,3000,115,0,115,1.0,2279,,
1,40,neutral,250,209,3000,88,16,72,0.8181818181818182,,,
4,8,competition,1000,200,3000,70,70,0,0.0,,30,
4,8,competition,1000,201,3000,34,34,0,0.0,,36,
4,8,competition,1000,202,3000,48,48,0,0.0,,37,
4,8,competition,1000,203,3000,46,46,0,0.0,,119,
4,8,competition,1000,204,3000,68,68,0,0.0,,65,
4,8,competition,1000,205,3000,4,4,0,0.0,,151,
4,8,competition,1000,206,3000,48,48,0,0.0,,66,
4,8,competition,1000,207,3000,83,83,0,0.0,,67,
4,8,competition,1000,208,3000,93,93,0,0.0,,39,
4,8,competition,1000,209,3000,25,25,0,0.0,,36,
4,8,neutral,250,200,3000,70,70,0,0.0,,1481,
4,8,neutral,250,201,3000,13,13,0,0.0,,107,
4,8,neutral,250,202,3000,71,71,0,0.0,,82,
4,8,neutral,250,203,3000,3,3,0,0.0,,603,
4,8,neutral,250,204,3000,42,42,0,0.0,,49,
4,8,neutral,250,205,3000,89,89,0,0.0,,571,
4,8,neutral,250,206,3000,44,44,0,0.0,,149,
4,8,neutral,250,207,3000,24,24,0,0.0,,1025,
4,8,neutral,250,208,3000,21,21,0,0.0,,104,
4,8,neutral,250,209,3000,32,0,32,1.0,530,,
4,40,competition,1000,200,3000,64,64,0,0.0,,78,
4,40,competition,1000,201,3000,65,65,0,0.0,,71,
4,40,competition,1000,202,3000,0,0,0,,343,407,407
4,40,competition,1000,203,3000,0,0,0,,127,56,127
4,40,competition,1000,204,3000,54,54,0,0.0,,347,
4,40,competition,1000,205,3000,30,0,30,1.0,479,,
4,40,competition,1000,206,3000,44,44,0,0.0,,109,
4,40,competition,1000,207,3000,29,29,0,0.0,,55,
4,40,competition,1000,208,3000,40,40,0,0.0,,532,
4,40,competition,1000,209,3000,35,35,0,0.0,,109,
4,40,neutral,250,200,3000,70,70,0,0.0,,1481,
4,40,neutral,250,201,3000,13,0,13,1.0,1320,,
4,40,neutral,250,202,3000,71,0,71,1.0,1058,,
4,40,neutral,250,203,3000,3,3,0,0.0,,603,
4,40,neutral,250,204,3000,42,0,42,1.0,2915,,
4,40,neutral,250,205,3000,89,89,0,0.0,,571,
4,40,neutral,250,206,3000,44,44,0,0.0,,401,
4,40,neutral,250,207,3000,24,0,24,1.0,195,,
4,40,neutral,250,208,3000,21,21,0,0.0,,203,
4,40,neutral,250,209,3000,32,0,32,1.0,399,,
