regrowth_probability,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,late_mean_population,late_births,late_deaths,last_birth_tick,last_death_tick,extinction_tick
10,300,10000,0,119,199,0,24576,35700,11124,,0,0,,0,0,0,83,132,132
10,301,10000,0,106,186,0,24576,35532,10956,,0,0,,0,0,0,74,109,109
10,302,10000,0,121,201,0,24576,35616,11040,,0,0,,0,0,0,52,136,136
10,303,10000,0,114,194,0,24576,35380,10804,,0,0,,0,0,0,49,83,83
10,304,10000,0,106,186,0,24576,35376,10800,,0,0,,0,0,0,77,115,115
40,300,10000,73,14999,15006,1495,3968,1629640,1624177,974.4794520547945,11,1,219,79.074,1487,1486,9999,10000,
40,301,10000,98,15050,15032,2017,3540,1628016,1622459,941.3571428571429,13,1,239,79.46,1505,1477,10000,10000,
40,302,10000,81,15149,15148,1545,4088,1631512,1625879,976.2469135802469,10,1,233,79.373,1483,1503,10000,10000,
40,303,10000,67,14886,14899,1243,4024,1629364,1624097,920.9701492537314,16,1,214,79.906,1519,1523,10000,10000,
40,304,10000,77,14977,14980,1397,3512,1629852,1624943,972.7272727272727,13,1,211,79.486,1443,1456,9998,10000,
200,300,10000,498,52569,52151,9752,1928,8163916,8152236,627.3614457831326,101,3,136,488.429,5255,5254,10000,10000,
200,301,10000,494,52369,51955,9477,1932,8172920,8161511,615.1781376518219,119,3,141,490.07,5247,5247,10000,10000,
200,302,10000,508,52727,52299,10107,2064,8177964,8165793,587.9429133858267,110,3,140,494.904,5258,5258,10000,10000,
200,303,10000,509,52662,52233,10207,2104,8164516,8152205,611.0707269155206,105,3,134,493.719,5310,5284,10000,10000,
200,304,10000,480,52281,51881,9260,2140,8169884,8158484,659.9979166666667,96,4,125,481.162,5189,5180,10000,10000,
1000,300,10000,1024,944,0,24947035,0,40942988,15995953,563.583984375,169,80,6,1024,0,0,22,,
1000,301,10000,1024,944,0,25056173,0,40942640,15886467,553.11328125,170,80,5,1024,0,0,23,,
1000,302,10000,1024,944,0,25110004,0,40941992,15831988,547.3876953125,164,80,5,1024,0,0,22,,
1000,303,10000,1024,944,0,25309387,0,40941044,15631657,527.978515625,154,80,6,1024,0,0,24,,
1000,304,10000,1024,944,0,25623560,0,40941372,15317812,497.1005859375,153,80,5,1024,0,0,23,,
