width,treatment,seed,initial_population,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,late_mean_population,terminal_founder_fraction,first_single_founder_tick,extinction_tick
16,evolving,400,20,10000,14,3722,3728,255,1192,408228,406781,1000.0,1,1,222,20.009,0.05,132,
16,evolving,401,20,10000,19,3716,3717,411,1008,406252,404833,920.3684210526316,4,1,230,19.486,0.05,482,
16,evolving,402,20,10000,36,3765,3749,650,788,408164,406726,840.9166666666666,7,1,211,20.312,0.05,364,
16,evolving,403,20,10000,11,3739,3748,296,1268,408568,407004,944.2727272727273,3,1,212,19.373,0.05,433,
16,evolving,404,20,10000,18,3730,3732,372,744,407864,406748,992.1111111111111,4,1,235,19.78,0.05,389,
16,neutral,400,20,10000,32,4650,4638,496,1588,373120,371036,250.0,1,1,225,28.864,0.05,485,
16,neutral,401,20,10000,19,4668,4669,380,2356,373180,370444,250.0,1,1,233,28.171,0.05,1206,
16,neutral,402,20,10000,22,4631,4629,430,2392,372604,369782,250.0,1,1,255,28.325,0.05,496,
16,neutral,403,20,10000,41,4610,4589,691,2072,375840,373077,250.0,1,1,196,28.109,0.05,1037,
16,neutral,404,20,10000,50,4588,4558,871,1776,372664,370017,250.0,1,1,218,27.41,0.05,1302,
32,evolving,400,80,10000,95,14967,14952,1951,3436,1627356,1621969,954.1052631578947,14,1,217,79.305,0.0125,2121,
32,evolving,401,80,10000,75,14933,14938,1472,4664,1628768,1622632,966.08,10,1,242,78.372,0.0125,6891,
32,evolving,402,80,10000,76,14928,14932,1422,4512,1627628,1621694,952.7236842105264,13,1,205,79.363,0.0125,1508,
32,evolving,403,80,10000,76,15020,15024,1462,4116,1628528,1622950,952.5394736842105,12,1,226,79.943,0.0125,1164,
32,evolving,404,80,10000,65,14912,14927,1363,4280,1631576,1625933,958.4307692307692,11,1,230,79.711,0.0125,3019,
32,neutral,400,80,10000,149,18469,18400,2746,7684,1484924,1474494,250.0,1,1,241,111.149,0.0125,9382,
32,neutral,401,80,10000,133,18491,18438,2573,6652,1492740,1483515,250.0,1,1,211,113.513,0.0125,8213,
32,neutral,402,80,10000,101,18364,18343,1833,8208,1490080,1480039,250.0,1,1,241,111.724,0.0125,8280,
32,neutral,403,80,10000,129,18529,18480,2419,7660,1496672,1486593,250.0,1,1,243,112.628,0.0125,8896,
32,neutral,404,80,10000,101,18347,18326,1887,7908,1497024,1487229,250.0,1,1,260,113.462,0.0125,2905,
64,evolving,400,320,10000,290,60004,60034,5862,16720,6511448,6488866,941.2655172413793,54,1,228,319.658,0.003125,6981,
64,evolving,401,320,10000,284,59899,59935,5774,15536,6513972,6492662,972.0457746478874,36,3,239,317.267,0.009375,,
64,evolving,402,320,10000,319,60042,60043,6091,14904,6514440,6493445,935.5109717868338,42,2,228,321.194,0.00625,,
64,evolving,403,320,10000,306,59889,59903,5573,16044,6506560,6484943,967.0882352941177,42,2,239,319.594,0.00625,,
64,evolving,404,320,10000,306,60038,60052,5588,14532,6512992,6492872,965.4346405228758,38,2,222,318.768,0.00625,,
64,neutral,400,320,10000,383,73822,73759,7003,31536,5973072,5934533,250.0,1,3,234,451.424,0.009375,,
64,neutral,401,320,10000,501,73578,73397,8890,29560,5974292,5935842,250.0,1,3,261,451.655,0.009375,,
64,neutral,402,320,10000,468,73651,73503,8151,29260,5974220,5936809,250.0,1,3,248,454.016,0.009375,,
64,neutral,403,320,10000,450,73712,73582,8720,30620,5971696,5932356,250.0,1,3,220,451.819,0.009375,,
64,neutral,404,320,10000,450,73662,73532,8227,30168,5967368,5928973,250.0,1,3,232,451.679,0.009375,,
