regrowth_probability,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,late_mean_population,extinction_tick,right_censored
10,500,5000,0,121,201,0,24576,35968,11392,,0,0,,0,205,False
10,501,5000,0,992,1072,0,24576,100564,75988,,0,0,,0,1806,False
10,502,5000,0,114,194,0,24576,35712,11136,,0,0,,0,110,False
10,503,5000,0,275,355,0,24576,47860,23284,,0,0,,0,456,False
10,504,5000,0,119,199,0,24576,35864,11288,,0,0,,0,126,False
10,505,5000,0,122,202,0,24576,35136,10560,,0,0,,0,93,False
10,506,5000,0,119,199,0,24576,35364,10788,,0,0,,0,100,False
10,507,5000,0,115,195,0,24576,36288,11712,,0,0,,0,251,False
10,508,5000,0,116,196,0,24576,35352,10776,,0,0,,0,132,False
10,509,5000,0,619,699,0,24576,75576,51000,,0,0,,0,1201,False
15,500,5000,0,129,209,0,24576,36628,12052,,0,0,,0,128,False
15,501,5000,50,3446,3476,1075,6912,309448,301461,854.92,7,1,136,28.646,,True
15,502,5000,0,122,202,0,24576,36188,11612,,0,0,,0,103,False
15,503,5000,0,326,406,0,24576,52492,27916,,0,0,,0,432,False
15,504,5000,0,132,212,0,24576,36472,11896,,0,0,,0,160,False
15,505,5000,16,3476,3540,289,4680,310764,305795,913.5625,5,1,140,30.755,,True
15,506,5000,21,3623,3682,383,4516,309380,304481,921.3333333333334,6,1,139,29.752,,True
15,507,5000,28,3422,3474,598,4576,311092,305918,977.75,5,1,137,29.033,,True
15,508,5000,8,3486,3558,82,6552,313736,307102,930.0,3,1,143,28.985,,True
15,509,5000,41,3796,3835,804,4704,306428,300920,730.780487804878,9,1,125,32.13,,True
20,500,5000,41,4382,4421,655,3268,412324,408401,912.609756097561,10,1,129,40.551,,True
20,501,5000,59,4310,4331,1211,4748,411856,405897,964.5084745762712,10,1,126,38.465,,True
20,502,5000,52,4302,4330,1040,4848,414076,408188,965.5192307692307,7,1,139,38.737,,True
20,503,5000,31,4211,4260,596,4724,412528,407208,994.8387096774194,2,1,138,40.167,,True
20,504,5000,44,4387,4423,863,3976,413724,408885,956.3181818181819,7,1,131,39.921,,True
20,505,5000,42,4304,4342,644,2708,412364,409012,949.5238095238095,8,1,132,40.549,,True
20,506,5000,51,4299,4328,1018,3864,414160,409278,973.6470588235294,4,1,123,39.764,,True
20,507,5000,40,4331,4371,772,4380,412012,406860,918.2,11,1,141,38.799,,True
20,508,5000,57,4184,4207,1172,3916,415504,410416,963.0175438596491,5,1,130,39.3,,True
20,509,5000,28,4345,4397,521,5092,412172,406559,959.4285714285714,6,1,129,39.646,,True
30,500,5000,68,5958,5970,1144,4204,614060,608712,916.4117647058823,15,1,148,59.89,,True
30,501,5000,75,6101,6106,1324,3568,616904,612012,974.44,8,1,143,59.888,,True
30,502,5000,53,5965,5992,1028,4040,615708,610640,977.5471698113207,12,1,116,58.498,,True
30,503,5000,52,6080,6108,1038,3892,613396,608466,990.5576923076923,7,1,131,59.493,,True
30,504,5000,61,5954,5973,1239,4096,616960,611625,992.5245901639345,5,1,137,60.713,,True
30,505,5000,54,5932,5958,1156,3748,615604,610700,991.0,5,1,104,59.262,,True
30,506,5000,49,6041,6072,913,4548,615680,610219,952.734693877551,11,1,120,59.121,,True
30,507,5000,61,5969,5988,1055,3520,615296,610721,805.2622950819672,18,1,122,61.893,,True
30,508,5000,66,5993,6007,1247,4172,618472,613053,943.7424242424242,14,1,133,60.258,,True
30,509,5000,58,6094,6116,1131,4424,614920,609365,971.6724137931035,8,1,126,59.788,,True
40,500,5000,89,7492,7483,1686,3316,818808,813806,952.0786516853933,17,1,114,80.906,,True
40,501,5000,85,7603,7598,1585,3684,819700,814431,929.2,12,2,115,81.686,,True
40,502,5000,78,7527,7529,1424,3856,817792,812512,981.6794871794872,12,1,126,80.562,,True
40,503,5000,76,7606,7610,1560,4512,817184,811112,905.1052631578947,14,1,100,84.012,,True
40,504,5000,66,7602,7616,1286,4652,818944,813006,954.3333333333334,13,1,107,80.129,,True
40,505,5000,85,7548,7543,1694,3748,819764,814322,984.9529411764706,11,1,124,78.948,,True
40,506,5000,61,7518,7537,1088,3980,819252,814184,963.0655737704918,13,1,119,79.426,,True
40,507,5000,112,7580,7548,2047,3428,819000,813525,932.3928571428571,20,1,119,80.857,,True
40,508,5000,74,7487,7493,1459,4712,820956,814785,927.527027027027,18,1,118,80.201,,True
40,509,5000,66,7475,7489,1318,3804,819168,814046,976.9090909090909,13,1,105,78.347,,True
