founder_trait,mutation_probability,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,late_mean_population,extinction_tick,right_censored,population_at_500,mean_genome_at_500
random,0,600,5000,30,3997,4047,577,6800,300304,292927,444.0,1,1,146,37.677,,True,37,444.0
random,0,601,5000,0,601,681,0,24576,67664,43088,,0,0,,0,703,False,17,853.0
random,0,602,5000,28,3313,3365,647,5752,310924,304525,983.0,1,1,134,28.39,,True,38,983.0
random,0,603,5000,19,3713,3774,321,4408,306652,301923,604.0,1,1,145,35.843,,True,18,604.0
random,0,604,5000,0,1043,1123,0,24576,95640,71064,,0,0,,0,1198,False,8,576.0
random,0,605,5000,25,3460,3515,534,5500,312932,306898,965.0,1,1,152,29.376,,True,33,965.0
random,0,606,5000,25,3554,3609,549,5756,311192,304887,762.0,1,1,133,32.885,,True,25,762.0
random,0,607,5000,0,121,201,0,24576,36264,11688,,0,0,,0,127,False,0,
random,0,608,5000,30,3582,3632,484,3360,309464,305620,914.0,1,1,145,30.674,,True,101,914.0
random,0,609,5000,29,3729,3780,643,5988,309152,302521,644.0,1,1,121,34.271,,True,80,770.6
random,100,600,5000,13,3680,3747,233,3888,310960,306839,919.0,4,1,130,32.363,,True,14,783.5714285714286
random,100,601,5000,38,3523,3565,660,3640,310492,306192,883.5526315789474,11,1,141,30.322,,True,39,689.5897435897435
random,100,602,5000,26,3443,3497,539,4696,310944,305709,973.0,4,1,140,29.565,,True,35,978.3714285714286
random,100,603,5000,46,3671,3705,866,5040,308940,303034,987.3260869565217,7,1,148,29.243,,True,16,706.3125
random,100,604,5000,21,3497,3556,434,4192,312952,308326,955.2380952380952,10,1,145,30.519,,True,31,758.4516129032259
random,100,605,5000,28,3455,3507,483,3028,312388,308877,909.7142857142857,4,1,147,31.49,,True,22,925.0909090909091
random,100,606,5000,28,3475,3527,452,4000,312412,307960,865.8571428571429,8,1,146,30.792,,True,23,979.2173913043479
random,100,607,5000,27,3442,3495,510,4456,312760,307794,937.4074074074074,4,1,134,28.921,,True,32,928.4375
random,100,608,5000,41,3591,3630,781,4120,310292,305391,688.9756097560976,8,1,135,33.299,,True,22,909.6818181818181
random,100,609,5000,0,2698,2778,0,24576,260860,236284,,0,0,,0,3897,False,71,937.2253521126761
250,0,600,5000,52,4134,4162,975,7868,273216,264373,250.0,1,1,161,43.776,,True,12,250.0
250,0,601,5000,24,4153,4209,404,6736,263556,256416,250.0,1,1,156,40.047,,True,12,250.0
250,0,602,5000,0,2469,2549,0,24576,178040,153464,,0,0,,0,3121,False,79,250.0
250,0,603,5000,0,1562,1642,0,24576,128608,104032,,0,0,,0,2054,False,51,250.0
250,0,604,5000,80,4305,4305,1064,3648,269824,265112,250.0,1,1,166,41.292,,True,32,250.0
250,0,605,5000,37,3987,4030,731,13140,275120,261249,250.0,1,1,156,38.983,,True,35,250.0
250,0,606,5000,0,3325,3405,0,24560,243340,218780,,0,0,,1.63,4120,False,24,250.0
250,0,607,5000,67,3993,4006,1150,8616,274428,264662,250.0,1,1,174,38.556,,True,35,250.0
250,0,608,5000,15,3970,4035,347,16844,270900,253709,250.0,1,1,146,34.159,,True,91,250.0
250,0,609,5000,52,4006,4034,1055,12104,274572,261413,250.0,1,1,207,37.02,,True,44,250.0
250,100,600,5000,0,416,496,0,24576,55480,30904,,0,0,,0,686,False,18,239.5
250,100,601,5000,0,495,575,0,24576,58716,34140,,0,0,,0,576,False,51,313.47058823529414
250,100,602,5000,37,3848,3891,691,5000,301620,295929,889.8108108108108,9,1,136,32.465,,True,69,274.7971014492754
250,100,603,5000,68,3701,3713,1032,1752,303984,301200,761.8235294117648,13,1,154,32.661,,True,40,281.775
250,100,604,5000,0,832,912,0,24576,81932,57356,,0,0,,0,959,False,93,300.96774193548384
250,100,605,5000,11,3831,3900,172,3864,305844,301808,984.9090909090909,5,1,142,31.526,,True,23,324.6521739130435
250,100,606,5000,25,3808,3863,498,6172,304092,297422,811.88,5,1,148,35.218,,True,26,392.88461538461536
250,100,607,5000,46,3627,3661,895,5068,304508,298545,914.6521739130435,7,1,162,32.32,,True,51,275.0
250,100,608,5000,37,3730,3773,645,3336,302140,298159,967.2162162162163,8,1,147,30.584,,True,109,292.4403669724771
