initial_food,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,population_at_500,population_at_5000,extinction_tick,right_censored,late_mean_population
0,700,10000,0,0,80,0,24576,26904,2328,,0,0,,0,0,54,False,0
0,701,10000,0,0,80,0,24576,26732,2156,,0,0,,0,0,34,False,0
0,702,10000,0,0,80,0,24576,26740,2164,,0,0,,0,0,32,False,0
0,703,10000,0,0,80,0,24576,26708,2132,,0,0,,0,0,31,False,0
0,704,10000,0,0,80,0,24576,26776,2200,,0,0,,0,0,40,False,0
0,705,10000,0,0,80,0,24576,26772,2196,,0,0,,0,0,33,False,0
0,706,10000,0,0,80,0,24576,26764,2188,,0,0,,0,0,30,False,0
0,707,10000,0,0,80,0,24576,26768,2192,,0,0,,0,0,37,False,0
0,708,10000,0,0,80,0,24576,26744,2168,,0,0,,0,0,65,False,0
0,709,10000,0,0,80,0,24576,26800,2224,,0,0,,0,0,44,False,0
8,700,10000,1,8040,8119,29,14156,535648,521463,250.0,1,1,312,18,3,,True,35.7
8,701,10000,0,6554,6634,0,24576,449060,424484,,0,0,,51,74,8052,False,0
8,702,10000,0,3107,3187,0,24576,225196,200620,,0,0,,65,0,3779,False,0
8,703,10000,0,2446,2526,0,24576,182380,157804,,0,0,,31,0,3053,False,0
8,704,10000,0,5612,5692,0,24576,387652,363076,,0,0,,32,106,6967,False,0
8,705,10000,16,8215,8279,278,10324,532700,522098,250.0,1,1,286,60,51,,True,39.256
8,706,10000,0,4537,4617,0,24576,308436,283860,,0,0,,58,6,5441,False,0
8,707,10000,95,8152,8137,1609,6760,533548,525179,250.0,1,1,356,62,43,,True,40.571
8,708,10000,0,7106,7186,0,24576,475304,450728,,0,0,,69,22,8685,False,0
8,709,10000,0,5684,5764,0,24576,388048,363472,,0,0,,94,58,6980,False,0
