treatment,initial_food,initial_energy,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,population_at_500,population_at_5000,extinction_tick,right_censored,late_mean_population
low,0,24,800,10000,0,0,80,0,24576,26776,2200,,0,0,,0,0,33,False,0
low,0,24,801,10000,0,0,80,0,24576,26788,2212,,0,0,,0,0,47,False,0
low,0,24,802,10000,0,0,80,0,24576,26720,2144,,0,0,,0,0,32,False,0
low,0,24,803,10000,0,0,80,0,24576,26804,2228,,0,0,,0,0,36,False,0
low,0,24,804,10000,0,0,80,0,24576,26780,2204,,0,0,,0,0,40,False,0
low,0,24,805,10000,0,0,80,0,24576,26760,2184,,0,0,,0,0,34,False,0
low,0,24,806,10000,0,0,80,0,24576,26712,2136,,0,0,,0,0,34,False,0
low,0,24,807,10000,0,0,80,0,24576,26792,2216,,0,0,,0,0,36,False,0
low,0,24,808,10000,0,0,80,0,24576,26808,2232,,0,0,,0,0,49,False,0
low,0,24,809,10000,0,0,80,0,24576,26856,2280,,0,0,,0,0,40,False,0
food,5,24,800,10000,0,2370,2450,0,24576,170749,146173,,0,0,,91,0,2923,False,0
food,5,24,801,10000,36,8194,8238,664,10004,532466,521798,250.0,1,1,345,75,61,,True,38.864
food,5,24,802,10000,0,1978,2058,0,24576,151007,126431,,0,0,,19,0,2429,False,0
food,5,24,803,10000,0,424,504,0,24576,54326,29750,,0,0,,75,0,607,False,0
food,5,24,804,10000,0,870,950,0,24576,79495,54919,,0,0,,41,0,1192,False,0
food,5,24,805,10000,0,5545,5625,0,24576,383258,358682,,0,0,,30,46,6816,False,0
food,5,24,806,10000,0,774,854,0,24576,77514,52938,,0,0,,52,0,1103,False,0
food,5,24,807,10000,0,6821,6901,0,24576,460203,435627,,0,0,,23,29,8398,False,0
food,5,24,808,10000,0,11,91,0,24576,31554,6978,,0,0,,0,0,218,False,0
food,5,24,809,10000,0,347,427,0,24576,53260,28684,,0,0,,22,0,724,False,0
stored,0,88,800,10000,0,216,296,0,24576,32408,7832,,0,0,,0,0,66,False,0
stored,0,88,801,10000,0,222,302,0,24576,32176,7600,,0,0,,0,0,73,False,0
stored,0,88,802,10000,0,217,297,0,24576,32348,7772,,0,0,,0,0,55,False,0
stored,0,88,803,10000,0,209,289,0,24576,32332,7756,,0,0,,0,0,71,False,0
stored,0,88,804,10000,0,215,295,0,24576,32304,7728,,0,0,,0,0,52,False,0
stored,0,88,805,10000,0,217,297,0,24576,32208,7632,,0,0,,0,0,52,False,0
stored,0,88,806,10000,0,221,301,0,24576,32276,7700,,0,0,,0,0,51,False,0
stored,0,88,807,10000,0,214,294,0,24576,32372,7796,,0,0,,0,0,51,False,0
stored,0,88,808,10000,0,213,293,0,24576,32360,7784,,0,0,,0,0,63,False,0
stored,0,88,809,10000,0,210,290,0,24576,32368,7792,,0,0,,0,0,53,False,0
