treatment,initial_food,initial_energy,birth_threshold,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,population_at_10,births_at_10,population_at_100,births_at_100,population_at_500,births_at_500,population_at_5000,births_at_5000,extinction_tick,right_censored,late_mean_population
food-40,5,24,40,900,10000,0,5610,5690,0,24576,388242,363666,,0,0,,83,3,16,13,93,360,60,3907,7056,False,0
food-40,5,24,40,901,10000,0,432,512,0,24576,56066,31490,,0,0,,81,1,20,18,129,373,0,432,676,False,0
food-40,5,24,40,902,10000,0,731,811,0,24576,75512,50936,,0,0,,81,1,10,13,14,349,0,731,996,False,0
food-40,5,24,40,903,10000,43,8224,8261,762,10472,536419,525185,250.0,1,1,312,81,1,10,15,38,425,57,4028,,True,37.306
food-40,5,24,40,904,10000,0,13,93,0,24576,31266,6690,,0,0,,81,1,9,13,0,13,0,13,159,False,0
food-40,5,24,40,905,10000,0,7142,7222,0,24576,477962,453386,,0,0,,80,0,11,13,112,412,52,4100,8806,False,0
food-40,5,24,40,906,10000,0,7753,7833,0,24008,521342,497334,,0,0,,80,0,12,12,79,394,35,4015,9496,False,17.695
food-40,5,24,40,907,10000,0,1994,2074,0,24576,157029,132453,,0,0,,80,0,7,10,18,360,0,1994,2716,False,0
food-40,5,24,40,908,10000,0,3678,3758,0,24576,258555,233979,,0,0,,81,1,9,8,23,357,0,3678,4552,False,0
food-40,5,24,40,909,10000,0,4334,4414,0,24576,300985,276409,,0,0,,83,3,13,20,167,422,3,3970,5331,False,0
stored-40,0,88,40,900,10000,0,218,298,0,24576,32428,7852,,0,0,,298,218,0,218,0,218,0,218,95,False,0
stored-40,0,88,40,901,10000,0,218,298,0,24576,32276,7700,,0,0,,298,218,0,218,0,218,0,218,56,False,0
stored-40,0,88,40,902,10000,0,215,295,0,24576,32164,7588,,0,0,,295,215,0,215,0,215,0,215,46,False,0
stored-40,0,88,40,903,10000,0,213,293,0,24576,32284,7708,,0,0,,293,213,0,213,0,213,0,213,53,False,0
stored-40,0,88,40,904,10000,0,217,297,0,24576,32128,7552,,0,0,,297,217,0,217,0,217,0,217,44,False,0
stored-40,0,88,40,905,10000,0,218,298,0,24576,32292,7716,,0,0,,298,218,0,218,0,218,0,218,92,False,0
stored-40,0,88,40,906,10000,0,216,296,0,24576,32240,7664,,0,0,,296,216,0,216,0,216,0,216,49,False,0
stored-40,0,88,40,907,10000,0,212,292,0,24576,32336,7760,,0,0,,292,212,0,212,0,212,0,212,81,False,0
stored-40,0,88,40,908,10000,0,210,290,0,24576,32228,7652,,0,0,,290,210,0,210,0,210,0,210,52,False,0
stored-40,0,88,40,909,10000,0,213,293,0,24576,32288,7712,,0,0,,293,213,0,213,0,213,0,213,51,False,0
food-160,5,24,160,900,10000,43,864,901,3440,7964,515131,503727,250.0,1,1,29,80,0,9,0,13,12,33,446,,True,43.501
food-160,5,24,160,901,10000,37,891,934,2596,8824,519330,507910,250.0,1,1,26,80,0,12,0,31,27,43,457,,True,39.73
food-160,5,24,160,902,10000,39,845,886,2851,9676,522558,510031,250.0,1,1,31,80,0,15,0,35,29,26,427,,True,39.364
food-160,5,24,160,903,10000,35,895,940,2530,9056,515598,504012,250.0,1,1,34,80,0,10,0,13,11,33,446,,True,41.887
food-160,5,24,160,904,10000,32,849,897,2532,10060,517351,504759,250.0,1,1,29,80,0,10,0,20,15,32,426,,True,39.164
food-160,5,24,160,905,10000,36,873,917,2813,9136,509299,497350,250.0,1,2,28,80,0,12,0,12,10,45,438,,True,41.792
food-160,5,24,160,906,10000,33,890,937,2540,10664,517506,504302,250.0,1,1,34,80,0,13,0,24,21,47,455,,True,40.618
food-160,5,24,160,907,10000,34,853,899,2581,9732,519304,506991,250.0,1,1,36,80,0,14,0,23,21,41,435,,True,42.422
food-160,5,24,160,908,10000,28,854,906,2142,10060,516836,504634,250.0,1,1,31,80,0,13,0,13,9,41,421,,True,39.303
food-160,5,24,160,909,10000,38,838,880,2610,8416,508134,497108,250.0,1,1,32,80,0,19,0,10,7,42,413,,True,43.45
stored-160,0,88,160,900,10000,36,850,894,3185,10444,495988,482359,250.0,1,1,29,80,0,34,0,3,2,27,400,,True,39.656
stored-160,0,88,160,901,10000,0,0,80,0,24576,34292,9716,,0,0,,80,0,25,0,0,0,0,0,167,False,0
stored-160,0,88,160,902,10000,43,874,911,3383,8332,515156,503441,250.0,1,1,41,80,0,38,0,8,6,34,444,,True,40.993
stored-160,0,88,160,903,10000,44,839,875,3503,9852,517736,504381,250.0,1,1,31,80,0,28,0,6,4,41,434,,True,40.461
stored-160,0,88,160,904,10000,37,813,856,2803,10088,516124,503233,250.0,1,1,30,80,0,29,0,2,1,43,413,,True,41.651
stored-160,0,88,160,905,10000,39,841,882,2800,8088,517592,506704,250.0,1,1,37,80,0,30,0,13,9,37,423,,True,43.194
stored-160,0,88,160,906,10000,0,0,80,0,24576,35068,10492,,0,0,,80,0,33,0,0,0,0,0,214,False,0
stored-160,0,88,160,907,10000,34,851,897,3086,10744,514272,500442,250.0,1,1,27,80,0,36,0,6,4,46,445,,True,41.701
stored-160,0,88,160,908,10000,0,0,80,0,24576,34696,10120,,0,0,,80,0,28,0,0,0,0,0,195,False,0
stored-160,0,88,160,909,10000,44,852,888,3150,8308,515216,503758,250.0,1,1,25,80,0,36,0,5,3,35,414,,True,40.977
