treatment,seed,first_single_founder_tick,population_at_10000,founders_at_10000,max_living_generation_at_10000,population_at_100000,founders_at_100000,max_living_generation_at_100000
food-160,900,245,43,1,29,34,1,287
food-160,901,4358,37,1,26,38,1,246
food-160,902,5554,39,1,31,43,1,273
food-160,903,3685,35,1,34,41,1,262
food-160,904,4218,32,1,29,44,1,263
food-160,905,18651,36,2,28,44,1,254
food-160,906,7435,33,1,34,51,1,255
food-160,907,1712,34,1,36,35,1,236
food-160,908,8202,28,1,31,31,1,224
food-160,909,3958,38,1,32,49,1,250
stored-160,900,255,36,1,29,49,1,258
stored-160,901,138,0,0,,0,0,
stored-160,902,3045,43,1,41,43,1,251
stored-160,903,3499,44,1,31,39,1,237
stored-160,904,230,37,1,30,47,1,255
stored-160,905,6383,39,1,37,46,1,268
stored-160,906,211,0,0,,0,0,
stored-160,907,2966,34,1,27,41,1,252
stored-160,908,,0,0,,0,0,
stored-160,909,7012,44,1,25,36,1,221
