treatment,initial_food,initial_energy,birth_threshold,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,population_at_10000,births_at_10000,population_at_50000,births_at_50000,extinction_tick,right_censored,late_mean_population
food-160,5,24,160,900,100000,34,8620,8666,2510,10344,5161603,5148749,250.0,1,1,287,43,864,42,4310,,True,41.393
food-160,5,24,160,901,100000,38,8573,8615,2781,9432,5166778,5154565,250.0,1,1,246,37,891,36,4287,,True,41.417
food-160,5,24,160,902,100000,43,8649,8686,3327,9984,5167554,5154243,250.0,1,1,273,39,845,39,4302,,True,42.26
food-160,5,24,160,903,100000,41,8592,8631,3320,8080,5171790,5160390,250.0,1,1,262,35,895,41,4312,,True,43.294
food-160,5,24,160,904,100000,44,8508,8544,3469,8136,5167903,5156298,250.0,1,1,263,32,849,31,4267,,True,43.251
food-160,5,24,160,905,100000,44,8615,8651,3343,9144,5166711,5154224,250.0,1,1,254,36,873,49,4330,,True,41.287
food-160,5,24,160,906,100000,51,8558,8587,4448,8836,5186178,5172894,250.0,1,1,255,33,890,43,4333,,True,40.738
food-160,5,24,160,907,100000,35,8649,8694,2797,9976,5181980,5169207,250.0,1,1,236,34,853,43,4364,,True,41.418
food-160,5,24,160,908,100000,31,8611,8660,2314,10508,5180180,5167358,250.0,1,1,224,28,854,45,4321,,True,40.643
food-160,5,24,160,909,100000,49,8553,8584,4133,8756,5160690,5147801,250.0,1,1,250,38,838,40,4291,,True,40.038
stored-160,0,88,160,900,100000,49,8730,8761,4091,9400,5157664,5144173,250.0,1,1,258,36,850,36,4387,,True,38.513
stored-160,0,88,160,901,100000,0,0,80,0,24576,34292,9716,,0,0,,0,0,0,0,167,False,0
stored-160,0,88,160,902,100000,43,8608,8645,3470,9616,5163476,5150390,250.0,1,1,251,43,874,46,4298,,True,41.791
stored-160,0,88,160,903,100000,39,8598,8639,2934,9076,5171800,5159790,250.0,1,1,237,44,839,42,4284,,True,41.313
stored-160,0,88,160,904,100000,47,8553,8586,3705,8636,5173096,5160755,250.0,1,1,255,37,813,42,4270,,True,40.224
stored-160,0,88,160,905,100000,46,8530,8564,3730,8432,5152744,5140582,250.0,1,1,268,39,841,37,4284,,True,40.555
stored-160,0,88,160,906,100000,0,0,80,0,24576,35068,10492,,0,0,,0,0,0,0,214,False,0
stored-160,0,88,160,907,100000,41,8548,8587,3015,9076,5158552,5146461,250.0,1,1,252,34,851,38,4259,,True,40.566
stored-160,0,88,160,908,100000,0,0,80,0,24576,34696,10120,,0,0,,0,0,0,0,195,False,0
stored-160,0,88,160,909,100000,36,8649,8693,3233,9144,5171896,5159519,250.0,1,1,221,44,852,39,4346,,True,40.711
