treatment,initial_food,initial_energy,birth_threshold,birth_cost,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,population_at_10,births_at_10,population_at_100,births_at_100,population_at_500,births_at_500,population_at_5000,births_at_5000,extinction_tick,right_censored,late_mean_population,early_peak_population,early_peak_tick,late_births,late_deaths
food-40-cost-0,5,24,40,0,1000,10000,0,5671,5751,0,24576,347770,323194,,0,0,,81,1,17,17,101,466,49,4558,6183,False,0,88,20,0,0
food-40-cost-0,5,24,40,0,1001,10000,0,347,427,0,24576,51391,26815,,0,0,,80,0,14,14,1,347,0,347,539,False,0,86,23,0,0
food-40-cost-0,5,24,40,0,1002,10000,0,5254,5334,0,24576,336653,312077,,0,0,,80,0,13,11,6,358,19,4463,5820,False,0,84,21,0,0
food-40-cost-0,5,24,40,0,1003,10000,0,3757,3837,0,24576,246178,221602,,0,0,,81,1,13,11,32,394,0,3757,4213,False,0,83,20,0,0
food-40-cost-0,5,24,40,0,1004,10000,0,3537,3617,0,24576,224820,200244,,0,0,,84,4,13,17,9,349,0,3537,3801,False,0,90,15,0,0
food-40-cost-0,5,24,40,0,1005,10000,0,15,95,0,24576,31523,6947,,0,0,,80,0,11,12,0,15,0,15,219,False,0,86,22,0,0
food-40-cost-0,5,24,40,0,1006,10000,0,528,608,0,24576,55551,30975,,0,0,,81,1,5,11,225,510,0,528,629,False,0,82,11,0,0
food-40-cost-0,5,24,40,0,1007,10000,0,831,911,0,24576,75266,50690,,0,0,,82,2,12,15,5,364,0,831,959,False,0,85,18,0,0
food-40-cost-0,5,24,40,0,1008,10000,0,7112,7192,0,24576,422527,397951,,0,0,,82,2,13,10,13,399,10,4520,7613,False,0,83,11,0,0
food-40-cost-0,5,24,40,0,1009,10000,0,4527,4607,0,24576,282324,257748,,0,0,,85,5,12,14,15,416,0,4527,4818,False,0,86,17,0,0
food-40-cost-4,5,24,40,4,1000,10000,0,736,816,0,24576,74461,49885,,0,0,,81,1,12,15,11,354,0,736,952,False,0,88,20,0,0
food-40-cost-4,5,24,40,4,1001,10000,0,356,436,0,24576,52933,28357,,0,0,,80,0,18,14,8,354,0,356,630,False,0,86,23,0,0
food-40-cost-4,5,24,40,4,1002,10000,3,8161,8238,40,11968,523784,511776,250.0,1,1,339,80,0,12,12,30,314,26,3983,,True,36.697,84,21,844,843
food-40-cost-4,5,24,40,4,1003,10000,0,6698,6778,0,24576,448224,423648,,0,0,,81,1,15,11,36,360,123,4015,8205,False,0,83,20,0,0
food-40-cost-4,5,24,40,4,1004,10000,0,1858,1938,0,24576,150513,125937,,0,0,,84,4,14,21,6,306,0,1858,2485,False,0,90,15,0,0
food-40-cost-4,5,24,40,4,1005,10000,0,7721,7801,0,24316,514780,490464,,0,0,,80,0,11,16,112,334,18,4085,9439,False,16.278,86,22,368,386
food-40-cost-4,5,24,40,4,1006,10000,0,7,87,0,24576,31415,6839,,0,0,,81,1,11,7,0,7,0,7,144,False,0,82,11,0,0
food-40-cost-4,5,24,40,4,1007,10000,0,6012,6092,0,24576,415713,391137,,0,0,,82,2,10,13,29,355,36,3942,7529,False,0,85,18,0,0
food-40-cost-4,5,24,40,4,1008,10000,0,3166,3246,0,24576,229441,204865,,0,0,,82,2,9,10,28,357,0,3166,4006,False,0,83,11,0,0
food-40-cost-4,5,24,40,4,1009,10000,0,5395,5475,0,24576,367063,342487,,0,0,,85,5,12,15,24,334,106,3914,6592,False,0,86,17,0,0
food-160-cost-0,5,24,160,0,1000,10000,43,895,932,3093,9384,514695,502218,250.0,1,1,30,80,0,10,0,27,22,56,447,,True,40.403,80,0,97,89
food-160-cost-0,5,24,160,0,1001,10000,47,853,886,3573,8744,519635,507318,250.0,1,2,36,80,0,15,0,26,22,42,430,,True,41.335,80,0,90,83
food-160-cost-0,5,24,160,0,1002,10000,34,848,894,3135,11136,516181,501910,250.0,1,2,30,80,0,16,0,22,18,33,416,,True,39.172,80,0,77,85
food-160-cost-0,5,24,160,0,1003,10000,36,875,919,2764,9272,517660,505624,250.0,1,2,31,80,0,21,0,31,27,53,438,,True,41.897,80,0,78,87
food-160-cost-0,5,24,160,0,1004,10000,37,884,927,2605,10236,524444,511603,250.0,1,1,32,80,0,13,0,49,46,40,461,,True,41.265,80,0,77,82
food-160-cost-0,5,24,160,0,1005,10000,45,881,916,3333,8668,524567,512566,250.0,1,2,34,80,0,12,0,32,28,38,440,,True,40.621,80,0,87,82
food-160-cost-0,5,24,160,0,1006,10000,43,886,923,3566,9192,522288,509530,250.0,1,1,33,80,0,9,0,37,35,36,447,,True,42.188,80,0,85,87
