treatment,mutation_probability,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,ever_genome_values,initial_genome_values,new_values_last_10000,extinction_tick,right_censored
mutation,100,1100,50000,67,74624,74637,1411,4056,8103680,8098213,960.1940298507462,12,1,1042,371,78,2,,True
mutation,100,1101,50000,60,74194,74214,1249,4104,8105372,8100019,994.6,5,1,1064,340,77,0,,True
mutation,100,1102,50000,75,74571,74576,1553,3972,8107740,8102215,969.9466666666667,9,1,1025,366,77,7,,True
mutation,100,1103,50000,74,74455,74461,1351,3904,8104608,8099353,976.2972972972973,11,1,1050,365,78,12,,True
mutation,100,1104,50000,92,74589,74577,1681,3500,8111776,8106595,951.0869565217391,16,1,1068,355,77,22,,True
no-mutation,0,1100,50000,83,74389,74386,1663,3752,8100612,8095197,931.0,1,1,1044,78,78,0,,True
no-mutation,0,1101,50000,72,74124,74132,1468,3872,8098712,8093372,994.0,1,1,1056,77,77,0,,True
no-mutation,0,1102,50000,68,74846,74858,1206,3336,8102188,8097646,909.0,1,1,1097,77,77,0,,True
no-mutation,0,1103,50000,73,74245,74252,1272,3536,8110400,8105592,965.0,1,1,1023,78,78,0,,True
no-mutation,0,1104,50000,86,74064,74058,1605,3072,8113128,8108451,983.0,1,1,1061,77,77,0,,True
