movement_cost,initial_b,treatment,b_trait,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,a,b,b_fraction,a_loss_tick,b_loss_tick,extinction_tick
1,8,competition,1000,1200,3000,97,4564,4547,1896,3776,495880,490208,1000.0,1,1,76,0,97,1.0,266,,
1,8,competition,1000,1201,3000,72,4560,4568,1249,3968,497220,492003,1000.0,1,1,70,0,72,1.0,202,,
1,8,competition,1000,1202,3000,70,4482,4492,1207,3884,496076,490985,1000.0,1,1,77,0,70,1.0,239,,
1,8,competition,1000,1203,3000,92,4508,4496,2025,2840,495708,490843,1000.0,1,1,63,0,92,1.0,331,,
1,8,competition,1000,1204,3000,84,4553,4549,1678,4224,496260,490358,1000.0,1,3,79,0,84,1.0,232,,
1,8,competition,1000,1205,3000,60,4575,4595,1251,4380,495796,490165,1000.0,1,1,75,0,60,1.0,294,,
1,8,competition,1000,1206,3000,58,4578,4600,1228,3744,499008,494036,1000.0,1,1,76,0,58,1.0,217,,
1,8,competition,1000,1207,3000,75,4596,4601,1376,3420,496988,492192,1000.0,1,1,74,0,75,1.0,209,,
1,8,competition,1000,1208,3000,82,4501,4499,1559,3472,494196,489165,1000.0,1,2,65,0,82,1.0,202,,
1,8,competition,1000,1209,3000,59,4547,4568,1202,4624,497832,492006,1000.0,1,1,63,0,59,1.0,246,,
1,8,neutral,250,1200,3000,119,5477,5438,2091,6996,456692,447605,250.0,1,3,79,119,0,0.0,,1147,
1,8,neutral,250,1201,3000,107,5465,5438,2207,8588,456980,446185,250.0,1,1,86,107,0,0.0,,2465,
1,8,neutral,250,1202,3000,132,5544,5492,2313,6448,454776,446015,250.0,1,2,85,132,0,0.0,,214,
1,8,neutral,250,1203,3000,105,5472,5447,1914,8348,455172,444910,250.0,1,3,76,105,0,0.0,,2289,
1,8,neutral,250,1204,3000,147,5595,5528,2651,5968,457688,449069,250.0,1,3,72,147,0,0.0,,493,
1,8,neutral,250,1205,3000,119,5443,5404,2300,7452,450056,440304,250.0,1,2,77,119,0,0.0,,417,
1,8,neutral,250,1206,3000,123,5635,5592,2261,6636,456920,448023,250.0,1,2,74,123,0,0.0,,2574,
1,8,neutral,250,1207,3000,105,5545,5520,1878,8260,459752,449614,250.0,1,2,80,105,0,0.0,,687,
1,8,neutral,250,1208,3000,138,5571,5513,2461,6120,453080,444499,250.0,1,1,80,0,138,1.0,1185,,
1,8,neutral,250,1209,3000,101,5535,5514,1798,7540,456444,447106,250.0,1,2,93,101,0,0.0,,435,
1,72,competition,1000,1200,3000,82,4601,4599,1615,3444,496792,491733,1000.0,1,2,84,0,82,1.0,80,,
1,72,competition,1000,1201,3000,81,4534,4533,1654,3496,498304,493154,1000.0,1,2,81,0,81,1.0,63,,
1,72,competition,1000,1202,3000,76,4525,4529,1452,3688,494896,489756,1000.0,1,1,68,0,76,1.0,62,,
1,72,competition,1000,1203,3000,82,4508,4506,1736,3732,496184,490716,1000.0,1,2,65,0,82,1.0,80,,
1,72,competition,1000,1204,3000,93,4556,4543,1763,3152,496368,491453,1000.0,1,1,69,0,93,1.0,55,,
1,72,competition,1000,1205,3000,82,4573,4571,1783,4088,495520,489649,1000.0,1,1,76,0,82,1.0,82,,
1,72,competition,1000,1206,3000,68,4599,4611,1405,4156,499952,494391,1000.0,1,1,69,0,68,1.0,57,,
1,72,competition,1000,1207,3000,93,4549,4536,1739,3620,496432,491073,1000.0,1,1,65,0,93,1.0,169,,
1,72,competition,1000,1208,3000,86,4602,4596,1598,3316,496716,491802,1000.0,1,1,64,0,86,1.0,71,,
1,72,competition,1000,1209,3000,78,4534,4536,1519,3788,498004,492697,1000.0,1,2,84,0,78,1.0,66,,
1,72,neutral,250,1200,3000,119,5477,5438,2091,6996,456692,447605,250.0,1,3,79,0,119,1.0,499,,
1,72,neutral,250,1201,3000,107,5465,5438,2207,8588,456980,446185,250.0,1,1,86,107,0,0.0,,2465,
1,72,neutral,250,1202,3000,132,5544,5492,2313,6448,454776,446015,250.0,1,2,85,0,132,1.0,166,,
1,72,neutral,250,1203,3000,105,5472,5447,1914,8348,455172,444910,250.0,1,3,76,0,105,1.0,186,,
1,72,neutral,250,1204,3000,147,5595,5528,2651,5968,457688,449069,250.0,1,3,72,0,147,1.0,336,,
1,72,neutral,250,1205,3000,119,5443,5404,2300,7452,450056,440304,250.0,1,2,77,0,119,1.0,286,,
1,72,neutral,250,1206,3000,123,5635,5592,2261,6636,456920,448023,250.0,1,2,74,38,85,0.6910569105691057,,,
1,72,neutral,250,1207,3000,105,5545,5520,1878,8260,459752,449614,250.0,1,2,80,0,105,1.0,1256,,
1,72,neutral,250,1208,3000,138,5571,5513,2461,6120,453080,444499,250.0,1,1,80,0,138,1.0,786,,
1,72,neutral,250,1209,3000,101,5535,5514,1798,7540,456444,447106,250.0,1,2,93,0,101,1.0,211,,
2,8,competition,1000,1200,3000,50,4312,4342,952,6716,472520,464852,1000.0,1,1,110,0,50,1.0,312,,
2,8,competition,1000,1201,3000,56,4330,4354,1085,6400,470964,463479,1000.0,1,1,92,0,56,1.0,531,,
2,8,competition,1000,1202,3000,43,4330,4367,894,7352,472952,464706,1000.0,1,1,107,0,43,1.0,358,,
2,8,competition,1000,1203,3000,51,4302,4331,899,5544,475460,469017,1000.0,1,1,93,0,51,1.0,328,,
2,8,competition,1000,1204,3000,37,4237,4280,826,8944,473844,464074,1000.0,1,1,94,0,37,1.0,445,,
2,8,competition,1000,1205,3000,68,4350,4362,1253,5168,477020,470599,1000.0,1,1,107,0,68,1.0,383,,
2,8,competition,1000,1206,3000,82,4435,4433,1660,5832,474596,467104,1000.0,1,1,105,0,82,1.0,482,,
2,8,competition,1000,1207,3000,34,4421,4467,793,7040,474536,466703,1000.0,1,1,95,0,34,1.0,425,,
2,8,competition,1000,1208,3000,68,4316,4328,1370,6140,471688,464178,1000.0,1,1,93,0,68,1.0,364,,
2,8,competition,1000,1209,3000,47,4386,4419,1039,6708,475016,467269,1000.0,1,1,101,0,47,1.0,454,,
2,8,neutral,250,1200,3000,88,5341,5333,1637,9256,424328,413435,250.0,1,2,91,38,50,0.5681818181818182,,,
2,8,neutral,250,1201,3000,92,5403,5391,1591,7224,429848,421033,250.0,1,2,107,92,0,0.0,,959,
2,8,neutral,250,1202,3000,81,5268,5267,1592,10144,422532,410796,250.0,1,1,93,81,0,0.0,,311,
2,8,neutral,250,1203,3000,82,5210,5208,1463,9672,419148,408013,250.0,1,2,88,82,0,0.0,,206,
2,8,neutral,250,1204,3000,59,5242,5263,1140,10092,421880,410648,250.0,1,1,99,59,0,0.0,,2810,
2,8,neutral,250,1205,3000,103,5184,5161,2153,12232,418116,403731,250.0,1,1,98,0,103,1.0,1297,,
2,8,neutral,250,1206,3000,81,5320,5319,1705,10008,423764,412051,250.0,1,1,81,0,81,1.0,1169,,
2,8,neutral,250,1207,3000,95,5191,5176,1810,9596,423188,411782,250.0,1,2,110,95,0,0.0,,122,
2,8,neutral,250,1208,3000,74,5300,5306,1203,9120,423992,413669,250.0,1,2,90,74,0,0.0,,554,
2,8,neutral,250,1209,3000,60,5243,5263,1088,10416,427184,415680,250.0,1,1,92,60,0,0.0,,214,
2,72,competition,1000,1200,3000,46,4348,4382,901,7028,476520,468591,1000.0,1,1,116,0,46,1.0,272,,
2,72,competition,1000,1201,3000,71,4424,4433,1388,5856,475260,468016,1000.0,1,1,108,0,71,1.0,159,,
2,72,competition,1000,1202,3000,44,4337,4373,855,6584,474940,467501,1000.0,1,1,87,0,44,1.0,82,,
2,72,competition,1000,1203,3000,56,4350,4374,1186,6228,475072,467658,1000.0,1,1,101,0,56,1.0,206,,
2,72,competition,1000,1204,3000,49,4317,4348,984,6940,474836,466912,1000.0,1,1,89,0,49,1.0,68,,
2,72,competition,1000,1205,3000,73,4319,4326,1566,5728,473824,466530,1000.0,1,1,96,0,73,1.0,75,,
2,72,competition,1000,1206,3000,63,4324,4341,1273,5692,479064,472099,1000.0,1,1,104,0,63,1.0,91,,
2,72,competition,1000,1207,3000,39,4338,4379,760,6516,475736,468460,1000.0,1,1,95,0,39,1.0,70,,
2,72,competition,1000,1208,3000,57,4296,4319,1097,6808,476280,468375,1000.0,1,1,116,0,57,1.0,225,,
2,72,competition,1000,1209,3000,40,4230,4270,772,7172,477416,469472,1000.0,1,1,106,0,40,1.0,184,,
2,72,neutral,250,1200,3000,88,5341,5333,1637,9256,424328,413435,250.0,1,2,91,0,88,1.0,159,,
2,72,neutral,250,1201,3000,92,5403,5391,1591,7224,429848,421033,250.0,1,2,107,0,92,1.0,362,,
2,72,neutral,250,1202,3000,81,5268,5267,1592,10144,422532,410796,250.0,1,1,93,0,81,1.0,441,,
2,72,neutral,250,1203,3000,82,5210,5208,1463,9672,419148,408013,250.0,1,2,88,0,82,1.0,724,,
2,72,neutral,250,1204,3000,59,5242,5263,1140,10092,421880,410648,250.0,1,1,99,0,59,1.0,354,,
2,72,neutral,250,1205,3000,103,5184,5161,2153,12232,418116,403731,250.0,1,1,98,0,103,1.0,166,,
2,72,neutral,250,1206,3000,81,5320,5319,1705,10008,423764,412051,250.0,1,1,81,0,81,1.0,104,,
2,72,neutral,250,1207,3000,95,5191,5176,1810,9596,423188,411782,250.0,1,2,110,0,95,1.0,1289,,
2,72,neutral,250,1208,3000,74,5300,5306,1203,9120,423992,413669,250.0,1,2,90,7,67,0.9054054054054054,,,
2,72,neutral,250,1209,3000,60,5243,5263,1088,10416,427184,415680,250.0,1,1,92,0,60,1.0,319,,
3,8,competition,1000,1200,3000,23,3670,3727,539,10072,415964,405353,1000.0,1,1,123,0,23,1.0,989,,
3,8,competition,1000,1201,3000,53,3583,3610,1037,9736,428344,417571,1000.0,1,1,128,0,53,1.0,881,,
