arm,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,population_at_500,population_at_5000,extinction_tick,right_censored,founders_on_food,food_under_founders
uniform,1300,10000,0,3400,3480,0,24576,243304,218728,,0,0,,39,0,4273,False,80,400
uniform,1301,10000,0,17,97,0,24576,31057,6481,,0,0,,0,0,148,False,80,400
uniform,1302,10000,0,387,467,0,24576,54074,29498,,0,0,,31,0,785,False,80,400
uniform,1303,10000,0,22,102,0,24576,32195,7619,,0,0,,0,0,235,False,80,400
uniform,1304,10000,0,2184,2264,0,24576,167186,142610,,0,0,,17,0,2935,False,80,400
uniform,1305,10000,0,6457,6537,0,24576,434795,410219,,0,0,,55,84,7892,False,80,400
uniform,1306,10000,0,2198,2278,0,24576,167591,143015,,0,0,,24,0,2773,False,80,400
uniform,1307,10000,0,4658,4738,0,24576,320758,296182,,0,0,,9,20,5787,False,80,400
uniform,1308,10000,0,7178,7258,0,24576,485639,461063,,0,0,,24,2,8845,False,80,400
uniform,1309,10000,0,408,488,0,24576,53603,29027,,0,0,,68,0,641,False,80,400
dispersed,1300,10000,0,36,116,0,24576,29820,5244,,0,0,,0,0,223,False,17,408
dispersed,1301,10000,0,892,972,0,24576,77628,53052,,0,0,,138,0,1192,False,7,168
dispersed,1302,10000,0,42,122,0,24576,30376,5800,,0,0,,0,0,223,False,11,264
dispersed,1303,10000,0,800,880,0,24576,76704,52128,,0,0,,32,0,1142,False,16,384
dispersed,1304,10000,0,2742,2822,0,24576,194968,170392,,0,0,,81,0,3362,False,16,384
dispersed,1305,10000,0,39,119,0,24576,29928,5352,,0,0,,0,0,152,False,15,360
dispersed,1306,10000,0,1211,1291,0,24576,101412,76836,,0,0,,101,0,1604,False,24,576
dispersed,1307,10000,0,416,496,0,24576,52024,27448,,0,0,,24,0,610,False,14,336
dispersed,1308,10000,0,2003,2083,0,24576,145736,121160,,0,0,,54,0,2426,False,11,264
dispersed,1309,10000,0,510,590,0,24576,55676,31100,,0,0,,141,0,638,False,12,288
block,1300,10000,0,114,194,0,24576,32348,7772,,0,0,,0,0,147,False,13,312
block,1301,10000,0,111,191,0,24576,32300,7724,,0,0,,0,0,110,False,15,360
block,1302,10000,0,108,188,0,24576,32212,7636,,0,0,,0,0,127,False,16,384
block,1303,10000,0,113,193,0,24576,32396,7820,,0,0,,0,0,113,False,22,528
block,1304,10000,0,117,197,0,24576,32308,7732,,0,0,,0,0,145,False,19,456
block,1305,10000,0,114,194,0,24576,32276,7700,,0,0,,0,0,150,False,20,480
block,1306,10000,0,119,199,0,24576,32380,7804,,0,0,,0,0,169,False,19,440
block,1307,10000,0,115,195,0,24576,32236,7660,,0,0,,0,0,136,False,16,384
block,1308,10000,0,108,188,0,24576,32440,7864,,0,0,,0,0,112,False,11,264
block,1309,10000,0,114,194,0,24576,32560,7984,,0,0,,0,0,138,False,15,344
