arm,birth_threshold,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,population_at_100,births_at_100,early_peak_population,first_peak_tick,food_eaten_by_100,food_at_100,organism_energy_at_100,population_at_500,population_at_5000,extinction_tick,right_censored,founders_on_food,food_under_founders
dispersed,40,1400,10000,23,8118,8175,439,12320,528120,515361,250.0,1,1,327,5,47,108,14,3700,6888,85,34,4,,True,16,384
dispersed,40,1401,10000,0,2466,2546,0,24576,170724,146148,,0,0,,4,42,108,13,3208,6868,55,84,0,2975,False,21,488
dispersed,40,1402,10000,0,55,135,0,24576,31424,6848,,0,0,,9,42,111,17,3980,6680,130,0,0,284,False,18,432
dispersed,40,1403,10000,0,2447,2527,0,24576,169588,145012,,0,0,,4,35,104,17,3016,7456,73,71,0,2983,False,13,312
dispersed,40,1404,10000,0,2903,2983,0,24576,204932,180356,,0,0,,10,39,105,15,3336,7048,185,10,0,3620,False,12,288
dispersed,40,1405,10000,0,34,114,0,24576,29568,4992,,0,0,,4,33,99,10,2936,7380,55,0,0,201,False,20,480
dispersed,40,1406,10000,0,51,131,0,24576,29972,5396,,0,0,,2,51,120,12,3432,7196,51,0,0,148,False,25,600
dispersed,40,1407,10000,0,39,119,0,24576,30352,5776,,0,0,,8,36,99,10,3484,7360,181,0,0,233,False,20,480
dispersed,40,1408,10000,0,38,118,0,24576,30140,5564,,0,0,,10,38,97,13,3528,6980,139,0,0,161,False,12,288
dispersed,40,1409,10000,9,8177,8248,143,7420,528448,520885,250.0,1,1,308,6,39,106,11,2856,7508,73,166,23,,True,17,392
dispersed,160,1400,10000,44,850,886,3330,8748,518724,506646,250.0,1,1,28,7,0,80,0,3236,7096,177,16,40,,True,16,384
dispersed,160,1401,10000,35,869,914,2921,10460,521372,507991,250.0,1,1,37,10,0,80,0,3132,6884,397,20,41,,True,21,488
dispersed,160,1402,10000,48,845,877,3917,8868,516520,503735,250.0,1,2,32,9,0,80,0,3716,6940,488,29,42,,True,18,432
dispersed,160,1403,10000,42,879,917,2935,8712,519436,507789,250.0,1,1,34,15,0,80,0,3632,6748,536,36,43,,True,13,312
dispersed,160,1404,10000,39,845,886,2790,9332,523132,511010,250.0,1,2,28,16,0,80,0,3652,6800,646,26,52,,True,12,288
dispersed,160,1405,10000,50,857,887,3347,7808,517788,506633,250.0,1,1,30,12,0,80,0,3540,6868,312,27,31,,True,20,480
dispersed,160,1406,10000,27,890,943,2155,11104,519768,506509,250.0,1,1,29,17,0,80,0,3848,6848,612,42,46,,True,25,600
dispersed,160,1407,10000,36,887,931,3023,9216,523936,511697,250.0,1,1,37,16,0,80,0,3588,7268,579,35,39,,True,20,480
dispersed,160,1408,10000,36,846,890,2868,10668,519104,505568,250.0,1,1,28,12,0,80,0,3028,7456,403,23,34,,True,12,288
dispersed,160,1409,10000,38,860,902,3069,10468,521076,507539,250.0,1,1,28,20,0,80,0,3780,6728,614,42,44,,True,17,392
block,40,1400,10000,0,110,190,0,24576,32348,7772,,0,0,,3,109,131,17,5796,5020,57,0,0,151,False,12,288
block,40,1401,10000,0,121,201,0,24576,32436,7860,,0,0,,2,120,145,18,5848,4772,45,0,0,167,False,18,432
block,40,1402,10000,0,3209,3289,0,24576,227296,202720,,0,0,,9,104,116,18,6164,4924,146,37,0,3903,False,9,216
block,40,1403,10000,0,112,192,0,24576,32580,8004,,0,0,,5,106,140,16,5612,5400,37,0,0,230,False,20,480
block,40,1404,10000,0,116,196,0,24576,32508,7932,,0,0,,3,116,145,17,5984,4920,41,0,0,139,False,17,392
block,40,1405,10000,0,521,601,0,24576,55880,31304,,0,0,,15,108,130,16,5676,5160,276,115,0,645,False,14,336
block,40,1406,10000,0,100,180,0,24576,32036,7460,,0,0,,1,100,149,17,5484,5540,30,0,0,164,False,22,528
block,40,1407,10000,0,116,196,0,24576,32428,7852,,0,0,,1,116,144,18,5924,5544,20,0,0,119,False,16,384
block,40,1408,10000,0,118,198,0,24576,32472,7896,,0,0,,2,118,157,16,5848,5272,31,0,0,219,False,21,504
block,40,1409,10000,0,118,198,0,24576,32244,7668,,0,0,,1,118,126,17,5704,5156,19,0,0,150,False,8,192
block,160,1400,10000,47,844,877,4124,8980,526136,513032,250.0,1,1,31,22,9,80,0,4100,6400,1971,37,40,,True,12,288
block,160,1401,10000,48,867,899,3929,8984,527592,514679,250.0,1,2,32,17,4,80,0,3176,6856,1306,50,36,,True,18,432
block,160,1402,10000,39,847,888,3217,9428,524460,511815,250.0,1,1,37,21,7,80,0,3832,6740,1838,40,36,,True,9,216
block,160,1403,10000,41,846,885,2899,8564,522212,510749,250.0,1,2,38,24,3,80,0,4336,6336,1600,42,41,,True,20,480
block,160,1404,10000,30,897,947,2173,10548,518232,505511,250.0,1,1,36,20,6,80,0,3884,6548,1787,29,41,,True,17,392
block,160,1405,10000,36,857,901,2828,9144,519824,507852,250.0,1,2,26,19,4,80,0,3772,6668,1709,40,35,,True,14,336
block,160,1406,10000,41,826,865,3438,9672,523668,510558,250.0,1,2,29,25,3,80,0,4508,6256,1631,35,44,,True,22,528
block,160,1407,10000,41,887,926,3019,8388,519840,508433,250.0,1,1,27,21,5,80,0,4236,6720,1930,38,47,,True,16,384
block,160,1408,10000,33,844,891,2196,12028,525056,510832,250.0,1,1,26,25,4,80,0,4600,6088,1796,30,41,,True,21,504
block,160,1409,10000,38,848,890,3056,9176,522740,510508,250.0,1,1,29,11,2,80,0,2508,7740,893,44,41,,True,8,192
