arm,birth_threshold,movement_cost,seed,attempted_moves,blocked_moves,blocked_fraction,movement_payment_deaths,basal_deaths,basal_paid,movement_paid,birth_paid,food_eaten,births,founder_to_descendant_energy,founder_ending_energy,descendant_ending_energy,population_at_100,alive_at_10000
dispersed,40,0,1500,1290,127,0.09844961240310078,0,120,5338,0,228,3884,57,813,99,139,17,True
dispersed,40,0,1501,1469,160,0.10891763104152484,0,119,6024,0,224,4680,56,831,202,150,17,True
dispersed,40,0,1502,1346,111,0.0824665676077266,0,118,5603,0,220,4184,55,804,85,196,17,True
dispersed,40,0,1503,1444,141,0.09764542936288088,0,116,5962,0,216,4492,54,753,116,118,18,True
dispersed,40,0,1504,1630,140,0.08588957055214724,0,113,6622,0,244,5400,61,874,105,349,28,True
dispersed,40,0,1505,1338,146,0.10911808669656203,0,103,5516,0,208,4316,52,692,96,416,29,True
dispersed,40,0,1506,1464,139,0.09494535519125682,0,102,5747,0,216,4652,54,787,235,374,32,True
dispersed,40,0,1507,1713,152,0.08873321657910099,0,132,6703,0,308,5504,77,999,102,311,25,True
dispersed,40,0,1508,1419,99,0.06976744186046512,0,97,5825,0,176,4548,44,686,207,260,27,True
dispersed,40,0,1509,1501,182,0.12125249833444371,0,116,5993,0,256,4900,64,891,143,428,28,True
dispersed,40,1,1500,982,82,0.0835030549898167,28,85,3942,982,156,3272,39,635,22,90,6,False
dispersed,40,1,1501,1066,88,0.0825515947467167,27,95,4281,1066,204,3820,51,711,31,158,9,False
dispersed,40,1,1502,953,65,0.06820566631689402,30,87,3814,953,176,3144,44,635,3,118,7,False
dispersed,40,1,1503,1079,91,0.08433734939759036,21,83,4230,1079,156,3804,39,581,86,173,15,False
dispersed,40,1,1504,941,81,0.08607863974495218,26,82,3970,941,140,3212,35,610,32,49,7,False
dispersed,40,1,1505,845,68,0.08047337278106509,16,89,3512,845,112,2592,28,463,11,32,3,False
dispersed,40,1,1506,889,87,0.09786276715410573,19,88,3639,889,120,2788,30,539,0,60,3,False
dispersed,40,1,1507,1047,90,0.08595988538681948,24,90,4317,1047,160,3680,40,730,65,11,6,False
dispersed,40,1,1508,1100,83,0.07545454545454545,24,76,4287,1100,136,3824,34,478,113,108,14,False
dispersed,40,1,1509,1058,102,0.09640831758034027,18,103,4290,1058,184,3664,46,711,0,52,5,False
dispersed,160,0,1500,1357,56,0.04126750184229919,0,49,5316,0,0,4852,0,0,1456,0,31,True
dispersed,160,0,1501,1380,65,0.04710144927536232,0,50,5404,0,0,4428,0,0,944,0,30,True
dispersed,160,0,1502,1270,69,0.05433070866141732,0,55,4876,0,0,4036,0,0,1080,0,25,True
dispersed,160,0,1503,1288,59,0.04580745341614907,0,52,5064,0,0,4488,0,0,1344,0,28,True
dispersed,160,0,1504,1226,69,0.05628058727569331,0,57,4932,0,0,3996,0,0,984,0,23,True
dispersed,160,0,1505,1307,63,0.04820198928844682,0,53,5256,0,0,4384,0,0,1048,0,27,True
dispersed,160,0,1506,1242,57,0.04589371980676329,0,56,5052,0,0,4088,0,0,956,0,24,True
dispersed,160,0,1507,1285,65,0.05058365758754864,0,51,5172,0,0,4252,0,0,1000,0,29,True
dispersed,160,0,1508,1310,77,0.05877862595419847,0,54,5308,0,0,4432,0,0,1044,0,26,True
dispersed,160,0,1509,1280,84,0.065625,0,54,5044,0,0,4128,0,0,1004,0,26,True
dispersed,160,1,1500,1026,46,0.04483430799220273,12,53,4009,1026,0,3696,0,0,581,0,15,True
dispersed,160,1,1501,1061,48,0.04524033930254477,17,46,4177,1061,0,3840,0,0,522,0,17,True
dispersed,160,1,1502,831,41,0.049338146811071,17,54,3418,831,0,2600,0,0,271,0,9,True
dispersed,160,1,1503,955,35,0.03664921465968586,15,55,3701,955,0,3136,0,0,400,0,10,True
dispersed,160,1,1504,900,54,0.06,14,56,3667,900,0,2976,0,0,329,0,10,True
dispersed,160,1,1505,927,42,0.045307443365695796,10,59,3967,927,0,3308,0,0,334,0,11,True
dispersed,160,1,1506,893,41,0.04591265397536394,8,60,3694,893,0,3268,0,0,601,0,12,True
dispersed,160,1,1507,975,31,0.031794871794871796,15,50,3875,975,0,3424,0,0,494,0,15,True
dispersed,160,1,1508,993,42,0.04229607250755287,17,49,4044,993,0,3536,0,0,419,0,14,True
dispersed,160,1,1509,859,43,0.050058207217694994,16,54,3537,859,0,2956,0,0,480,0,10,True
block,40,0,1500,1855,428,0.2307277628032345,0,190,7679,0,496,6420,124,618,11,154,14,True
block,40,0,1501,1883,541,0.2873074880509825,0,208,7743,0,528,6388,132,967,0,37,4,False
block,40,0,1502,1837,507,0.2759934676102341,0,204,7589,0,520,6240,130,775,0,51,6,False
