arm,birth_threshold,movement_cost,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,population_at_100,births_at_100,early_peak_population,first_peak_tick,food_eaten_by_100,food_at_100,organism_energy_at_100,population_at_500,population_at_5000,extinction_tick,right_censored,founders_on_food,food_under_founders
dispersed,40,0,1500,10000,53,8503,8530,948,6336,573512,566228,250.0,1,1,245,17,57,117,16,3884,6588,238,27,55,,True,19,456
dispersed,40,0,1501,10000,54,8434,8460,890,7080,577552,569582,250.0,1,1,237,17,56,122,22,4680,5728,352,21,59,,True,20,480
dispersed,40,0,1502,10000,76,8538,8542,1532,8072,571616,562012,250.0,1,1,270,17,55,114,22,4184,6316,281,25,40,,True,16,384
dispersed,40,0,1503,10000,51,8634,8663,1004,8284,571804,562516,250.0,1,1,242,18,54,112,20,4492,6288,234,17,88,,True,15,360
dispersed,40,0,1504,10000,57,8515,8538,1013,7772,572412,563627,250.0,1,1,224,28,61,114,20,5400,5408,454,34,63,,True,15,360
dispersed,40,0,1505,10000,44,8645,8681,773,5968,575036,568295,250.0,1,1,230,29,52,108,21,4316,6212,512,7,57,,True,13,312
dispersed,40,0,1506,10000,79,8461,8462,1508,8100,574560,564952,250.0,1,1,196,32,54,110,21,4652,6024,609,35,37,,True,11,264
dispersed,40,0,1507,10000,73,8783,8790,1230,8332,574540,564978,250.0,1,1,255,25,77,124,19,5504,5208,413,2,123,,True,16,384
dispersed,40,0,1508,10000,40,8452,8492,778,7188,571744,563778,250.0,1,1,263,27,44,102,18,4548,5824,467,37,66,,True,19,456
dispersed,40,0,1509,10000,93,8671,8658,1621,5944,571492,563927,250.0,1,1,246,28,64,118,21,4900,5744,571,18,41,,True,18,432
dispersed,40,1,1500,10000,0,1583,1663,0,24576,122388,97812,,0,0,,6,39,110,13,3272,7240,112,125,0,2207,False,19,456
dispersed,40,1,1501,10000,0,810,890,0,24576,76052,51476,,0,0,,9,51,115,15,3820,6576,189,54,0,1139,False,20,480
dispersed,40,1,1502,10000,0,960,1040,0,24576,80428,55852,,0,0,,7,44,107,17,3144,7176,121,135,0,1237,False,16,384
dispersed,40,1,1503,10000,0,4487,4567,0,24576,313404,288828,,0,0,,15,39,99,11,3804,6808,259,27,63,5555,False,15,360
dispersed,40,1,1504,10000,0,4387,4467,0,24576,313216,288640,,0,0,,7,35,102,13,3212,7400,81,43,99,5653,False,15,360
dispersed,40,1,1505,10000,0,28,108,0,24576,29096,4520,,0,0,,3,28,100,15,2592,7844,43,0,0,116,False,13,312
dispersed,40,1,1506,10000,0,540,620,0,24576,55448,30872,,0,0,,3,30,99,12,2788,7824,60,26,0,753,False,11,264
dispersed,40,1,1507,10000,0,40,120,0,24576,30204,5628,,0,0,,6,40,109,15,3680,6884,76,0,0,149,False,16,384
dispersed,40,1,1508,10000,0,5349,5429,0,24576,363208,338632,,0,0,,14,34,94,16,3824,6656,221,70,53,6613,False,19,456
dispersed,40,1,1509,10000,0,47,127,0,24576,30272,5696,,0,0,,5,46,110,16,3664,6920,52,0,0,157,False,18,432
dispersed,160,0,1500,10000,53,901,928,3947,6344,564940,554649,250.0,1,4,29,31,0,80,0,4852,5692,1456,59,48,,True,19,456
dispersed,160,0,1501,10000,56,925,949,4338,6736,565904,554830,250.0,1,2,33,30,0,80,0,4428,6000,944,56,49,,True,20,480
dispersed,160,0,1502,10000,54,878,904,4202,7328,564704,553174,250.0,1,2,29,25,0,80,0,4036,6384,1080,66,52,,True,16,384
dispersed,160,0,1503,10000,64,867,883,5010,6096,567980,556874,250.0,1,3,27,28,0,80,0,4488,6164,1344,53,55,,True,15,360
dispersed,160,0,1504,10000,55,903,928,4257,7444,563140,551439,250.0,1,2,29,23,0,80,0,3996,6520,984,66,67,,True,15,360
dispersed,160,0,1505,10000,63,926,943,4611,5988,567692,557093,250.0,1,1,31,27,0,80,0,4384,6124,1048,55,54,,True,13,312
dispersed,160,0,1506,10000,59,878,899,4879,7048,563080,551153,250.0,1,3,25,24,0,80,0,4088,6720,956,58,60,,True,11,264
dispersed,160,0,1507,10000,56,881,905,4595,7568,563420,551257,250.0,1,3,25,29,0,80,0,4252,6348,1000,56,58,,True,16,384
dispersed,160,0,1508,10000,58,907,929,4817,7108,567920,555995,250.0,1,1,23,26,0,80,0,4432,6052,1044,60,52,,True,19,456
dispersed,160,0,1509,10000,58,906,928,4642,6912,564072,552518,250.0,1,2,24,26,0,80,0,4128,6436,1004,46,48,,True,18,432
dispersed,160,1,1500,10000,34,854,900,2229,9748,514984,503007,250.0,1,2,31,15,0,80,0,3696,6744,581,34,30,,True,19,456
dispersed,160,1,1501,10000,41,872,911,3386,9344,520216,507486,250.0,1,1,27,17,0,80,0,3840,6536,522,22,29,,True,20,480
dispersed,160,1,1502,10000,33,848,895,2619,10052,513912,501241,250.0,1,1,26,9,0,80,0,2600,7636,271,17,47,,True,16,384
dispersed,160,1,1503,10000,34,875,921,2644,9636,516108,503828,250.0,1,2,29,10,0,80,0,3136,7388,400,17,45,,True,15,360
dispersed,160,1,1504,10000,40,861,901,3318,9672,521020,508030,250.0,1,2,33,10,0,80,0,2976,7544,329,43,42,,True,15,360
dispersed,160,1,1505,10000,47,884,917,3862,10192,516460,502406,250.0,1,1,30,11,0,80,0,3308,7224,334,32,40,,True,13,312
dispersed,160,1,1506,10000,36,881,925,3052,11624,517244,502568,250.0,1,2,29,12,0,80,0,3268,7408,601,41,40,,True,11,264
dispersed,160,1,1507,10000,45,882,917,3816,9992,517440,503632,250.0,1,1,32,15,0,80,0,3424,6956,494,48,43,,True,16,384
dispersed,160,1,1508,10000,54,871,897,3907,8076,519256,507273,250.0,1,2,33,14,0,80,0,3536,6888,419,35,45,,True,19,456
dispersed,160,1,1509,10000,50,845,875,3567,8200,513656,501889,250.0,1,2,31,10,0,80,0,2956,7384,480,20,39,,True,18,432
block,40,0,1500,10000,73,8799,8806,1311,6188,569240,561741,250.0,1,1,236,14,124,161,23,6420,4588,165,10,6,,True,12,288
block,40,0,1501,10000,0,133,213,0,24576,33004,8428,,0,0,,4,132,192,23,6388,4508,37,0,0,169,False,20,480
block,40,0,1502,10000,0,130,210,0,24576,32744,8168,,0,0,,6,130,191,23,6240,4796,51,0,0,118,False,18,432
block,40,0,1503,10000,43,8679,8716,712,7456,572300,564132,250.0,1,1,259,7,130,173,23,6324,4880,102,168,89,,True,14,336
block,40,0,1504,10000,0,134,214,0,24576,33196,8620,,0,0,,9,134,178,23,6540,4600,103,0,0,190,False,16,384
block,40,0,1505,10000,60,8707,8727,870,5040,572664,566754,250.0,1,1,218,8,124,182,22,6392,4916,139,7,51,,True,19,456
block,40,0,1506,10000,59,8541,8562,1021,8544,577432,567867,250.0,1,1,240,8,127,164,23,6444,5012,143,22,27,,True,11,248
block,40,0,1507,10000,29,8736,8787,452,6756,575056,567848,250.0,1,1,253,3,131,183,23,6460,4576,31,13,59,,True,19,456
block,40,0,1508,10000,76,8746,8750,1412,6900,570192,561880,250.0,1,1,256,7,124,174,23,6076,4812,59,39,51,,True,18,432
block,40,0,1509,10000,40,8630,8670,657,5932,573520,566931,250.0,1,1,202,4,125,183,23,6284,4812,47,31,60,,True,17,408
block,40,1,1500,10000,0,117,197,0,24576,32280,7704,,0,0,,0,117,135,16,5784,5196,0,0,0,96,False,12,288
block,40,1,1501,10000,0,1309,1389,0,24576,104016,79440,,0,0,,3,108,147,17,5516,5196,37,90,0,1593,False,20,480
block,40,1,1502,10000,0,119,199,0,24576,32348,7772,,0,0,,2,119,159,17,5852,5040,20,0,0,109,False,18,432
block,40,1,1503,10000,0,114,194,0,24576,32332,7756,,0,0,,2,114,139,17,5832,5312,33,0,0,122,False,14,336
block,40,1,1504,10000,0,4007,4087,0,24576,268304,243728,,0,0,,7,104,142,17,5720,5380,105,65,0,4877,False,16,384
block,40,1,1505,10000,0,115,195,0,24576,32268,7692,,0,0,,3,115,142,17,5744,5384,14,0,0,125,False,19,456
block,40,1,1506,10000,0,115,195,0,24576,32564,7988,,0,0,,6,115,135,18,5988,5236,90,0,0,159,False,11,248
block,40,1,1507,10000,0,116,196,0,24576,32572,7996,,0,0,,2,116,148,16,6076,4908,15,0,0,112,False,19,456
block,40,1,1508,10000,0,106,186,0,24576,32212,7636,,0,0,,1,106,138,16,5716,5184,4,0,0,103,False,18,432
block,40,1,1509,10000,0,114,194,0,24576,32200,7624,,0,0,,0,114,151,15,5704,5368,0,0,0,89,False,17,408
block,160,0,1500,10000,54,917,943,4528,6772,564680,553380,250.0,1,4,27,24,8,80,0,4188,6348,2198,66,54,,True,12,288
block,160,0,1501,10000,60,894,914,4677,6244,567732,556811,250.0,1,3,29,22,3,80,0,3872,6592,1865,62,66,,True,20,480
block,160,0,1502,10000,53,867,894,4530,8780,564956,551646,250.0,1,3,27,30,10,80,0,4880,5664,2597,46,53,,True,18,432
