arm,birth_threshold,birth_cost,seed,attempted_moves,blocked_moves,blocked_fraction,movement_payment_deaths,basal_deaths,basal_paid,movement_paid,birth_paid,food_eaten,births,founder_to_descendant_energy,founder_ending_energy,descendant_ending_energy,population_at_100,alive_at_10000
block,40,0,1600,2008,614,0.3057768924302789,0,227,8193,0,0,6304,150,705,0,31,3,False
block,40,0,1601,1992,692,0.3473895582329317,0,229,8158,0,0,6256,151,652,4,14,2,False
block,40,0,1602,1981,592,0.29883897021706207,0,217,8361,0,0,6552,144,685,20,91,7,True
block,40,0,1603,1942,606,0.3120494335736354,0,233,8293,0,0,6420,157,777,0,47,4,True
block,40,0,1604,1966,670,0.340793489318413,0,225,8062,0,0,6188,149,793,12,34,4,True
block,40,0,1605,1998,600,0.3003003003003003,0,208,8237,0,0,6500,146,581,0,183,18,False
block,40,0,1606,1983,647,0.32627332324760466,0,230,8235,0,0,6380,157,696,0,65,7,True
block,40,0,1607,1941,704,0.36269963936115407,0,248,8331,0,0,6424,170,708,10,3,2,False
block,40,0,1608,1999,636,0.3181590795397699,0,229,8191,0,0,6332,153,796,0,61,4,True
block,40,0,1609,2086,682,0.32694151486097794,0,235,8392,0,0,6576,162,725,10,94,7,True
block,40,4,1600,1946,483,0.24820143884892087,0,205,7873,0,524,6552,131,563,4,71,6,True
block,40,4,1601,1836,469,0.25544662309368193,0,201,7593,0,528,6360,132,784,9,150,11,False
block,40,4,1602,1881,425,0.22594364699627859,0,193,7809,0,484,6472,121,674,0,99,8,True
block,40,4,1603,1906,484,0.2539349422875131,0,199,7847,0,492,6468,123,764,12,37,4,True
block,40,4,1604,1838,514,0.279651795429815,0,205,7504,0,512,6140,128,813,0,44,3,False
block,40,4,1605,1744,482,0.2763761467889908,0,191,7352,0,504,6120,126,561,0,184,15,False
block,40,4,1606,1845,505,0.27371273712737126,0,211,7664,0,544,6356,136,734,3,65,5,True
block,40,4,1607,1791,511,0.2853154662199888,0,205,7582,0,524,6248,131,622,0,62,6,True
block,40,4,1608,1921,489,0.2545549193128579,0,186,7773,0,468,6504,117,703,8,175,11,True
block,40,4,1609,1826,464,0.25410733844468786,0,198,7668,0,512,6360,128,737,18,82,10,True
block,160,0,1600,1012,64,0.06324110671936758,0,62,4047,0,0,4484,9,567,1449,908,27,True
block,160,0,1601,1026,62,0.06042884990253411,0,60,4096,0,0,4892,7,482,2006,710,27,True
block,160,0,1602,1003,76,0.07577268195413758,0,61,4055,0,0,4612,9,653,1667,810,28,True
block,160,0,1603,1015,90,0.08866995073891626,0,59,4161,0,0,4488,5,405,1819,428,26,True
block,160,0,1604,1013,63,0.06219151036525173,0,62,4140,0,0,4484,7,561,1687,577,25,True
block,160,0,1605,959,61,0.06360792492179354,0,63,3906,0,0,3596,5,407,1093,517,22,True
block,160,0,1606,934,51,0.05460385438972163,0,62,3868,0,0,4156,7,567,1549,659,25,True
block,160,0,1607,933,58,0.06216505894962487,0,61,3925,0,0,4208,7,485,1535,668,26,True
block,160,0,1608,927,61,0.06580366774541532,0,64,3909,0,0,4312,10,733,1355,968,26,True
block,160,0,1609,1020,66,0.06470588235294118,0,62,3997,0,0,4756,9,568,1780,899,27,True
block,160,4,1600,997,63,0.06318956870611836,0,62,4035,0,32,4484,8,475,1521,816,26,True
block,160,4,1601,1026,62,0.06042884990253411,0,60,4096,0,28,4892,7,469,1995,693,27,True
block,160,4,1602,988,62,0.06275303643724696,0,61,4045,0,36,4532,9,714,1486,885,28,True
block,160,4,1603,1015,90,0.08866995073891626,0,59,4161,0,20,4488,5,395,1809,418,26,True
block,160,4,1604,1013,63,0.06219151036525173,0,62,4140,0,28,4484,7,547,1673,563,25,True
block,160,4,1605,959,61,0.06360792492179354,0,63,3906,0,20,3596,5,396,1084,506,22,True
block,160,4,1606,934,51,0.05460385438972163,0,62,3868,0,28,4156,7,553,1535,645,25,True
block,160,4,1607,933,58,0.06216505894962487,0,61,3925,0,28,4208,7,473,1523,652,26,True
block,160,4,1608,933,62,0.06645230439442658,0,64,3907,0,36,4176,9,637,1259,894,25,True
block,160,4,1609,1029,69,0.06705539358600583,0,62,4004,0,44,4640,11,712,1560,952,29,True
