arm,birth_threshold,movement_cost,birth_cost,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,population_at_100,births_at_100,early_peak_population,first_peak_tick,food_eaten_by_100,food_at_100,organism_energy_at_100,population_at_500,population_at_5000,extinction_tick,right_censored,founders_on_food,food_under_founders
block,40,0,0,1600,10000,0,150,230,0,24576,32860,8284,,0,0,,3,150,194,22,6304,4880,31,0,0,136,False,11,264
block,40,0,0,1601,10000,0,151,231,0,24576,32756,8180,,0,0,,2,151,207,23,6256,4804,18,0,0,118,False,18,432
block,40,0,0,1602,10000,34,9337,9383,735,11968,579752,567049,250.0,1,1,288,7,144,186,23,6552,4532,111,22,40,,True,14,336
block,40,0,0,1603,10000,57,9442,9465,1291,10664,578796,566841,250.0,1,1,233,4,157,210,23,6420,4516,47,20,20,,True,19,456
block,40,0,0,1604,10000,66,9553,9567,1320,6276,581724,574128,250.0,1,1,307,4,149,205,23,6188,4512,46,8,149,,True,17,408
block,40,0,0,1605,10000,0,2108,2188,0,24576,141828,117252,,0,0,,18,146,162,23,6500,4256,183,49,0,2180,False,14,336
block,40,0,0,1606,10000,72,9370,9378,1460,7560,585092,576072,250.0,1,1,260,7,157,195,23,6380,4524,65,23,85,,True,16,384
block,40,0,0,1607,10000,0,170,250,0,24576,32948,8372,,0,0,,2,170,231,23,6424,4608,13,0,0,138,False,16,384
block,40,0,0,1608,10000,53,9605,9632,899,6188,579324,572237,250.0,1,1,258,4,153,198,23,6332,4804,61,8,81,,True,15,360
block,40,0,0,1609,10000,88,9402,9394,1757,7276,576256,567223,250.0,1,1,263,7,162,200,23,6576,4464,104,27,86,,True,13,312
block,40,0,4,1600,10000,65,8815,8830,1134,5928,571016,563954,250.0,1,1,238,6,131,165,23,6552,4676,75,104,60,,True,11,264
block,40,0,4,1601,10000,0,132,212,0,24576,33092,8516,,0,0,,11,132,175,23,6360,4676,159,0,0,244,False,18,432
block,40,0,4,1602,10000,80,8828,8828,1374,7576,566924,557974,250.0,1,1,231,8,121,158,23,6472,4592,99,7,31,,True,14,336
block,40,0,4,1603,10000,44,8664,8700,784,9524,575364,565056,250.0,1,1,237,4,123,173,23,6468,4464,49,25,27,,True,19,456
block,40,0,4,1604,10000,0,128,208,0,24576,32664,8088,,0,0,,3,128,174,23,6140,4624,44,0,0,133,False,17,408
block,40,0,4,1605,10000,0,3851,3931,0,24576,262940,238364,,0,0,,15,126,159,22,6120,4708,184,90,0,4419,False,14,336
