arm,birth_threshold,renewal,seed,attempted_moves,blocked_moves,blocked_fraction,movement_payment_deaths,basal_deaths,basal_paid,movement_paid,birth_paid,food_eaten,births,founder_to_descendant_energy,founder_ending_energy,descendant_ending_energy,population_at_100,alive_at_10000
block,40,frequent-small,1700,1985,705,0.35516372795969775,0,235,8317,0,0,6447,158,778,7,43,3,True
block,40,frequent-small,1701,1947,742,0.3810991268618387,0,241,8083,0,0,6177,163,1015,0,14,2,False
block,40,frequent-small,1702,2005,721,0.3596009975062344,0,223,8198,0,0,6312,146,748,0,34,3,False
block,40,frequent-small,1703,2006,811,0.40428713858424725,0,235,8148,0,0,6228,155,902,0,0,0,False
block,40,frequent-small,1704,1989,725,0.36450477626948213,0,231,8141,0,0,6242,153,949,0,21,2,True
block,40,frequent-small,1705,2093,614,0.29335881509794554,0,221,8338,0,0,6523,149,521,0,105,8,True
block,40,frequent-small,1706,1950,609,0.3123076923076923,0,233,8216,0,0,6311,155,645,0,15,2,False
block,40,frequent-small,1707,2023,733,0.36233316856154224,0,232,8301,0,0,6418,155,955,0,37,3,False
block,40,frequent-small,1708,2041,636,0.31161195492405686,0,231,8331,0,0,6424,153,775,0,13,2,False
block,40,frequent-small,1709,1980,728,0.36767676767676766,0,236,8196,0,0,6307,158,732,0,31,2,False
block,40,reference,1700,2059,681,0.330743079164643,0,232,8458,0,0,6596,157,799,48,10,5,True
block,40,reference,1701,1978,734,0.3710819009100101,0,227,8207,0,0,6340,152,1186,14,39,5,False
block,40,reference,1702,2029,748,0.36865450961064566,0,236,8227,0,0,6340,157,773,0,33,1,False
block,40,reference,1703,1979,776,0.39211723092470946,0,236,8128,0,0,6260,159,858,26,26,3,False
block,40,reference,1704,1989,744,0.3740573152337858,0,229,8291,0,0,6388,153,930,0,17,4,False
block,40,reference,1705,1891,592,0.3130618720253834,0,232,8053,0,0,6152,154,541,0,19,2,False
block,40,reference,1706,1879,649,0.3453964874933475,0,232,8006,0,0,6116,154,685,0,30,2,False
block,40,reference,1707,2039,660,0.3236880823933301,0,225,8248,0,0,6392,148,907,0,64,3,False
block,40,reference,1708,2012,719,0.3573558648111332,0,223,8257,0,0,6432,151,684,0,95,8,False
block,40,reference,1709,2001,711,0.3553223388305847,0,238,8108,0,0,6188,158,834,0,0,0,False
block,40,rare-large,1700,2003,636,0.3175237144283575,0,228,8356,0,0,6608,158,923,18,154,10,False
block,40,rare-large,1701,1978,701,0.3543983822042467,0,236,8195,0,0,6316,159,1125,0,41,3,False
block,40,rare-large,1702,2005,709,0.3536159600997506,0,237,8404,0,0,6560,162,772,12,64,5,False
block,40,rare-large,1703,1907,633,0.3319349764027268,0,229,7823,0,0,5972,152,924,0,69,3,True
block,40,rare-large,1704,2028,705,0.34763313609467456,0,232,8156,0,0,6272,154,887,0,36,2,True
block,40,rare-large,1705,2074,536,0.25843780135004824,0,228,8431,0,0,6688,159,544,0,177,11,True
block,40,rare-large,1706,1931,717,0.3713102019678923,0,241,8135,0,0,6276,165,707,11,50,4,False
block,40,rare-large,1707,1958,703,0.35903983656792643,0,238,8010,0,0,6104,159,969,0,14,1,False
block,40,rare-large,1708,1941,660,0.3400309119010819,0,234,8107,0,0,6212,159,752,0,25,5,False
block,40,rare-large,1709,1925,714,0.3709090909090909,0,238,7858,0,0,5972,159,711,0,34,1,False
block,160,frequent-small,1700,1004,52,0.05179282868525897,0,58,4284,0,0,5151,8,648,2051,736,30,True
block,160,frequent-small,1701,1201,72,0.05995004163197336,0,54,4605,0,0,5085,5,324,1918,482,31,True
block,160,frequent-small,1702,991,92,0.09283551967709384,0,60,4090,0,0,4203,7,405,1325,708,27,True
block,160,frequent-small,1703,1003,70,0.06979062811565304,0,58,4253,0,0,4853,5,405,2048,472,27,True
block,160,frequent-small,1704,1016,65,0.0639763779527559,0,63,4130,0,0,4490,7,567,1459,821,24,True
block,160,frequent-small,1705,936,71,0.07585470085470085,0,67,3549,0,0,3763,8,484,1366,768,21,True
block,160,frequent-small,1706,890,43,0.048314606741573035,0,63,3829,0,0,3851,7,404,1328,614,24,True
block,160,frequent-small,1707,1113,76,0.06828391734052111,0,59,4315,0,0,4848,8,649,1739,714,29,True
block,160,frequent-small,1708,1055,80,0.07582938388625593,0,58,4234,0,0,4444,5,322,1688,442,27,True
block,160,frequent-small,1709,1000,74,0.074,0,59,4081,0,0,4369,6,490,1634,574,27,True
block,160,reference,1700,980,60,0.061224489795918366,0,60,4083,0,0,4552,7,568,1776,613,27,True
block,160,reference,1701,1209,85,0.07030603804797353,0,52,4683,0,0,4972,3,243,1961,248,31,True
block,160,reference,1702,939,63,0.0670926517571885,0,61,3928,0,0,4248,6,486,1646,594,25,True
block,160,reference,1703,1095,70,0.0639269406392694,0,57,4399,0,0,5224,7,570,2146,599,30,True
block,160,reference,1704,1042,58,0.05566218809980806,0,61,4311,0,0,4816,11,567,1549,876,30,True
block,160,reference,1705,925,60,0.06486486486486487,0,66,3644,0,0,3856,9,565,1171,961,23,True
block,160,reference,1706,790,46,0.05822784810126582,0,66,3558,0,0,2992,3,242,1018,336,17,True
block,160,reference,1707,1107,88,0.07949412827461608,0,55,4405,0,0,4896,6,488,1900,511,31,True
block,160,reference,1708,1046,76,0.07265774378585087,0,59,4190,0,0,4708,6,490,1822,616,27,True
block,160,reference,1709,1032,83,0.08042635658914729,0,57,4273,0,0,4836,7,488,1836,647,30,True
block,160,rare-large,1700,1033,74,0.07163601161665054,0,57,4339,0,0,5016,10,730,1730,867,33,True
block,160,rare-large,1701,1139,78,0.0684811237928007,0,57,4577,0,0,5016,7,572,1664,695,30,True
block,160,rare-large,1702,912,65,0.0712719298245614,0,62,3796,0,0,4016,6,491,1533,607,24,True
block,160,rare-large,1703,1116,84,0.07526881720430108,0,57,4478,0,0,5088,6,487,1909,621,29,True
block,160,rare-large,1704,1032,68,0.06589147286821706,0,62,4227,0,0,4624,10,807,1453,864,28,True
block,160,rare-large,1705,936,60,0.0641025641025641,0,64,3711,0,0,3772,9,729,1131,850,25,True
block,160,rare-large,1706,913,66,0.07228915662650602,0,61,3914,0,0,4004,6,486,1370,640,25,True
block,160,rare-large,1707,1176,89,0.07568027210884354,0,58,4460,0,0,5228,9,488,1844,844,31,True
block,160,rare-large,1708,1005,50,0.04975124378109453,0,60,4162,0,0,4424,4,323,1781,401,24,True
block,160,rare-large,1709,954,70,0.07337526205450734,0,58,4085,0,0,4244,4,322,1702,377,26,True
