arm,birth_threshold,renewal,movement_cost,birth_cost,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,resources_added_by_100,cumulative_uptake_by_100,population_at_100,births_at_100,early_peak_population,first_peak_tick,food_eaten_by_100,food_at_100,organism_energy_at_100,resources_added_by_500,cumulative_uptake_by_500,population_at_500,resources_added_by_5000,cumulative_uptake_by_5000,population_at_5000,resources_added_by_10000,cumulative_uptake_by_10000,extinction_tick,right_censored,founders_on_food,food_under_founders
block,40,frequent-small,0,0,1700,10000,107,9198,9171,2041,8898,605518,594579,250.0,1,1,235,6087,6447,3,158,221,24,6447,4760,50,30307,29877,33,299053,295952,67,598478,594700,,True,20,480
block,40,frequent-small,0,0,1701,10000,0,163,243,0,24576,32696,8120,,0,0,,6040,6177,2,163,231,23,6177,4983,14,25152,6200,0,25656,6200,0,25656,6200,133,False,28,672
block,40,frequent-small,0,0,1702,10000,0,146,226,0,24576,32833,8257,,0,0,,5832,6312,3,146,201,23,6312,4640,34,25165,6337,0,25793,6337,0,25793,6337,150,False,19,440
block,40,frequent-small,0,0,1703,10000,0,155,235,0,24576,32724,8148,,0,0,,6079,6228,0,155,232,24,6228,4971,0,25181,6228,0,25684,6228,0,25684,6228,86,False,22,528
block,40,frequent-small,0,0,1704,10000,123,9690,9647,2121,4824,606478,599533,250.0,1,1,229,5955,6242,2,153,208,25,6242,4833,21,29708,29601,19,299819,297654,78,599438,599734,,True,23,536
block,40,frequent-small,0,0,1705,10000,70,9465,9475,1150,4359,605562,600053,250.0,1,1,249,5872,6523,8,149,188,24,6523,4469,105,29363,29628,12,298363,298322,43,598522,599283,,True,12,288
block,40,frequent-small,0,0,1706,10000,0,155,235,0,24576,32808,8232,,0,0,,5786,6311,2,155,201,23,6311,4595,15,25143,6312,0,25768,6312,0,25768,6312,108,False,14,336
block,40,frequent-small,0,0,1707,10000,0,155,235,0,24576,32958,8382,,0,0,,6014,6418,3,155,214,24,6418,4716,37,25263,6462,0,25918,6462,0,25918,6462,137,False,23,552
block,40,frequent-small,0,0,1708,10000,0,153,233,0,24576,32922,8346,,0,0,,5908,6424,2,153,200,23,6424,4604,13,25210,6426,0,25882,6426,0,25882,6426,114,False,19,456
block,40,frequent-small,0,0,1709,10000,0,158,238,0,24576,32838,8262,,0,0,,5959,6307,2,158,227,25,6307,4772,31,25269,6342,0,25798,6342,0,25798,6342,138,False,18,432
