arm,birth_threshold,renewal,food_capacity,seed,attempted_moves,blocked_moves,blocked_fraction,movement_payment_deaths,basal_deaths,basal_paid,movement_paid,birth_paid,food_eaten,births,founder_to_descendant_energy,founder_ending_energy,descendant_ending_energy,population_at_100,alive_at_10000
block,40,frequent-small,24,1800,2022,688,0.34025717111770526,0,240,8317,0,0,6397,160,607,0,0,0,False
block,40,frequent-small,24,1801,1897,637,0.33579335793357934,0,227,8047,0,0,6150,149,693,0,23,2,False
block,40,frequent-small,24,1802,1935,593,0.30645994832041346,0,223,8221,0,0,6317,148,426,0,16,5,False
block,40,frequent-small,24,1803,1927,669,0.3471717695900363,0,233,8279,0,0,6395,159,670,0,36,6,False
block,40,frequent-small,24,1804,2015,571,0.2833746898263027,0,230,8405,0,0,6526,155,556,0,41,5,True
block,40,frequent-small,24,1805,2032,679,0.33415354330708663,0,221,8324,0,0,6460,147,904,30,26,6,False
block,40,frequent-small,24,1806,2042,674,0.33006856023506365,0,222,8285,0,0,6407,145,771,0,42,3,True
block,40,frequent-small,24,1807,2010,729,0.36268656716417913,0,234,8206,0,0,6316,159,789,1,29,5,True
block,40,frequent-small,24,1808,2061,618,0.29985443959243085,0,222,8312,0,0,6419,149,478,0,27,7,False
block,40,frequent-small,24,1809,2081,755,0.3628063431042768,0,226,8229,0,0,6384,151,890,0,75,5,True
block,40,frequent-small,96,1800,2064,689,0.3338178294573643,0,231,8497,0,0,6675,157,582,0,98,6,True
block,40,frequent-small,96,1801,1949,728,0.37352488455618266,0,244,8309,0,0,6389,164,736,0,0,0,False
block,40,frequent-small,96,1802,2115,668,0.315839243498818,0,233,8610,0,0,6721,158,451,0,31,5,False
block,40,frequent-small,96,1803,1920,648,0.3375,0,224,8283,0,0,6478,154,670,0,115,10,True
block,40,frequent-small,96,1804,2055,605,0.2944038929440389,0,228,8550,0,0,6668,153,617,8,30,5,True
block,40,frequent-small,96,1805,2012,629,0.31262425447316106,0,232,8492,0,0,6572,152,771,0,0,0,False
block,40,frequent-small,96,1806,2079,738,0.354978354978355,0,232,8445,0,0,6625,157,807,0,100,5,False
block,40,frequent-small,96,1807,2111,721,0.3415442918048318,0,234,8566,0,0,6725,160,813,0,79,6,True
block,40,frequent-small,96,1808,2126,746,0.3508936970837253,0,240,8657,0,0,6784,164,583,0,47,4,True
block,40,frequent-small,96,1809,2054,725,0.35296981499513147,0,231,8403,0,0,6511,155,928,14,14,4,False
block,40,reference,24,1800,1995,672,0.3368421052631579,0,237,8203,0,0,6312,159,585,4,25,2,True
block,40,reference,24,1801,2065,698,0.33801452784503633,0,225,8285,0,0,6404,150,789,0,39,5,True
block,40,reference,24,1802,1957,599,0.30608073582013284,0,227,8218,0,0,6384,152,517,32,54,5,True
block,40,reference,24,1803,1851,621,0.3354943273905997,0,236,8061,0,0,6184,159,751,0,43,3,False
block,40,reference,24,1804,1906,503,0.263903462749213,0,224,8270,0,0,6456,153,682,0,106,9,True
block,40,reference,24,1805,1974,569,0.28824721377912865,0,223,8270,0,0,6424,151,732,4,70,8,True
block,40,reference,24,1806,2033,694,0.3413674372848008,0,229,8229,0,0,6388,153,667,0,79,4,True
block,40,reference,24,1807,1934,760,0.3929679420889349,0,246,8088,0,0,6168,166,756,0,0,0,False
block,40,reference,24,1808,1963,535,0.27254202750891493,0,224,8251,0,0,6376,149,532,0,45,5,True
block,40,reference,24,1809,2000,711,0.3555,0,235,8299,0,0,6404,157,905,0,25,2,True
block,40,reference,96,1800,1941,668,0.3441524987120041,0,247,8256,0,0,6364,168,601,0,28,1,True
block,40,reference,96,1801,2061,680,0.3299369238233867,0,221,8411,0,0,6672,154,767,28,153,13,True
block,40,reference,96,1802,1977,621,0.3141122913505311,0,228,8254,0,0,6408,153,536,0,74,5,True
block,40,reference,96,1803,2080,635,0.30528846153846156,0,230,8736,0,0,6912,158,687,0,96,8,False
block,40,reference,96,1804,1986,608,0.30614300100704933,0,239,8487,0,0,6608,164,496,0,41,5,True
block,40,reference,96,1805,2043,695,0.3401860009789525,0,240,8352,0,0,6472,163,810,0,40,3,True
block,40,reference,96,1806,2139,734,0.34315100514259,0,239,8632,0,0,6728,162,728,0,16,3,False
block,40,reference,96,1807,2046,718,0.3509286412512219,0,237,8261,0,0,6392,162,696,0,51,5,False
block,40,reference,96,1808,2028,601,0.2963510848126233,0,231,8416,0,0,6568,157,599,0,72,6,True
block,40,reference,96,1809,2065,712,0.3447941888619855,0,236,8526,0,0,6684,162,886,0,78,6,False
block,40,rare-large,24,1800,2059,614,0.2982030111704711,0,234,8408,0,0,6648,162,713,0,160,8,False
block,40,rare-large,24,1801,2047,710,0.34684904738641914,0,235,8535,0,0,6720,164,773,24,81,9,True
block,40,rare-large,24,1802,2029,607,0.299162148841794,0,232,8373,0,0,6600,160,584,0,147,8,True
block,40,rare-large,24,1803,1967,675,0.3431621759023894,0,217,8130,0,0,6436,149,796,44,182,12,True
block,40,rare-large,24,1804,1871,541,0.28915018706574025,0,224,7918,0,0,6100,151,585,12,90,7,False
block,40,rare-large,24,1805,2022,641,0.31701285855588524,0,224,8333,0,0,6544,155,817,30,101,11,False
block,40,rare-large,24,1806,1863,680,0.36500268384326356,0,220,7669,0,0,5880,146,755,0,131,6,True
block,40,rare-large,24,1807,1949,673,0.3453052847614161,0,230,7885,0,0,6032,155,816,0,67,5,False
block,40,rare-large,24,1808,2041,534,0.2616364527192553,0,215,8206,0,0,6488,147,495,30,172,12,False
block,40,rare-large,24,1809,1975,722,0.3655696202531646,0,233,8034,0,0,6200,157,1065,0,86,4,False
block,40,rare-large,96,1800,2105,709,0.3368171021377672,0,245,8442,0,0,6540,168,587,2,16,3,False
block,40,rare-large,96,1801,2062,749,0.36323957322987394,0,235,8410,0,0,6572,160,736,0,82,5,False
block,40,rare-large,96,1802,1929,585,0.30326594090202175,0,228,8282,0,0,6508,158,516,11,135,10,False
block,40,rare-large,96,1803,2061,653,0.316836487142164,0,230,8408,0,0,6624,163,669,0,136,13,False
block,40,rare-large,96,1804,2010,624,0.31044776119402984,0,242,8327,0,0,6480,167,513,0,73,5,False
block,40,rare-large,96,1805,2002,699,0.34915084915084915,0,236,8440,0,0,6596,163,881,0,76,7,False
block,40,rare-large,96,1806,2004,689,0.343812375249501,0,247,8324,0,0,6404,167,826,0,0,0,False
block,40,rare-large,96,1807,2100,668,0.3180952380952381,0,226,8435,0,0,6632,154,754,0,117,8,False
block,40,rare-large,96,1808,1917,612,0.3192488262910798,0,237,7994,0,0,6128,160,514,0,54,3,False
block,40,rare-large,96,1809,2052,770,0.37524366471734893,0,243,8309,0,0,6412,166,1040,8,15,3,False
block,160,frequent-small,24,1800,964,68,0.07053941908713693,0,65,3996,0,0,4318,8,569,1374,868,23,True
block,160,frequent-small,24,1801,985,75,0.07614213197969544,0,64,3966,0,0,4494,9,650,1612,836,25,True
