arm,birth_threshold,renewal,food_capacity,movement_cost,birth_cost,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,resources_added_by_100,cumulative_uptake_by_100,population_at_100,births_at_100,early_peak_population,first_peak_tick,food_eaten_by_100,food_at_100,organism_energy_at_100,resources_added_by_500,cumulative_uptake_by_500,population_at_500,resources_added_by_5000,cumulative_uptake_by_5000,population_at_5000,resources_added_by_10000,cumulative_uptake_by_10000,active_start_ticks,empty_start_ticks,food_at_active_window_end,resources_added_during_active_start_ticks,cumulative_uptake_at_active_window_end,resources_added_after_extinction,extinction_tick,right_censored,founders_on_food,food_under_founders
block,40,frequent-small,24,0,0,1800,10000,0,160,240,0,24576,32893,8317,,0,0,,5997,6397,0,160,204,23,6397,4720,0,25246,6397,0,25853,6397,0,25853,6397,97,9903,4538,5815,6397,20038,97,False,15,360
block,40,frequent-small,24,0,0,1801,10000,0,1058,1138,0,24576,78539,53963,,0,0,,5971,6150,2,149,211,24,6150,4941,23,29735,29568,8,71499,52043,0,71499,52043,939,9061,8888,55811,52043,15688,939,False,18,432
block,40,frequent-small,24,0,0,1802,10000,0,7563,7643,0,24576,485977,461401,,0,0,,5900,6317,5,148,160,25,6317,4703,16,29979,29681,13,299191,298552,35,478937,459481,7747,2253,8513,462874,459481,16063,7747,False,10,240
block,40,frequent-small,24,0,0,1803,10000,0,159,239,0,24576,32961,8385,,0,0,,5886,6395,6,159,189,23,6395,4611,36,25242,6465,0,25921,6465,0,25921,6465,151,9849,7656,9001,6465,16920,151,False,15,360
block,40,frequent-small,24,0,0,1804,10000,58,9131,9153,1009,7721,605610,596880,250.0,1,1,256,5810,6526,5,155,161,23,6526,4404,41,29236,30927,35,298851,299062,61,598570,595969,10000,0,7721,598570,595969,0,,True,10,240
block,40,frequent-small,24,0,0,1805,10000,0,147,227,0,24576,33162,8586,,0,0,,6023,6460,6,147,196,25,6460,4683,56,25385,6666,0,26122,6666,0,26122,6666,284,9716,15730,17276,6666,8846,284,False,17,408
block,40,frequent-small,24,0,0,1806,10000,124,9188,9144,2551,10515,606872,593806,250.0,1,1,237,5898,6407,3,145,204,24,6407,4611,42,30154,28316,3,300287,296871,31,599832,594437,10000,0,10515,599832,594437,0,,True,14,336
block,40,frequent-small,24,0,0,1807,10000,34,9394,9440,632,9242,605836,595962,250.0,1,1,262,5851,6316,5,159,206,24,6316,4655,30,29879,29830,13,298861,297521,18,598796,594674,10000,0,9242,598796,594674,0,,True,15,360
block,40,frequent-small,24,0,0,1808,10000,0,149,229,0,24576,32922,8346,,0,0,,5853,6419,7,149,192,24,6419,4554,27,25389,6426,0,25882,6426,0,25882,6426,112,9888,5299,6605,6426,19277,112,False,9,216
block,40,frequent-small,24,0,0,1809,10000,14,9230,9296,257,7171,605568,598140,250.0,1,1,235,5985,6384,5,151,207,23,6384,4721,75,29881,29375,14,298250,298578,62,598528,596477,10000,0,7171,598528,596477,0,,True,19,456
block,40,frequent-small,96,0,0,1800,10000,21,9930,9989,323,7050,621286,613913,250.0,1,1,247,6134,6675,6,157,213,23,6675,4579,98,30698,31028,9,307189,303492,34,614246,612316,10000,0,7050,614246,612316,0,,True,15,360
block,40,frequent-small,96,0,0,1801,10000,0,164,244,0,98304,106613,8309,,0,0,,6163,6389,0,164,215,23,6389,4894,0,30627,6389,0,99573,6389,0,99573,6389,94,9906,4543,5812,6389,93761,94,False,18,432
block,40,frequent-small,96,0,0,1802,10000,0,158,238,0,98304,106953,8649,,0,0,,6181,6721,5,158,169,25,6721,4580,31,30877,6729,0,99913,6729,0,99913,6729,116,9884,5577,7186,6729,92727,116,False,10,240
block,40,frequent-small,96,0,0,1803,10000,44,10073,10109,912,6783,621221,613526,250.0,1,1,227,6133,6478,10,154,189,23,6478,4775,115,30668,29926,9,307687,305518,26,614181,612518,10000,0,6783,614181,612518,0,,True,15,360
block,40,frequent-small,96,0,0,1804,10000,57,10061,10084,1168,6859,621442,613415,250.0,1,1,220,6087,6668,5,153,175,25,6668,4539,38,30734,28882,6,307209,305334,25,614402,612663,10000,0,6859,614402,612663,0,,True,10,240
block,40,frequent-small,96,0,0,1805,10000,0,152,232,0,98304,106796,8492,,0,0,,6225,6572,0,152,200,23,6572,4773,0,30702,6572,0,99756,6572,0,99756,6572,94,9906,4398,5850,6572,93906,94,False,17,408
block,40,frequent-small,96,0,0,1806,10000,0,157,237,0,98304,106952,8648,,0,0,,6141,6625,5,157,200,24,6625,4636,100,30924,6728,0,99912,6728,0,99912,6728,170,9830,8793,10401,6728,89511,170,False,14,336
block,40,frequent-small,96,0,0,1807,10000,98,9860,9842,2025,6460,621481,612996,250.0,1,1,256,6025,6725,6,160,214,24,6725,4420,79,30514,30782,12,307040,307086,53,614441,613101,10000,0,6460,614441,613101,0,,True,15,360
block,40,frequent-small,96,0,0,1808,10000,37,10090,10133,427,3561,621018,617030,250.0,1,1,265,6126,6784,4,164,203,24,6784,4462,47,31001,31816,13,306776,306659,61,613978,615537,10000,0,3561,613978,615537,0,,True,9,216
block,40,frequent-small,96,0,0,1809,10000,0,155,235,0,98304,106759,8455,,0,0,,6148,6511,4,155,211,23,6511,4757,28,30656,6535,0,99719,6535,0,99719,6535,136,9864,6948,8363,6535,91356,136,False,19,456
block,40,reference,24,0,0,1800,10000,48,9163,9195,901,8416,578052,568735,250.0,1,1,249,6056,6312,2,159,214,23,6312,4864,29,28732,28612,31,285544,283216,72,571012,567716,10000,0,8416,571012,567716,0,,True,15,360
block,40,reference,24,0,0,1801,10000,74,9516,9522,1121,5788,582452,575543,250.0,1,1,300,6156,6404,5,150,184,22,6404,4872,39,28936,27868,34,288172,285856,31,575412,574744,10000,0,5788,575412,574744,0,,True,18,432
block,40,reference,24,0,0,1802,10000,17,9411,9474,348,9384,579816,570084,250.0,1,1,225,5876,6384,5,152,173,23,6384,4612,86,28124,28640,15,286212,285544,56,572776,568512,10000,0,9384,572776,568512,0,,True,10,240
block,40,reference,24,0,0,1803,10000,0,159,239,0,24576,32696,8120,,0,0,,6036,6184,3,159,191,23,6184,4972,43,23372,6200,0,25656,6200,0,25656,6200,127,9873,6620,7700,6200,17956,127,False,15,360
block,40,reference,24,0,0,1804,10000,42,9451,9489,644,8036,579652,570972,250.0,1,1,242,5616,6456,9,153,177,23,6456,4280,106,28412,28324,20,285148,281272,40,572612,569696,10000,0,8036,572612,569696,0,,True,10,240
