seed,mutation_probability,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,ever_genome_values,changed_births
1900,0,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1900,0,100,1,162,241,2,4824,13200,8374,250.0,1,1,5,1,0
1900,0,500,0,162,242,0,22156,30532,8376,,0,0,,1,0
1900,0,1000,0,162,242,0,24532,32908,8376,,0,0,,1,0
1900,0,5000,0,162,242,0,24576,32952,8376,,0,0,,1,0
1900,0,10000,0,162,242,0,24576,32952,8376,,0,0,,1,0
1900,100,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1900,100,100,2,155,233,16,5044,13216,8156,283.5,2,2,4,20,19
1900,100,500,0,155,235,0,22268,30440,8172,,0,0,,20,19
1900,100,1000,0,155,235,0,24548,32720,8172,,0,0,,20,19
1900,100,5000,0,155,235,0,24576,32748,8172,,0,0,,20,19
1900,100,10000,0,155,235,0,24576,32748,8172,,0,0,,20,19
1901,0,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1901,0,100,6,150,224,97,4540,12796,8159,250.0,1,5,4,1,0
1901,0,500,15,620,685,252,3816,34552,30484,250.0,1,1,22,1,0
1901,0,1000,41,1011,1050,857,8596,63316,53863,250.0,1,1,31,1,0
1901,0,5000,130,4875,4825,2259,4704,292068,285105,250.0,1,1,141,1,0
1901,0,10000,17,9392,9455,357,8404,575216,566455,250.0,1,1,240,1,0
1901,100,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1901,100,100,2,166,244,17,4652,12856,8187,250.0,1,2,3,13,13
1901,100,500,0,166,246,0,22344,30556,8212,,0,0,,13,13
1901,100,1000,0,166,246,0,24568,32780,8212,,0,0,,13,13
1901,100,5000,0,166,246,0,24576,32788,8212,,0,0,,13,13
1901,100,10000,0,166,246,0,24576,32788,8212,,0,0,,13,13
1902,0,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1902,0,100,2,162,240,39,4692,12936,8205,250.0,1,2,4,1,0
1902,0,500,21,637,696,273,3928,35232,31031,250.0,1,2,26,1,0
1902,0,1000,4,1102,1178,81,8004,62952,54867,250.0,1,1,32,1,0
1902,0,5000,69,4827,4838,1211,6380,292188,284597,250.0,1,1,139,1,0
1902,0,10000,76,9707,9711,1383,5936,576288,568969,250.0,1,1,262,1,0
1902,100,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
