seed,mutation_probability,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,ever_genome_values,changed_births,extinction_tick,right_censored
1900,0,10000,0,162,242,0,24576,32952,8376,,0,0,,1,0,102,False
1900,100,10000,0,155,235,0,24576,32748,8172,,0,0,,20,19,109,False
1901,0,10000,17,9392,9455,357,8404,575216,566455,250.0,1,1,240,1,0,,True
1901,100,10000,0,166,246,0,24576,32788,8212,,0,0,,13,13,117,False
1902,0,10000,76,9707,9711,1383,5936,576288,568969,250.0,1,1,262,1,0,,True
1902,100,10000,73,6469,6476,1339,1392,617336,614605,985.6164383561644,9,1,151,266,492,,True
1903,0,10000,0,148,228,0,24576,32908,8332,,0,0,,1,0,231,False
1903,100,10000,0,157,237,0,24576,32740,8164,,0,0,,11,11,161,False
1904,0,10000,0,153,233,0,24576,32844,8268,,0,0,,1,0,139,False
1904,100,10000,0,157,237,0,24576,32600,8024,,0,0,,15,15,113,False
1905,0,10000,0,158,238,0,24576,32916,8340,,0,0,,1,0,115,False
1905,100,10000,0,156,236,0,24576,32776,8200,,0,0,,13,12,132,False
1906,0,10000,0,151,231,0,24576,32716,8140,,0,0,,1,0,146,False
1906,100,10000,54,6526,6552,994,1768,618800,616038,1000.0,1,1,148,299,547,,True
1907,0,10000,0,166,246,0,24576,32736,8160,,0,0,,1,0,132,False
1907,100,10000,0,159,239,0,24576,33588,9012,,0,0,,16,16,314,False
1908,0,10000,0,148,228,0,24576,32976,8400,,0,0,,1,0,183,False
1908,100,10000,70,6563,6573,1287,1496,617084,614301,987.2142857142857,8,1,154,314,531,,True
1909,0,10000,0,156,236,0,24576,32980,8404,,0,0,,1,0,140,False
1909,100,10000,62,6318,6336,1258,1756,617748,614734,995.3870967741935,7,1,146,305,528,,True
1910,0,10000,31,9443,9492,521,8044,580256,571691,250.0,1,1,276,1,0,,True
1910,100,10000,0,642,722,0,24576,56144,31568,,0,0,,59,64,578,False
1911,0,10000,71,9452,9461,1331,8056,581224,571837,250.0,1,1,260,1,0,,True
1911,100,10000,0,160,240,0,24576,32852,8276,,0,0,,15,15,163,False
1912,0,10000,0,152,232,0,24576,32940,8364,,0,0,,1,0,130,False
1912,100,10000,0,151,231,0,24576,32944,8368,,0,0,,11,11,167,False
1913,0,10000,72,9685,9693,1208,5448,579532,572876,250.0,1,1,262,1,0,,True
1913,100,10000,58,6531,6553,1101,1752,618868,616015,942.4655172413793,13,1,169,304,567,,True
1914,0,10000,80,9460,9460,1704,8044,582756,573008,250.0,1,1,258,1,0,,True
1914,100,10000,65,6867,6882,1212,2332,616644,613100,978.2923076923076,10,1,146,399,639,,True
1915,0,10000,46,9505,9539,868,6868,576984,569248,250.0,1,1,275,1,0,,True
1915,100,10000,52,6601,6629,933,1696,616880,614251,987.5961538461538,7,1,147,343,571,,True
1916,0,10000,30,9109,9159,628,11428,583528,571472,250.0,1,1,263,1,0,,True
1916,100,10000,0,161,241,0,24576,32976,8400,,0,0,,13,12,136,False
1917,0,10000,0,158,238,0,24576,32764,8188,,0,0,,1,0,88,False
1917,100,10000,62,6872,6890,1067,1360,613848,611421,994.9193548387096,7,1,161,339,581,,True
1918,0,10000,0,147,227,0,24576,32928,8352,,0,0,,1,0,188,False
1918,100,10000,56,6510,6534,1001,1868,618700,615831,962.0714285714286,11,1,157,293,516,,True
1919,0,10000,0,158,238,0,24576,32980,8404,,0,0,,1,0,210,False
1919,100,10000,59,6690,6711,1046,1780,614864,612038,993.9830508474577,5,1,163,375,585,,True
