source_seed,replicate,arm,seed,founder_trait,sampled_individual_id,source_founder_id,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,ever_genome_values,changed_births
1900,0,ancestor,2000,250,210,77,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1900,0,ancestor,2000,250,210,77,100,2,154,232,46,4800,12984,8138,250.0,1,2,2,1,0
1900,0,ancestor,2000,250,210,77,500,11,585,654,193,6252,35800,29355,250.0,1,1,18,1,0
1900,0,ancestor,2000,250,210,77,1000,106,1097,1071,1674,5728,64776,57374,250.0,1,1,35,1,0
1900,0,ancestor,2000,250,210,77,5000,80,4797,4797,1492,7156,293308,284660,250.0,1,1,152,1,0
1900,0,ancestor,2000,250,210,77,10000,29,9398,9449,578,11280,580092,568234,250.0,1,1,278,1,0
1900,0,sampled,2000,250,210,77,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1900,0,sampled,2000,250,210,77,100,2,154,232,46,4800,12984,8138,250.0,1,2,2,1,0
1900,0,sampled,2000,250,210,77,500,11,585,654,193,6252,35800,29355,250.0,1,1,18,1,0
1900,0,sampled,2000,250,210,77,1000,106,1097,1071,1674,5728,64776,57374,250.0,1,1,35,1,0
1900,0,sampled,2000,250,210,77,5000,80,4797,4797,1492,7156,293308,284660,250.0,1,1,152,1,0
1900,0,sampled,2000,250,210,77,10000,29,9398,9449,578,11280,580092,568234,250.0,1,1,278,1,0
1900,1,ancestor,2001,250,210,77,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1900,1,ancestor,2001,250,210,77,100,5,150,225,31,4772,13032,8229,250.0,1,4,5,1,0
1900,1,ancestor,2001,250,210,77,500,0,151,231,0,22228,30632,8404,,0,0,,1,0
1900,1,ancestor,2001,250,210,77,1000,0,151,231,0,24564,32968,8404,,0,0,,1,0
1900,1,ancestor,2001,250,210,77,5000,0,151,231,0,24576,32980,8404,,0,0,,1,0
1900,1,ancestor,2001,250,210,77,10000,0,151,231,0,24576,32980,8404,,0,0,,1,0
1900,1,sampled,2001,250,210,77,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1900,1,sampled,2001,250,210,77,100,5,150,225,31,4772,13032,8229,250.0,1,4,5,1,0
1900,1,sampled,2001,250,210,77,500,0,151,231,0,22228,30632,8404,,0,0,,1,0
1900,1,sampled,2001,250,210,77,1000,0,151,231,0,24564,32968,8404,,0,0,,1,0
1900,1,sampled,2001,250,210,77,5000,0,151,231,0,24576,32980,8404,,0,0,,1,0
1900,1,sampled,2001,250,210,77,10000,0,151,231,0,24576,32980,8404,,0,0,,1,0
1900,2,ancestor,2002,250,210,77,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1900,2,ancestor,2002,250,210,77,100,2,152,230,25,4896,12996,8075,250.0,1,2,6,1,0
1900,2,ancestor,2002,250,210,77,500,0,152,232,0,22100,30260,8160,,0,0,,1,0
1900,2,ancestor,2002,250,210,77,1000,0,152,232,0,24556,32716,8160,,0,0,,1,0
1900,2,ancestor,2002,250,210,77,5000,0,152,232,0,24576,32736,8160,,0,0,,1,0
1900,2,ancestor,2002,250,210,77,10000,0,152,232,0,24576,32736,8160,,0,0,,1,0
1900,2,sampled,2002,250,210,77,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1900,2,sampled,2002,250,210,77,100,2,152,230,25,4896,12996,8075,250.0,1,2,6,1,0
1900,2,sampled,2002,250,210,77,500,0,152,232,0,22100,30260,8160,,0,0,,1,0
1900,2,sampled,2002,250,210,77,1000,0,152,232,0,24556,32716,8160,,0,0,,1,0
1900,2,sampled,2002,250,210,77,5000,0,152,232,0,24576,32736,8160,,0,0,,1,0
1900,2,sampled,2002,250,210,77,10000,0,152,232,0,24576,32736,8160,,0,0,,1,0
1900,3,ancestor,2003,250,210,77,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1900,3,ancestor,2003,250,210,77,100,2,157,235,25,4892,12960,8043,250.0,1,2,4,1,0
1900,3,ancestor,2003,250,210,77,500,0,157,237,0,22468,30628,8160,,0,0,,1,0
1900,3,ancestor,2003,250,210,77,1000,0,157,237,0,24536,32696,8160,,0,0,,1,0
1900,3,ancestor,2003,250,210,77,5000,0,157,237,0,24576,32736,8160,,0,0,,1,0
1900,3,ancestor,2003,250,210,77,10000,0,157,237,0,24576,32736,8160,,0,0,,1,0
1900,3,sampled,2003,250,210,77,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1900,3,sampled,2003,250,210,77,100,2,157,235,25,4892,12960,8043,250.0,1,2,4,1,0
1900,3,sampled,2003,250,210,77,500,0,157,237,0,22468,30628,8160,,0,0,,1,0
1900,3,sampled,2003,250,210,77,1000,0,157,237,0,24536,32696,8160,,0,0,,1,0
1900,3,sampled,2003,250,210,77,5000,0,157,237,0,24576,32736,8160,,0,0,,1,0
1900,3,sampled,2003,250,210,77,10000,0,157,237,0,24576,32736,8160,,0,0,,1,0
1900,4,ancestor,2004,250,210,77,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1900,4,ancestor,2004,250,210,77,100,3,161,238,36,4832,13004,8136,250.0,1,2,9,1,0
1900,4,ancestor,2004,250,210,77,500,0,161,241,0,22460,30700,8240,,0,0,,1,0
1900,4,ancestor,2004,250,210,77,1000,0,161,241,0,24548,32788,8240,,0,0,,1,0
1900,4,ancestor,2004,250,210,77,5000,0,161,241,0,24576,32816,8240,,0,0,,1,0
1900,4,ancestor,2004,250,210,77,10000,0,161,241,0,24576,32816,8240,,0,0,,1,0
1900,4,sampled,2004,250,210,77,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1900,4,sampled,2004,250,210,77,100,3,161,238,36,4832,13004,8136,250.0,1,2,9,1,0
1900,4,sampled,2004,250,210,77,500,0,161,241,0,22460,30700,8240,,0,0,,1,0
1900,4,sampled,2004,250,210,77,1000,0,161,241,0,24548,32788,8240,,0,0,,1,0
1900,4,sampled,2004,250,210,77,5000,0,161,241,0,24576,32816,8240,,0,0,,1,0
1900,4,sampled,2004,250,210,77,10000,0,161,241,0,24576,32816,8240,,0,0,,1,0
1901,0,ancestor,2005,250,158,8,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1901,0,ancestor,2005,250,158,8,100,2,147,225,8,5036,12980,7936,250.0,1,2,5,1,0
1901,0,ancestor,2005,250,158,8,500,0,147,227,0,22272,30228,7956,,0,0,,1,0
1901,0,ancestor,2005,250,158,8,1000,0,147,227,0,24532,32488,7956,,0,0,,1,0
1901,0,ancestor,2005,250,158,8,5000,0,147,227,0,24576,32532,7956,,0,0,,1,0
1901,0,ancestor,2005,250,158,8,10000,0,147,227,0,24576,32532,7956,,0,0,,1,0
1901,0,sampled,2005,250,158,8,0,80,0,0,1920,5120,7040,0,250.0,1,80,0,1,0
1901,0,sampled,2005,250,158,8,100,2,147,225,8,5036,12980,7936,250.0,1,2,5,1,0
