seed,mutation_probability,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,ever_genome_values,changed_births,extinction_tick,right_censored,source_seed,replicate,arm,founder_trait,sampled_individual_id,source_founder_id,final_state_sha256
2000,0,10000,29,9398,9449,578,11280,580092,568234,250.0,1,1,278,1,0,,True,1900,0,sampled,250,210,77,16ab6d46727f3fdcdb4cbac67337f8c5ebaefd01ff993728841e3f5d414c3096
2000,0,10000,29,9398,9449,578,11280,580092,568234,250.0,1,1,278,1,0,,True,1900,0,ancestor,250,210,77,16ab6d46727f3fdcdb4cbac67337f8c5ebaefd01ff993728841e3f5d414c3096
2001,0,10000,0,151,231,0,24576,32980,8404,,0,0,,1,0,190,False,1900,1,sampled,250,210,77,113d343881a95a7211f9e206235fcab1f4ffc215111a073c3599320884bb89bf
2001,0,10000,0,151,231,0,24576,32980,8404,,0,0,,1,0,190,False,1900,1,ancestor,250,210,77,113d343881a95a7211f9e206235fcab1f4ffc215111a073c3599320884bb89bf
2002,0,10000,0,152,232,0,24576,32736,8160,,0,0,,1,0,149,False,1900,2,sampled,250,210,77,2a4c637ec2282cef68a00069f4743562acb263ecc1d0c5e5b19be6f515473d74
2002,0,10000,0,152,232,0,24576,32736,8160,,0,0,,1,0,149,False,1900,2,ancestor,250,210,77,2a4c637ec2282cef68a00069f4743562acb263ecc1d0c5e5b19be6f515473d74
2003,0,10000,0,157,237,0,24576,32736,8160,,0,0,,1,0,211,False,1900,3,sampled,250,210,77,2816198fc75a3970982bed4f73d28dddf0022d81e44fca12f2e7b01e2694c4cc
2003,0,10000,0,157,237,0,24576,32736,8160,,0,0,,1,0,211,False,1900,3,ancestor,250,210,77,2816198fc75a3970982bed4f73d28dddf0022d81e44fca12f2e7b01e2694c4cc
2004,0,10000,0,161,241,0,24576,32816,8240,,0,0,,1,0,184,False,1900,4,sampled,250,210,77,beed910d5d8fdfb1be348176bf02b126f05b42fc45e0e7b5813c285b3a822154
2004,0,10000,0,161,241,0,24576,32816,8240,,0,0,,1,0,184,False,1900,4,ancestor,250,210,77,beed910d5d8fdfb1be348176bf02b126f05b42fc45e0e7b5813c285b3a822154
2005,0,10000,0,147,227,0,24576,32532,7956,,0,0,,1,0,116,False,1901,0,sampled,250,158,8,a27dde33a7014cdcec23cba33a664cd4c17a47541174f7ae82831d4f71577e9a
2005,0,10000,0,147,227,0,24576,32532,7956,,0,0,,1,0,116,False,1901,0,ancestor,250,158,8,a27dde33a7014cdcec23cba33a664cd4c17a47541174f7ae82831d4f71577e9a
