source_seed,replicate,contrast
1900,0,0
1900,1,0
1900,2,0
1900,3,0
1900,4,0
1901,0,0
1901,1,0
1901,2,0
1901,3,0
1901,4,0
1902,0,0
1902,1,0
1902,2,0
1902,3,0
1902,4,0
1903,0,0
1903,1,0
1903,2,0
1903,3,0
1903,4,0
1904,0,0
1904,1,0
1904,2,0
1904,3,0
1904,4,0
1905,0,0
1905,1,0
1905,2,0
1905,3,0
1905,4,0
1906,0,0
1906,1,0
1906,2,0
1906,3,0
1906,4,0
1907,0,0
1907,1,0
1907,2,0
1907,3,0
1907,4,0
1908,0,0
1908,1,0
1908,2,0
1908,3,0
1908,4,0
1909,0,-21/10
1909,1,-13/40
1909,2,17/40
1909,3,77/80
1909,4,1/4
1910,0,0
1910,1,0
1910,2,0
1910,3,0
1910,4,0
1911,0,0
1911,1,0
1911,2,0
1911,3,0
1911,4,0
1912,0,119/80
1912,1,39/40
1912,2,23/80
1912,3,113/80
1912,4,0
1913,0,0
1913,1,-1/4
1913,2,13/10
1913,3,81/80
1913,4,13/20
1914,0,0
1914,1,0
1914,2,0
1914,3,0
1914,4,0
1915,0,0
1915,1,0
1915,2,0
1915,3,0
1915,4,0
1916,0,0
1916,1,0
1916,2,0
1916,3,0
1916,4,0
1917,0,0
1917,1,0
1917,2,0
1917,3,0
1917,4,0
1918,0,41/80
1918,1,93/40
1918,2,51/40
1918,3,27/40
1918,4,103/80
1919,0,0
1919,1,0
1919,2,0
1919,3,0
1919,4,0
