source_seed,replicate,swap,sampled_population,ancestor_population,status,contrast,sampled_fraction
1900,0,0,0,0,both_extinct,0,
1900,0,1,0,0,both_extinct,0,
1900,1,0,0,0,both_extinct,0,
1900,1,1,0,0,both_extinct,0,
1900,2,0,49,0,sampled_only,49/40,1
1900,2,1,0,49,ancestor_only,-49/40,0
1900,3,0,0,93,ancestor_only,-93/40,0
1900,3,1,93,0,sampled_only,93/40,1
1900,4,0,0,20,ancestor_only,-1/2,0
1900,4,1,20,0,sampled_only,1/2,1
1901,0,0,0,0,both_extinct,0,
1901,0,1,0,0,both_extinct,0,
1901,1,0,220,0,sampled_only,11/2,1
1901,1,1,0,220,ancestor_only,-11/2,0
1901,2,0,0,45,ancestor_only,-9/8,0
1901,2,1,45,0,sampled_only,9/8,1
1901,3,0,0,40,ancestor_only,-1,0
1901,3,1,40,0,sampled_only,1,1
1901,4,0,26,0,sampled_only,13/20,1
1901,4,1,0,26,ancestor_only,-13/20,0
1902,0,0,0,0,both_extinct,0,
1902,0,1,0,0,both_extinct,0,
1902,1,0,0,0,both_extinct,0,
1902,1,1,0,0,both_extinct,0,
1902,2,0,80,0,sampled_only,2,1
1902,2,1,0,80,ancestor_only,-2,0
1902,3,0,0,0,both_extinct,0,
1902,3,1,0,0,both_extinct,0,
1902,4,0,0,0,both_extinct,0,
1902,4,1,0,0,both_extinct,0,
1903,0,0,0,19,ancestor_only,-19/40,0
1903,0,1,19,0,sampled_only,19/40,1
1903,1,0,29,0,sampled_only,29/40,1
1903,1,1,0,29,ancestor_only,-29/40,0
1903,2,0,0,46,ancestor_only,-23/20,0
1903,2,1,46,0,sampled_only,23/20,1
1903,3,0,0,0,both_extinct,0,
1903,3,1,0,0,both_extinct,0,
1903,4,0,0,41,ancestor_only,-41/40,0
1903,4,1,41,0,sampled_only,41/40,1
1904,0,0,0,31,ancestor_only,-31/40,0
1904,0,1,31,0,sampled_only,31/40,1
1904,1,0,0,0,both_extinct,0,
1904,1,1,0,0,both_extinct,0,
1904,2,0,0,0,both_extinct,0,
1904,2,1,0,0,both_extinct,0,
1904,3,0,0,0,both_extinct,0,
1904,3,1,0,0,both_extinct,0,
1904,4,0,57,0,sampled_only,57/40,1
1904,4,1,0,57,ancestor_only,-57/40,0
1905,0,0,0,0,both_extinct,0,
1905,0,1,0,0,both_extinct,0,
1905,1,0,38,0,sampled_only,19/20,1
1905,1,1,0,38,ancestor_only,-19/20,0
1905,2,0,0,0,both_extinct,0,
1905,2,1,0,0,both_extinct,0,
1905,3,0,0,0,both_extinct,0,
1905,3,1,0,0,both_extinct,0,
1905,4,0,0,0,both_extinct,0,
1905,4,1,0,0,both_extinct,0,
1906,0,0,43,0,sampled_only,43/40,1
1906,0,1,0,43,ancestor_only,-43/40,0
1906,1,0,0,0,both_extinct,0,
1906,1,1,0,0,both_extinct,0,
1906,2,0,0,0,both_extinct,0,
1906,2,1,0,0,both_extinct,0,
1906,3,0,0,0,both_extinct,0,
1906,3,1,0,0,both_extinct,0,
1906,4,0,0,0,both_extinct,0,
1906,4,1,0,0,both_extinct,0,
1907,0,0,16,0,sampled_only,2/5,1
1907,0,1,0,16,ancestor_only,-2/5,0
1907,1,0,0,0,both_extinct,0,
1907,1,1,0,0,both_extinct,0,
1907,2,0,0,19,ancestor_only,-19/40,0
1907,2,1,19,0,sampled_only,19/40,1
1907,3,0,0,70,ancestor_only,-7/4,0
1907,3,1,70,0,sampled_only,7/4,1
1907,4,0,0,0,both_extinct,0,
1907,4,1,0,0,both_extinct,0,
1908,0,0,0,0,both_extinct,0,
1908,0,1,0,0,both_extinct,0,
1908,1,0,0,0,both_extinct,0,
1908,1,1,0,0,both_extinct,0,
1908,2,0,0,0,both_extinct,0,
1908,2,1,0,0,both_extinct,0,
1908,3,0,46,0,sampled_only,23/20,1
1908,3,1,0,46,ancestor_only,-23/20,0
1908,4,0,0,0,both_extinct,0,
1908,4,1,0,0,both_extinct,0,
1909,0,0,0,75,ancestor_only,-15/8,0
1909,0,1,0,93,ancestor_only,-93/40,0
1909,1,0,20,0,sampled_only,1/2,1
1909,1,1,0,46,ancestor_only,-23/20,0
1909,2,0,0,0,both_extinct,0,
1909,2,1,34,0,sampled_only,17/20,1
1909,3,0,27,0,sampled_only,27/40,1
1909,3,1,50,0,sampled_only,5/4,1
1909,4,0,66,0,sampled_only,33/20,1
1909,4,1,0,46,ancestor_only,-23/20,0
1910,0,0,0,56,ancestor_only,-7/5,0
