source_seed,sampled_trait,ancestor_trait,sampled_individual_id,source_founder_id,both_present,sampled_only,ancestor_only,both_extinct,source_contrast
1900,250,250,210,77,0,3,3,4,0
1901,250,250,158,8,0,4,4,2,0
1902,250,250,63,63,0,1,1,8,0
1903,250,250,197,67,0,4,4,2,0
1904,250,250,121,2,0,2,2,6,0
1905,250,250,220,6,0,1,1,8,0
1906,250,250,119,44,0,1,1,8,0
1907,250,250,214,11,0,3,3,4,0
1908,250,250,222,56,0,1,1,8,0
1909,256,250,226,33,0,5,4,1,-63/400
1910,250,250,43,43,0,2,2,6,0
1911,250,250,105,8,0,2,2,6,0
1912,291,250,107,59,0,7,0,3,333/400
1913,276,250,225,2,0,6,1,3,217/400
1914,250,250,187,13,0,3,3,4,0
1915,250,250,181,72,0,3,3,4,0
1916,250,250,189,25,0,1,1,8,0
1917,250,250,5,5,0,0,0,10,0
1918,340,250,193,56,0,8,0,2,243/200
1919,250,250,200,56,0,4,4,2,0
