arm,birth_threshold,seed,all_movement_attempts,successful_moves,occupied_target_blocks,movement_payment_deaths,success_fraction,blocked_fraction,payment_death_fraction,prior_feeding_conditioned_blocked_fraction
dispersed,40,1400,1079,967,88,24,0.8962001853568119,0.08155699721964782,0.022242817423540315,0.08341232227488152
dispersed,40,1401,946,824,104,18,0.8710359408033826,0.10993657505285412,0.019027484143763214,0.11206896551724138
dispersed,40,1402,1108,992,97,19,0.8953068592057761,0.08754512635379061,0.017148014440433214,0.08907254361799816
dispersed,40,1403,966,881,65,20,0.912008281573499,0.06728778467908902,0.020703933747412008,0.06871035940803383
dispersed,40,1404,945,838,82,25,0.8867724867724868,0.08677248677248678,0.026455026455026454,0.0891304347826087
dispersed,40,1405,906,822,71,13,0.9072847682119205,0.07836644591611479,0.01434878587196468,0.07950727883538634
dispersed,40,1406,992,879,85,28,0.8860887096774194,0.08568548387096774,0.028225806451612902,0.08817427385892117
dispersed,40,1407,1006,923,58,25,0.9174950298210736,0.05765407554671968,0.02485089463220676,0.059123343527013254
dispersed,40,1408,1011,921,62,28,0.9109792284866469,0.06132542037586548,0.027695351137487636,0.06307222787385554
dispersed,40,1409,890,754,108,28,0.8471910112359551,0.12134831460674157,0.03146067415730337,0.12529002320185614
dispersed,160,1400,976,923,44,9,0.9456967213114754,0.045081967213114756,0.009221311475409836,0.045501551189245086
dispersed,160,1401,944,873,53,18,0.9247881355932204,0.05614406779661017,0.019067796610169493,0.05723542116630669
dispersed,160,1402,989,932,38,19,0.942366026289181,0.03842264914054601,0.019211324570273004,0.03917525773195876
dispersed,160,1403,1031,984,34,13,0.9544131910766246,0.03297769156159069,0.012609117361784675,0.03339882121807466
dispersed,160,1404,972,915,47,10,0.941358024691358,0.04835390946502058,0.0102880658436214,0.04885654885654886
dispersed,160,1405,1025,965,42,18,0.9414634146341463,0.04097560975609756,0.0175609756097561,0.041708043694141016
dispersed,160,1406,995,931,51,13,0.935678391959799,0.05125628140703518,0.01306532663316583,0.051934826883910386
dispersed,160,1407,981,920,43,18,0.9378185524974516,0.04383282364933741,0.01834862385321101,0.0446521287642783
dispersed,160,1408,924,867,40,17,0.9383116883116883,0.04329004329004329,0.0183982683982684,0.044101433296582136
dispersed,160,1409,1014,963,40,11,0.9497041420118343,0.03944773175542406,0.010848126232741617,0.03988035892323031
block,40,1400,1418,1054,323,41,0.7433004231311706,0.22778561354019747,0.028913963328631876,0.2345679012345679
block,40,1401,1379,1000,343,36,0.7251631617113851,0.24873096446700507,0.02610587382160986,0.25539836187639614
block,40,1402,1484,1180,264,40,0.7951482479784366,0.1778975741239892,0.026954177897574125,0.18282548476454294
block,40,1403,1397,1014,350,33,0.7258410880458125,0.25053686471009307,0.023622047244094488,0.2565982404692082
block,40,1404,1400,1033,326,41,0.7378571428571429,0.23285714285714285,0.029285714285714286,0.2398822663723326
block,40,1405,1336,1028,267,41,0.7694610778443114,0.1998502994011976,0.030688622754491017,0.20617760617760617
block,40,1406,1398,1017,343,38,0.7274678111587983,0.2453505007153076,0.027181688125894134,0.25220588235294117
block,40,1407,1441,1072,318,51,0.7439278278972935,0.22068008327550312,0.03539208882720333,0.22877697841726619
block,40,1408,1399,992,360,47,0.7090779127948534,0.2573266619013581,0.03359542530378842,0.26627218934911245
block,40,1409,1394,1036,322,36,0.7431850789096126,0.2309899569583931,0.02582496413199426,0.23711340206185566
block,160,1400,813,768,33,12,0.9446494464944649,0.04059040590405904,0.014760147601476014,0.04119850187265917
block,160,1401,766,714,39,13,0.9321148825065274,0.050913838120104436,0.016971279373368148,0.05179282868525897
block,160,1402,771,722,35,14,0.9364461738002594,0.04539559014267185,0.018158236057068743,0.046235138705416116
block,160,1403,931,868,50,13,0.9323308270676691,0.05370569280343716,0.013963480128893663,0.054466230936819175
block,160,1404,775,707,53,15,0.912258064516129,0.06838709677419355,0.01935483870967742,0.06973684210526315
block,160,1405,783,736,34,13,0.9399744572158365,0.04342273307790549,0.016602809706257982,0.04415584415584416
block,160,1406,950,877,61,12,0.9231578947368421,0.06421052631578947,0.01263157894736842,0.0650319829424307
block,160,1407,844,782,49,13,0.9265402843601895,0.058056872037914695,0.015402843601895734,0.05896510228640193
block,160,1408,931,862,60,9,0.9258861439312567,0.0644468313641246,0.00966702470461869,0.0650759219088937
block,160,1409,693,638,39,16,0.9206349206349206,0.05627705627705628,0.023088023088023088,0.05760709010339734
