treatment,seed,ticks,basal,movement,reproduction,supplied,stock_change,peak_population,first_peak_tick,births_by_10,births_by_100,population_at_100,organism_energy_at_100,food_energy_at_100
low,800,100,1766,434,0,5848,3648,80,0,0,0,0,0,5568
low,801,100,1798,414,0,6152,3940,80,0,0,0,0,0,5860
low,802,100,1721,423,0,6156,4012,80,0,0,0,0,0,5932
low,803,100,1807,421,0,6152,3924,80,0,0,0,0,0,5844
low,804,100,1767,437,0,6312,4108,80,0,0,0,0,0,6028
low,805,100,1745,439,0,6180,3996,80,0,0,0,0,0,5916
low,806,100,1740,396,0,6280,4144,80,0,0,0,0,0,6064
low,807,100,1789,427,0,6316,4100,80,0,0,0,0,0,6020
low,808,100,1803,429,0,6000,3768,80,0,0,0,0,0,5688
low,809,100,1833,447,0,6428,4148,80,0,0,0,0,0,6068
food,800,100,4927,1205,32,5965,-199,83,24,0,8,8,121,6720
food,801,100,5242,1376,76,5967,-727,85,22,2,19,18,323,5990
food,802,100,4601,1146,36,6145,362,84,14,1,9,8,108,7294
food,803,100,4921,1232,52,6195,-10,87,21,1,13,7,140,6890
food,804,100,5249,1332,92,6344,-329,87,12,5,23,10,175,6536
food,805,100,4857,1218,76,6262,111,88,21,2,19,15,241,6910
food,806,100,5123,1315,60,6170,-328,84,21,1,15,15,188,6524
food,807,100,5031,1222,44,6309,12,84,21,2,11,10,133,6919
food,808,100,5098,1281,40,6056,-363,82,20,0,10,13,200,6477
food,809,100,4913,1157,44,6229,115,83,28,0,11,11,155,7000
stored,800,100,5655,1313,864,5964,-1868,296,6,216,216,0,0,5172
stored,801,100,5470,1242,888,6128,-1472,302,2,222,222,0,0,5568
stored,802,100,5590,1314,868,6312,-1460,297,2,217,217,0,0,5580
stored,803,100,5601,1319,836,6140,-1616,289,2,209,209,0,0,5424
stored,804,100,5544,1324,860,6300,-1428,295,7,215,215,0,0,5612
stored,805,100,5477,1287,868,6188,-1444,297,3,217,217,0,0,5596
stored,806,100,5459,1357,884,6200,-1500,301,5,221,221,0,0,5540
stored,807,100,5579,1361,856,6364,-1432,294,5,214,214,0,0,5608
stored,808,100,5550,1382,852,6092,-1692,293,4,213,213,0,0,5348
stored,809,100,5594,1358,840,6264,-1528,290,3,210,210,0,0,5512
