movement_cost,trait,seed,ticks,basal,movement,reproduction,supplied,stock_change
1,0,100,500,0,0,0,0,0
1,0,101,500,0,0,0,0,0
1,0,102,500,0,0,0,0,0
1,0,103,500,0,0,0,0,0
1,0,104,500,0,0,0,0,0
1,0,105,500,0,0,0,0,0
1,0,106,500,0,0,0,0,0
1,0,107,500,0,0,0,0,0
1,0,108,500,0,0,0,0,0
1,0,109,500,0,0,0,0,0
1,250,100,500,57507,14397,3728,75140,-492
1,250,101,500,57752,14202,3876,73284,-2546
1,250,102,500,55745,13626,3652,74468,1445
1,250,103,500,57878,14514,3704,75100,-996
1,250,104,500,57506,14111,3876,74004,-1489
1,250,105,500,58173,14442,3808,75912,-511
1,250,106,500,57844,14388,3620,74580,-1272
1,250,107,500,56944,14278,3844,75328,262
1,250,108,500,57073,14006,3824,74080,-823
1,250,109,500,57415,14014,3776,74992,-213
1,500,100,500,51608,25510,3288,80848,442
1,500,101,500,50272,24812,3224,79240,932
1,500,102,500,51244,25279,3380,79804,-99
1,500,103,500,52117,25866,3232,80948,-267
1,500,104,500,51804,25478,3304,80256,-330
1,500,105,500,51895,25698,3364,80120,-837
1,500,106,500,49781,24611,3240,78756,1124
1,500,107,500,50297,24751,3256,79516,1212
1,500,108,500,51676,25583,3416,79548,-1127
1,500,109,500,52159,25690,3316,80592,-573
1,750,100,500,45044,33318,3140,81064,-438
1,750,101,500,44134,32877,3076,80360,273
1,750,102,500,44313,32929,3068,80344,34
1,750,103,500,45131,33454,3076,81356,-305
1,750,104,500,44763,33388,3132,80888,-395
1,750,105,500,44637,33120,3136,81012,119
1,750,106,500,44327,32955,2976,80060,-198
1,750,107,500,44584,33032,3184,80688,-112
1,750,108,500,43992,32575,2992,80460,901
1,750,109,500,45553,33735,3204,80748,-1744
1,1000,100,500,39268,38995,2960,81788,565
1,1000,101,500,38936,38667,3008,80792,181
1,1000,102,500,39147,38875,2844,81272,406
1,1000,103,500,39997,39721,3004,82112,-610
1,1000,104,500,39167,38888,3044,81228,129
1,1000,105,500,39177,38918,3112,81264,57
1,1000,106,500,38882,38627,2968,80424,-53
1,1000,107,500,39341,39071,2920,81388,56
1,1000,108,500,38544,38261,2992,80452,655
1,1000,109,500,39767,39506,2908,82092,-89
4,0,100,500,0,0,0,0,0
4,0,101,500,0,0,0,0,0
4,0,102,500,0,0,0,0,0
4,0,103,500,0,0,0,0,0
4,0,104,500,0,0,0,0,0
4,0,105,500,0,0,0,0,0
4,0,106,500,0,0,0,0,0
4,0,107,500,0,0,0,0,0
4,0,108,500,0,0,0,0,0
4,0,109,500,0,0,0,0,0
4,250,100,500,23142,22104,2516,50620,2858
4,250,101,500,24748,24137,2752,48704,-2933
4,250,102,500,21346,20782,2312,48876,4436
4,250,103,500,24354,23670,2584,54068,3460
4,250,104,500,24585,23397,2708,50604,-86
4,250,105,500,26728,26459,2864,54860,-1191
4,250,106,500,23653,23011,2468,51524,2392
4,250,107,500,25169,24751,2908,49736,-3092
4,250,108,500,27190,26110,2912,56096,-116
4,250,109,500,26031,24925,2840,53476,-320
4,500,100,500,0,0,0,0,0
4,500,101,500,19369,37668,2628,58788,-877
4,500,102,500,0,0,0,0,0
4,500,103,500,17483,34014,2464,54384,423
4,500,104,500,17704,34689,2284,61412,6735
4,500,105,500,17496,34325,2676,52676,-1821
4,500,106,500,19342,37691,2580,59008,-605
4,500,107,500,19936,39061,2608,61224,-381
4,500,108,500,19026,37311,2744,56140,-2941
4,500,109,500,19210,37105,2632,58848,-99
4,750,100,500,0,0,0,0,0
4,750,101,500,13507,39852,1956,58080,2765
4,750,102,500,14036,41182,2012,60568,3338
4,750,103,500,13393,39507,1984,56504,1620
4,750,104,500,13953,40706,2012,57640,969
4,750,105,500,15010,44137,2180,60512,-815
4,750,106,500,14881,43734,2012,60020,-607
4,750,107,500,0,0,0,0,0
4,750,108,500,14404,41892,2120,56724,-1692
4,750,109,500,15349,44868,2272,62724,235
4,1000,100,500,0,0,0,0,0
4,1000,101,500,0,0,0,0,0
4,1000,102,500,0,0,0,0,0
4,1000,103,500,0,0,0,0,0
4,1000,104,500,0,0,0,0,0
4,1000,105,500,0,0,0,0,0
4,1000,106,500,0,0,0,0,0
4,1000,107,500,0,0,0,0,0
4,1000,108,500,11661,45930,1604,57620,-1575
4,1000,109,500,10871,42878,1444,56820,1627
