arm,birth_threshold,seed,attempts,zero_intake_attempts,positive_intake_attempts,food_eaten,zero_intake_fraction,mean_intake_per_attempt,mean_intake_when_positive
dispersed,40,1400,4146,3592,554,3700,0.8663772310660878,0.8924264351181862,6.67870036101083
dispersed,40,1401,3841,3363,478,3208,0.8755532413434002,0.8351991668836241,6.7112970711297075
dispersed,40,1402,4381,3785,596,3980,0.8639580004565168,0.9084683862131934,6.677852348993288
dispersed,40,1403,3646,3194,452,3016,0.8760285244103126,0.8272078990674712,6.672566371681416
dispersed,40,1404,3861,3363,498,3336,0.871017871017871,0.864024864024864,6.698795180722891
dispersed,40,1405,3654,3210,444,2936,0.8784893267651889,0.8035030103995622,6.612612612612613
dispersed,40,1406,3976,3464,512,3432,0.8712273641851107,0.8631790744466801,6.703125
dispersed,40,1407,3965,3438,527,3484,0.8670870113493064,0.8786885245901639,6.611005692599621
dispersed,40,1408,4038,3507,531,3528,0.8684992570579495,0.8736998514115899,6.6440677966101696
dispersed,40,1409,3544,3119,425,2856,0.880079006772009,0.8058690744920993,6.72
dispersed,160,1400,3930,3433,497,3236,0.8735368956743003,0.823409669211196,6.511066398390342
dispersed,160,1401,3641,3166,475,3132,0.8695413347981323,0.8602032408678935,6.593684210526316
dispersed,160,1402,4088,3522,566,3716,0.8615459882583171,0.9090019569471625,6.565371024734982
dispersed,160,1403,3920,3361,559,3632,0.8573979591836735,0.926530612244898,6.4973166368515205
dispersed,160,1404,3890,3339,551,3652,0.8583547557840617,0.9388174807197943,6.627949183303086
dispersed,160,1405,4055,3517,538,3540,0.867324290998767,0.872996300863132,6.5799256505576205
dispersed,160,1406,4098,3520,578,3848,0.8589555880917521,0.9389946315275745,6.657439446366782
dispersed,160,1407,3884,3338,546,3588,0.8594232749742533,0.9237899073120495,6.571428571428571
dispersed,160,1408,3553,3091,462,3028,0.8699690402476781,0.8522375457359977,6.554112554112554
dispersed,160,1409,4012,3431,581,3780,0.8551844466600199,0.942173479561316,6.506024096385542
block,40,1400,5619,4803,816,5796,0.8547784303256807,1.0315002669514148,7.102941176470588
block,40,1401,5666,4836,830,5848,0.8535121779032827,1.0321214260501235,7.04578313253012
block,40,1402,5863,4969,894,6164,0.8475183353232134,1.0513389049974415,6.894854586129754
block,40,1403,5493,4709,784,5612,0.8572728927726196,1.0216639359184416,7.158163265306122
block,40,1404,5806,4957,849,5984,0.8537719600413366,1.0306579400620048,7.04829210836278
block,40,1405,5379,4571,808,5676,0.8497862056144265,1.0552147239263803,7.024752475247524
block,40,1406,5397,4624,773,5484,0.8567722808967945,1.0161200667037242,7.0944372574385515
block,40,1407,5724,4885,839,5924,0.853424178895877,1.0349406009783368,7.060786650774732
block,40,1408,5670,4851,819,5848,0.8555555555555555,1.0313932980599647,7.140415140415141
block,40,1409,5542,4739,803,5704,0.8551064597618189,1.0292313244316131,7.103362391033624
block,160,1400,3133,2557,576,4100,0.8161506543249282,1.3086498563676987,7.118055555555555
block,160,1401,2941,2490,451,3176,0.8466507990479428,1.0799047942876572,7.042128603104213
block,160,1402,3049,2500,549,3832,0.819940964250574,1.2568055100032798,6.979963570127505
block,160,1403,3654,3024,630,4336,0.8275862068965517,1.1866447728516694,6.882539682539683
block,160,1404,3152,2603,549,3884,0.8258248730964467,1.232233502538071,7.074681238615665
block,160,1405,3119,2582,537,3772,0.82782943251042,1.2093619749919846,7.024208566108007
block,160,1406,3777,3139,638,4508,0.8310828700026476,1.1935398464389728,7.065830721003135
block,160,1407,3298,2694,604,4236,0.8168587022437841,1.2844147968465738,7.013245033112582
block,160,1408,3718,3058,660,4600,0.8224852071005917,1.237224314147391,6.96969696969697
block,160,1409,2763,2391,372,2508,0.8653637350705755,0.9077090119435396,6.741935483870968
