arm,seed,founders_on_food,food_under_founders,mean_distance,max_distance,extinction_tick,founders_within_1,founders_within_2,founders_within_4,founders_within_8
uniform,1300,80,400,0.0,0,4273,80,80,80,80
uniform,1301,80,400,0.0,0,148,80,80,80,80
uniform,1302,80,400,0.0,0,785,80,80,80,80
uniform,1303,80,400,0.0,0,235,80,80,80,80
uniform,1304,80,400,0.0,0,2935,80,80,80,80
uniform,1305,80,400,0.0,0,7892,80,80,80,80
uniform,1306,80,400,0.0,0,2773,80,80,80,80
uniform,1307,80,400,0.0,0,5787,80,80,80,80
uniform,1308,80,400,0.0,0,8845,80,80,80,80
uniform,1309,80,400,0.0,0,641,80,80,80,80
dispersed,1300,17,408,1.1375,3,223,55,77,80,80
dispersed,1301,7,168,1.25,3,1192,56,77,80,80
dispersed,1302,11,264,1.2125,4,223,56,77,80,80
dispersed,1303,16,384,1.0625,3,1142,62,77,80,80
dispersed,1304,16,384,1.2375,3,3362,50,75,80,80
dispersed,1305,15,360,1.15,3,152,57,76,80,80
dispersed,1306,24,576,1.025,3,1604,58,76,80,80
dispersed,1307,14,336,1.1625,3,610,57,76,80,80
dispersed,1308,11,264,1.3125,3,2426,52,72,80,80
dispersed,1309,12,288,1.2,3,638,56,76,80,80
block,1300,13,312,6.5125,13,147,17,19,28,51
block,1301,15,360,6.025,13,110,22,23,31,49
block,1302,16,384,5.2625,13,127,20,29,38,58
block,1303,22,528,5.2125,13,113,27,29,41,56
block,1304,19,456,5.05,13,145,25,28,37,61
block,1305,20,480,4.9875,13,150,25,27,43,59
block,1306,19,440,5.7625,13,169,22,28,36,55
block,1307,16,384,5.4375,13,136,22,29,38,55
block,1308,11,264,5.9375,13,112,18,24,34,54
block,1309,15,344,5.8625,13,138,19,22,32,56
