arm,seed,food_eaten,ticks,basal,movement,reproduction,supplied,stock_change,population_at_100,births_at_100,food_at_100,organism_energy_at_100,peak_population,first_peak_tick
uniform,1300,4400,100,4858,1235,60,5815,-338,7,15,6535,167,90,24
uniform,1301,4397,100,4901,1218,60,5847,-332,9,15,6570,138,86,21
uniform,1302,4455,100,4997,1187,48,6020,-212,10,12,6685,143,83,23
uniform,1303,5047,100,5368,1315,64,5983,-764,15,16,6056,220,85,25
uniform,1304,4706,100,5162,1253,40,6055,-400,11,10,6469,171,84,23
uniform,1305,5134,100,5430,1325,52,6380,-427,16,13,6366,247,83,20
uniform,1306,4482,100,4935,1238,68,6067,-174,10,17,6705,161,86,21
uniform,1307,4142,100,4646,1179,44,5947,78,12,11,6925,193,81,6
uniform,1308,4770,100,5133,1264,68,6339,-126,14,17,6689,225,85,23
uniform,1309,3893,100,4602,1081,48,5940,209,6,12,7167,82,87,27
dispersed,1300,3092,100,3864,934,132,5060,130,6,33,7088,82,98,15
dispersed,1301,3560,100,4102,1045,152,5048,-251,11,38,6608,181,98,15
dispersed,1302,3604,100,4210,1058,160,5288,-140,7,40,6804,96,102,14
dispersed,1303,3772,100,4261,1031,168,5232,-228,13,42,6580,232,105,16
dispersed,1304,3772,100,4189,1037,192,5516,98,12,48,6864,274,107,15
dispersed,1305,3388,100,4154,980,156,5712,422,1,39,7444,18,109,16
dispersed,1306,3140,100,3871,949,172,5316,324,3,43,7296,68,111,9
dispersed,1307,3048,100,3753,955,164,5320,448,6,41,7392,96,106,14
dispersed,1308,3480,100,4173,973,140,5612,326,7,35,7252,114,104,16
dispersed,1309,4008,100,4471,1069,208,5340,-408,11,52,6452,180,108,15
block,1300,5748,100,5673,1400,456,5604,-1925,8,114,4976,139,126,14
block,1301,5800,100,5853,1413,444,5624,-2086,1,111,4944,10,147,17
block,1302,5688,100,5749,1412,432,5792,-1801,3,108,5224,15,141,17
block,1303,5900,100,5902,1444,452,5868,-1930,2,113,5088,22,157,17
block,1304,5780,100,5856,1358,468,5960,-1722,1,117,5300,18,148,17
block,1305,5728,100,5766,1414,456,6136,-1500,1,114,5528,12,167,17
block,1306,5820,100,5799,1392,476,5848,-1819,3,119,5148,73,143,18
block,1307,5712,100,5756,1366,460,5652,-1930,2,115,5060,50,145,17
block,1308,5944,100,5966,1439,432,6040,-1797,3,108,5216,27,123,17
block,1309,6012,100,5977,1459,456,5684,-2208,3,114,4792,40,146,17
