arm,birth_threshold,seed,feeding_rows,movement_attempts,successful_moves,blocked_moves,no_attempt,blocked_fraction
dispersed,40,1400,4146,1055,967,88,3091,0.08341232227488152
dispersed,40,1401,3841,928,824,104,2913,0.11206896551724138
dispersed,40,1402,4381,1089,992,97,3292,0.08907254361799816
dispersed,40,1403,3646,946,881,65,2700,0.06871035940803383
dispersed,40,1404,3861,920,838,82,2941,0.0891304347826087
dispersed,40,1405,3654,893,822,71,2761,0.07950727883538634
dispersed,40,1406,3976,964,879,85,3012,0.08817427385892117
dispersed,40,1407,3965,981,923,58,2984,0.059123343527013254
dispersed,40,1408,4038,983,921,62,3055,0.06307222787385554
dispersed,40,1409,3544,862,754,108,2682,0.12529002320185614
dispersed,160,1400,3930,967,923,44,2963,0.045501551189245086
dispersed,160,1401,3641,926,873,53,2715,0.05723542116630669
dispersed,160,1402,4088,970,932,38,3118,0.03917525773195876
dispersed,160,1403,3920,1018,984,34,2902,0.03339882121807466
dispersed,160,1404,3890,962,915,47,2928,0.04885654885654886
dispersed,160,1405,4055,1007,965,42,3048,0.041708043694141016
dispersed,160,1406,4098,982,931,51,3116,0.051934826883910386
dispersed,160,1407,3884,963,920,43,2921,0.0446521287642783
dispersed,160,1408,3553,907,867,40,2646,0.044101433296582136
dispersed,160,1409,4012,1003,963,40,3009,0.03988035892323031
block,40,1400,5619,1377,1054,323,4242,0.2345679012345679
block,40,1401,5666,1343,1000,343,4323,0.25539836187639614
block,40,1402,5863,1444,1180,264,4419,0.18282548476454294
block,40,1403,5493,1364,1014,350,4129,0.2565982404692082
block,40,1404,5806,1359,1033,326,4447,0.2398822663723326
block,40,1405,5379,1295,1028,267,4084,0.20617760617760617
block,40,1406,5397,1360,1017,343,4037,0.25220588235294117
block,40,1407,5724,1390,1072,318,4334,0.22877697841726619
block,40,1408,5670,1352,992,360,4318,0.26627218934911245
block,40,1409,5542,1358,1036,322,4184,0.23711340206185566
block,160,1400,3133,801,768,33,2332,0.04119850187265917
block,160,1401,2941,753,714,39,2188,0.05179282868525897
block,160,1402,3049,757,722,35,2292,0.046235138705416116
block,160,1403,3654,918,868,50,2736,0.054466230936819175
block,160,1404,3152,760,707,53,2392,0.06973684210526315
block,160,1405,3119,770,736,34,2349,0.04415584415584416
block,160,1406,3777,938,877,61,2839,0.0650319829424307
block,160,1407,3298,831,782,49,2467,0.05896510228640193
block,160,1408,3718,922,862,60,2796,0.0650759219088937
block,160,1409,2763,677,638,39,2086,0.05760709010339734
