genome,expected_change_per_birth,expected_change_exact,probability_of_actual_change
0,2.512437810945274,505/201,0.04975124378109453
1,2.462686567164179,165/67,0.09950248756218906
2,2.4134328358208954,1617/670,0.09950248756218906
3,2.364676616915423,4753/2010,0.09950248756218906
4,2.316417910447761,776/335,0.09950248756218906
5,2.2686567164179103,152/67,0.09950248756218906
6,2.2213930348258706,893/402,0.09950248756218906
7,2.174626865671642,1457/670,0.09950248756218906
8,2.1283582089552238,713/335,0.09950248756218906
9,2.0825870646766167,2093/1005,0.09950248756218906
10,2.037313432835821,273/134,0.09950248756218906
11,1.992537313432836,267/134,0.09950248756218906
12,1.9482587064676617,1958/1005,0.09950248756218906
13,1.9044776119402984,638/335,0.09950248756218906
14,1.8611940298507463,1247/670,0.09950248756218906
15,1.818407960199005,731/402,0.09950248756218906
16,1.7761194029850746,119/67,0.09950248756218906
17,1.7343283582089553,581/335,0.09950248756218906
18,1.6930348258706467,3403/2010,0.09950248756218906
19,1.6522388059701492,1107/670,0.09950248756218906
20,1.6119402985074627,108/67,0.09950248756218906
21,1.572139303482587,316/201,0.09950248756218906
22,1.5328358208955224,1027/670,0.09950248756218906
23,1.4940298507462686,1001/670,0.09950248756218906
24,1.4557213930348258,1463/1005,0.09950248756218906
25,1.4179104477611941,95/67,0.09950248756218906
26,1.3805970149253732,185/134,0.09950248756218906
27,1.3437810945273632,2701/2010,0.09950248756218906
28,1.3074626865671641,438/335,0.09950248756218906
29,1.2716417910447761,426/335,0.09950248756218906
30,1.236318407960199,497/402,0.09950248756218906
31,1.2014925373134329,161/134,0.09950248756218906
32,1.1671641791044776,391/335,0.09950248756218906
33,1.1333333333333333,17/15,0.09950248756218906
34,1.1,11/10,0.09950248756218906
35,1.0671641791044777,143/134,0.09950248756218906
36,1.0348258706467661,208/201,0.09950248756218906
37,1.0029850746268656,336/335,0.09950248756218906
38,0.9716417910447761,651/670,0.09950248756218906
39,0.9407960199004975,1891/2010,0.09950248756218906
40,0.9104477611940298,61/67,0.09950248756218906
41,0.8805970149253731,59/67,0.09950248756218906
42,0.8512437810945274,1711/2010,0.09950248756218906
43,0.8223880597014925,551/670,0.09950248756218906
44,0.7940298507462686,266/335,0.09950248756218906
45,0.7661691542288557,154/201,0.09950248756218906
46,0.7388059701492538,99/134,0.09950248756218906
47,0.7119402985074627,477/670,0.09950248756218906
48,0.6855721393034826,689/1005,0.09950248756218906
49,0.6597014925373135,221/335,0.09950248756218906
50,0.6343283582089553,85/134,0.09950248756218906
51,0.6094527363184079,245/402,0.09950248756218906
52,0.5850746268656717,196/335,0.09950248756218906
53,0.5611940298507463,188/335,0.09950248756218906
54,0.5378109452736318,1081/2010,0.09950248756218906
55,0.5149253731343284,69/134,0.09950248756218906
56,0.4925373134328358,33/67,0.09950248756218906
57,0.47064676616915424,473/1005,0.09950248756218906
58,0.44925373134328356,301/670,0.09950248756218906
59,0.42835820895522386,287/670,0.09950248756218906
60,0.4079601990049751,82/201,0.09950248756218906
61,0.3880597014925373,26/67,0.09950248756218906
62,0.3686567164179104,247/670,0.09950248756218906
63,0.3497512437810945,703/2010,0.09950248756218906
64,0.33134328358208953,111/335,0.09950248756218906
65,0.31343283582089554,21/67,0.09950248756218906
66,0.2960199004975124,119/402,0.09950248756218906
67,0.2791044776119403,187/670,0.09950248756218906
68,0.2626865671641791,88/335,0.09950248756218906
69,0.24676616915422886,248/1005,0.09950248756218906
70,0.23134328358208955,31/134,0.09950248756218906
71,0.21641791044776118,29/134,0.09950248756218906
72,0.2019900497512438,203/1005,0.09950248756218906
73,0.1880597014925373,63/335,0.09950248756218906
74,0.1746268656716418,117/670,0.09950248756218906
75,0.16169154228855723,65/402,0.09950248756218906
76,0.14925373134328357,10/67,0.09950248756218906
77,0.1373134328358209,46/335,0.09950248756218906
78,0.12587064676616916,253/2010,0.09950248756218906
79,0.11492537313432835,77/670,0.09950248756218906
80,0.1044776119402985,7/67,0.09950248756218906
81,0.0945273631840796,19/201,0.09950248756218906
82,0.08507462686567165,57/670,0.09950248756218906
83,0.07611940298507462,51/670,0.09950248756218906
84,0.06766169154228856,68/1005,0.09950248756218906
85,0.05970149253731343,4/67,0.09950248756218906
86,0.05223880597014925,7/134,0.09950248756218906
87,0.04527363184079602,91/2010,0.09950248756218906
88,0.03880597014925373,13/335,0.09950248756218906
89,0.03283582089552239,11/335,0.09950248756218906
90,0.02736318407960199,11/402,0.09950248756218906
91,0.022388059701492536,3/134,0.09950248756218906
92,0.01791044776119403,6/335,0.09950248756218906
93,0.013930348258706468,14/1005,0.09950248756218906
94,0.010447761194029851,7/670,0.09950248756218906
95,0.007462686567164179,1/134,0.09950248756218906
96,0.004975124378109453,1/201,0.09950248756218906
97,0.0029850746268656717,1/335,0.09950248756218906
98,0.0014925373134328358,1/670,0.09950248756218906
99,0.0004975124378109452,1/2010,0.09950248756218906
100,0.0,0,0.09950248756218906
101,0.0,0,0.09950248756218906
102,0.0,0,0.09950248756218906
103,0.0,0,0.09950248756218906
104,0.0,0,0.09950248756218906
105,0.0,0,0.09950248756218906
106,0.0,0,0.09950248756218906
107,0.0,0,0.09950248756218906
108,0.0,0,0.09950248756218906
109,0.0,0,0.09950248756218906
110,0.0,0,0.09950248756218906
111,0.0,0,0.09950248756218906
112,0.0,0,0.09950248756218906
113,0.0,0,0.09950248756218906
114,0.0,0,0.09950248756218906
115,0.0,0,0.09950248756218906
116,0.0,0,0.09950248756218906
117,0.0,0,0.09950248756218906
118,0.0,0,0.09950248756218906
119,0.0,0,0.09950248756218906
120,0.0,0,0.09950248756218906
121,0.0,0,0.09950248756218906
122,0.0,0,0.09950248756218906
123,0.0,0,0.09950248756218906
124,0.0,0,0.09950248756218906
125,0.0,0,0.09950248756218906
126,0.0,0,0.09950248756218906
127,0.0,0,0.09950248756218906
128,0.0,0,0.09950248756218906
129,0.0,0,0.09950248756218906
130,0.0,0,0.09950248756218906
131,0.0,0,0.09950248756218906
132,0.0,0,0.09950248756218906
133,0.0,0,0.09950248756218906
134,0.0,0,0.09950248756218906
135,0.0,0,0.09950248756218906
136,0.0,0,0.09950248756218906
137,0.0,0,0.09950248756218906
138,0.0,0,0.09950248756218906
139,0.0,0,0.09950248756218906
140,0.0,0,0.09950248756218906
141,0.0,0,0.09950248756218906
142,0.0,0,0.09950248756218906
143,0.0,0,0.09950248756218906
144,0.0,0,0.09950248756218906
145,0.0,0,0.09950248756218906
146,0.0,0,0.09950248756218906
147,0.0,0,0.09950248756218906
148,0.0,0,0.09950248756218906
149,0.0,0,0.09950248756218906
150,0.0,0,0.09950248756218906
151,0.0,0,0.09950248756218906
152,0.0,0,0.09950248756218906
153,0.0,0,0.09950248756218906
154,0.0,0,0.09950248756218906
155,0.0,0,0.09950248756218906
156,0.0,0,0.09950248756218906
157,0.0,0,0.09950248756218906
158,0.0,0,0.09950248756218906
159,0.0,0,0.09950248756218906
160,0.0,0,0.09950248756218906
161,0.0,0,0.09950248756218906
162,0.0,0,0.09950248756218906
163,0.0,0,0.09950248756218906
164,0.0,0,0.09950248756218906
165,0.0,0,0.09950248756218906
166,0.0,0,0.09950248756218906
167,0.0,0,0.09950248756218906
168,0.0,0,0.09950248756218906
169,0.0,0,0.09950248756218906
170,0.0,0,0.09950248756218906
171,0.0,0,0.09950248756218906
172,0.0,0,0.09950248756218906
173,0.0,0,0.09950248756218906
174,0.0,0,0.09950248756218906
175,0.0,0,0.09950248756218906
176,0.0,0,0.09950248756218906
177,0.0,0,0.09950248756218906
178,0.0,0,0.09950248756218906
179,0.0,0,0.09950248756218906
180,0.0,0,0.09950248756218906
181,0.0,0,0.09950248756218906
182,0.0,0,0.09950248756218906
183,0.0,0,0.09950248756218906
184,0.0,0,0.09950248756218906
185,0.0,0,0.09950248756218906
186,0.0,0,0.09950248756218906
187,0.0,0,0.09950248756218906
188,0.0,0,0.09950248756218906
189,0.0,0,0.09950248756218906
190,0.0,0,0.09950248756218906
191,0.0,0,0.09950248756218906
192,0.0,0,0.09950248756218906
193,0.0,0,0.09950248756218906
194,0.0,0,0.09950248756218906
195,0.0,0,0.09950248756218906
196,0.0,0,0.09950248756218906
197,0.0,0,0.09950248756218906
198,0.0,0,0.09950248756218906
199,0.0,0,0.09950248756218906
200,0.0,0,0.09950248756218906
201,0.0,0,0.09950248756218906
202,0.0,0,0.09950248756218906
203,0.0,0,0.09950248756218906
204,0.0,0,0.09950248756218906
205,0.0,0,0.09950248756218906
206,0.0,0,0.09950248756218906
207,0.0,0,0.09950248756218906
208,0.0,0,0.09950248756218906
209,0.0,0,0.09950248756218906
210,0.0,0,0.09950248756218906
211,0.0,0,0.09950248756218906
212,0.0,0,0.09950248756218906
213,0.0,0,0.09950248756218906
214,0.0,0,0.09950248756218906
215,0.0,0,0.09950248756218906
216,0.0,0,0.09950248756218906
217,0.0,0,0.09950248756218906
218,0.0,0,0.09950248756218906
219,0.0,0,0.09950248756218906
220,0.0,0,0.09950248756218906
221,0.0,0,0.09950248756218906
222,0.0,0,0.09950248756218906
223,0.0,0,0.09950248756218906
224,0.0,0,0.09950248756218906
225,0.0,0,0.09950248756218906
226,0.0,0,0.09950248756218906
227,0.0,0,0.09950248756218906
228,0.0,0,0.09950248756218906
229,0.0,0,0.09950248756218906
230,0.0,0,0.09950248756218906
231,0.0,0,0.09950248756218906
232,0.0,0,0.09950248756218906
233,0.0,0,0.09950248756218906
234,0.0,0,0.09950248756218906
235,0.0,0,0.09950248756218906
236,0.0,0,0.09950248756218906
237,0.0,0,0.09950248756218906
238,0.0,0,0.09950248756218906
239,0.0,0,0.09950248756218906
240,0.0,0,0.09950248756218906
241,0.0,0,0.09950248756218906
242,0.0,0,0.09950248756218906
243,0.0,0,0.09950248756218906
244,0.0,0,0.09950248756218906
245,0.0,0,0.09950248756218906
246,0.0,0,0.09950248756218906
247,0.0,0,0.09950248756218906
248,0.0,0,0.09950248756218906
249,0.0,0,0.09950248756218906
250,0.0,0,0.09950248756218906
251,0.0,0,0.09950248756218906
252,0.0,0,0.09950248756218906
253,0.0,0,0.09950248756218906
254,0.0,0,0.09950248756218906
255,0.0,0,0.09950248756218906
256,0.0,0,0.09950248756218906
257,0.0,0,0.09950248756218906
258,0.0,0,0.09950248756218906
259,0.0,0,0.09950248756218906
260,0.0,0,0.09950248756218906
261,0.0,0,0.09950248756218906
262,0.0,0,0.09950248756218906
263,0.0,0,0.09950248756218906
264,0.0,0,0.09950248756218906
265,0.0,0,0.09950248756218906
266,0.0,0,0.09950248756218906
267,0.0,0,0.09950248756218906
268,0.0,0,0.09950248756218906
269,0.0,0,0.09950248756218906
270,0.0,0,0.09950248756218906
271,0.0,0,0.09950248756218906
272,0.0,0,0.09950248756218906
273,0.0,0,0.09950248756218906
274,0.0,0,0.09950248756218906
275,0.0,0,0.09950248756218906
276,0.0,0,0.09950248756218906
277,0.0,0,0.09950248756218906
278,0.0,0,0.09950248756218906
279,0.0,0,0.09950248756218906
280,0.0,0,0.09950248756218906
281,0.0,0,0.09950248756218906
282,0.0,0,0.09950248756218906
283,0.0,0,0.09950248756218906
284,0.0,0,0.09950248756218906
285,0.0,0,0.09950248756218906
286,0.0,0,0.09950248756218906
287,0.0,0,0.09950248756218906
288,0.0,0,0.09950248756218906
289,0.0,0,0.09950248756218906
290,0.0,0,0.09950248756218906
291,0.0,0,0.09950248756218906
292,0.0,0,0.09950248756218906
293,0.0,0,0.09950248756218906
294,0.0,0,0.09950248756218906
295,0.0,0,0.09950248756218906
296,0.0,0,0.09950248756218906
297,0.0,0,0.09950248756218906
298,0.0,0,0.09950248756218906
299,0.0,0,0.09950248756218906
300,0.0,0,0.09950248756218906
301,0.0,0,0.09950248756218906
302,0.0,0,0.09950248756218906
303,0.0,0,0.09950248756218906
304,0.0,0,0.09950248756218906
305,0.0,0,0.09950248756218906
306,0.0,0,0.09950248756218906
307,0.0,0,0.09950248756218906
308,0.0,0,0.09950248756218906
309,0.0,0,0.09950248756218906
310,0.0,0,0.09950248756218906
311,0.0,0,0.09950248756218906
312,0.0,0,0.09950248756218906
313,0.0,0,0.09950248756218906
314,0.0,0,0.09950248756218906
315,0.0,0,0.09950248756218906
316,0.0,0,0.09950248756218906
317,0.0,0,0.09950248756218906
318,0.0,0,0.09950248756218906
319,0.0,0,0.09950248756218906
320,0.0,0,0.09950248756218906
321,0.0,0,0.09950248756218906
322,0.0,0,0.09950248756218906
323,0.0,0,0.09950248756218906
324,0.0,0,0.09950248756218906
325,0.0,0,0.09950248756218906
326,0.0,0,0.09950248756218906
327,0.0,0,0.09950248756218906
328,0.0,0,0.09950248756218906
329,0.0,0,0.09950248756218906
330,0.0,0,0.09950248756218906
331,0.0,0,0.09950248756218906
332,0.0,0,0.09950248756218906
333,0.0,0,0.09950248756218906
334,0.0,0,0.09950248756218906
335,0.0,0,0.09950248756218906
336,0.0,0,0.09950248756218906
337,0.0,0,0.09950248756218906
338,0.0,0,0.09950248756218906
339,0.0,0,0.09950248756218906
340,0.0,0,0.09950248756218906
341,0.0,0,0.09950248756218906
342,0.0,0,0.09950248756218906
343,0.0,0,0.09950248756218906
344,0.0,0,0.09950248756218906
345,0.0,0,0.09950248756218906
346,0.0,0,0.09950248756218906
347,0.0,0,0.09950248756218906
348,0.0,0,0.09950248756218906
349,0.0,0,0.09950248756218906
350,0.0,0,0.09950248756218906
351,0.0,0,0.09950248756218906
352,0.0,0,0.09950248756218906
353,0.0,0,0.09950248756218906
354,0.0,0,0.09950248756218906
355,0.0,0,0.09950248756218906
356,0.0,0,0.09950248756218906
357,0.0,0,0.09950248756218906
358,0.0,0,0.09950248756218906
359,0.0,0,0.09950248756218906
360,0.0,0,0.09950248756218906
361,0.0,0,0.09950248756218906
362,0.0,0,0.09950248756218906
363,0.0,0,0.09950248756218906
364,0.0,0,0.09950248756218906
365,0.0,0,0.09950248756218906
