treatment,seed,births,parents_near_lower_boundary,parents_near_upper_boundary,observed_raw_increment,kernel_raw_reference,observed_weighted,kernel_weighted_reference,weighted_difference
baseline,0,7519,2,6317,-11139,-10828.820895522387,-135.21612143849526,-135.1450254760798,-0.0710959624154629
baseline,1,7684,0,5099,-6248,-4902.977114427861,-77.34803837037326,-60.51639226619179,-16.83164610418147
baseline,2,7532,0,6257,-11362,-10992.327860696518,-142.46855147525608,-137.35522474466043,-5.1133267305956425
baseline,3,7615,1,6219,-9175,-10758.869651741294,-111.48770525346063,-134.42308017356513,22.93537492010451
baseline,4,7512,0,6582,-10322,-11517.073631840796,-126.59297407897533,-143.02692907107001,16.43395499209468
no-mutation,0,7430,3,6397,0,0.0,0.0,0.0,0.0
no-mutation,1,7550,0,6797,0,0.0,0.0,0.0,0.0
no-mutation,2,7565,3,5076,0,0.0,0.0,0.0,0.0
no-mutation,3,7524,1,5855,0,0.0,0.0,0.0,0.0
no-mutation,4,7499,2,6865,0,0.0,0.0,0.0,0.0
