stock,remaining_capacity,renewal,probability_per_thousand,packet,mean_exact,mean,variance_exact,variance,lost_nominal_mean_exact,lost_nominal_mean,positive_probability_exact,positive_probability
0,24,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
0,24,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
0,24,rare-large,5,12,3/50,0.06,1791/2500,0.7164,0,0.0,1/200,0.005
1,23,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
1,23,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
1,23,rare-large,5,12,3/50,0.06,1791/2500,0.7164,0,0.0,1/200,0.005
2,22,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
2,22,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
2,22,rare-large,5,12,3/50,0.06,1791/2500,0.7164,0,0.0,1/200,0.005
3,21,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
3,21,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
3,21,rare-large,5,12,3/50,0.06,1791/2500,0.7164,0,0.0,1/200,0.005
4,20,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
4,20,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
4,20,rare-large,5,12,3/50,0.06,1791/2500,0.7164,0,0.0,1/200,0.005
5,19,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
5,19,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
5,19,rare-large,5,12,3/50,0.06,1791/2500,0.7164,0,0.0,1/200,0.005
6,18,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
6,18,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
6,18,rare-large,5,12,3/50,0.06,1791/2500,0.7164,0,0.0,1/200,0.005
7,17,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
7,17,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
7,17,rare-large,5,12,3/50,0.06,1791/2500,0.7164,0,0.0,1/200,0.005
8,16,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
8,16,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
8,16,rare-large,5,12,3/50,0.06,1791/2500,0.7164,0,0.0,1/200,0.005
9,15,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
9,15,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
9,15,rare-large,5,12,3/50,0.06,1791/2500,0.7164,0,0.0,1/200,0.005
10,14,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
10,14,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
10,14,rare-large,5,12,3/50,0.06,1791/2500,0.7164,0,0.0,1/200,0.005
11,13,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
11,13,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
11,13,rare-large,5,12,3/50,0.06,1791/2500,0.7164,0,0.0,1/200,0.005
12,12,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
12,12,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
12,12,rare-large,5,12,3/50,0.06,1791/2500,0.7164,0,0.0,1/200,0.005
13,11,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
13,11,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
13,11,rare-large,5,12,11/200,0.055,24079/40000,0.601975,1/200,0.005,1/200,0.005
14,10,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
14,10,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
14,10,rare-large,5,12,1/20,0.05,199/400,0.4975,1/100,0.01,1/200,0.005
15,9,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
15,9,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
15,9,rare-large,5,12,9/200,0.045,16119/40000,0.402975,3/200,0.015,1/200,0.005
16,8,frequent-small,60,1,3/50,0.06,141/2500,0.0564,0,0.0,3/50,0.06
16,8,reference,15,4,3/50,0.06,591/2500,0.2364,0,0.0,3/200,0.015
16,8,rare-large,5,12,1/25,0.04,199/625,0.3184,1/50,0.02,1/200,0.005
