arm,birth_threshold,renewal,seed,partition,ticks,actual_added,uncapped,discarded,expected_added,expected_cap_loss,expected_added_value,expected_cap_loss_value,actual_minus_expected,actual_minus_expected_value,realized_discard_fraction,expected_loss_fraction
block,40,frequent-small,1700,all,100,6087,6250,163,149523/25,4077/25,5980.92,163.08,2652/25,106.08,0.02608,0.02654296875
block,40,frequent-small,1700,active,100,6087,6250,163,149523/25,4077/25,5980.92,163.08,2652/25,106.08,0.02608,0.02654296875
block,40,frequent-small,1700,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,frequent-small,1701,all,100,6040,6177,137,300303/50,6897/50,6006.06,137.94,1697/50,33.94,0.02217905131941072,0.022451171875
block,40,frequent-small,1701,active,100,6040,6177,137,300303/50,6897/50,6006.06,137.94,1697/50,33.94,0.02217905131941072,0.022451171875
block,40,frequent-small,1701,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,frequent-small,1702,all,100,5832,6020,188,297507/50,9693/50,5950.14,193.86,-5907/50,-118.14,0.03122923588039867,0.031552734375
block,40,frequent-small,1702,active,100,5832,6020,188,297507/50,9693/50,5950.14,193.86,-5907/50,-118.14,0.03122923588039867,0.031552734375
block,40,frequent-small,1702,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,frequent-small,1703,all,100,6079,6204,125,150141/25,3459/25,6005.64,138.36,1834/25,73.36,0.02014829142488717,0.02251953125
block,40,frequent-small,1703,active,86,5222,5347,125,128637/25,3459/25,5145.48,138.36,1913/25,76.52,0.023377594913035347,0.026185501453488372
block,40,frequent-small,1703,empty,14,857,857,0,21504/25,0,860.16,0.0,-79/25,-3.16,0.0,0.0
block,40,frequent-small,1704,all,100,5955,6133,178,298623/50,8577/50,5972.46,171.54,-873/50,-17.46,0.029023316484591555,0.027919921875
block,40,frequent-small,1704,active,100,5955,6133,178,298623/50,8577/50,5972.46,171.54,-873/50,-17.46,0.029023316484591555,0.027919921875
block,40,frequent-small,1704,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,frequent-small,1705,all,100,5872,6109,237,295443/50,11757/50,5908.86,235.14,-1843/50,-36.86,0.03879522016696677,0.038271484375
block,40,frequent-small,1705,active,100,5872,6109,237,295443/50,11757/50,5908.86,235.14,-1843/50,-36.86,0.03879522016696677,0.038271484375
block,40,frequent-small,1705,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,frequent-small,1706,all,100,5786,5978,192,296943/50,10257/50,5938.86,205.14,-7643/50,-152.86,0.03211776513884242,0.033388671875
block,40,frequent-small,1706,active,100,5786,5978,192,296943/50,10257/50,5938.86,205.14,-7643/50,-152.86,0.03211776513884242,0.033388671875
block,40,frequent-small,1706,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,frequent-small,1707,all,100,6014,6172,158,299541/50,7659/50,5990.82,153.18,1159/50,23.18,0.02559948152948801,0.024931640625
block,40,frequent-small,1707,active,100,6014,6172,158,299541/50,7659/50,5990.82,153.18,1159/50,23.18,0.02559948152948801,0.024931640625
block,40,frequent-small,1707,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,frequent-small,1708,all,100,5908,6093,185,149079/25,4521/25,5963.16,180.84,-1379/25,-55.16,0.030362711308058427,0.02943359375
block,40,frequent-small,1708,active,100,5908,6093,185,149079/25,4521/25,5963.16,180.84,-1379/25,-55.16,0.030362711308058427,0.02943359375
block,40,frequent-small,1708,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,frequent-small,1709,all,100,5959,6128,169,29937/5,783/5,5987.4,156.6,-142/5,-28.4,0.027578328981723237,0.02548828125
block,40,frequent-small,1709,active,100,5959,6128,169,29937/5,783/5,5987.4,156.6,-142/5,-28.4,0.027578328981723237,0.02548828125
block,40,frequent-small,1709,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,reference,1700,all,100,6176,6360,184,11943/2,345/2,5971.5,172.5,409/2,204.5,0.028930817610062894,0.028076171875
block,40,reference,1700,active,100,6176,6360,184,11943/2,345/2,5971.5,172.5,409/2,204.5,0.028930817610062894,0.028076171875
block,40,reference,1700,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,reference,1701,all,100,6204,6340,136,149988/25,3612/25,5999.52,144.48,5112/25,204.48,0.02145110410094637,0.023515625
block,40,reference,1701,active,100,6204,6340,136,149988/25,3612/25,5999.52,144.48,5112/25,204.48,0.02145110410094637,0.023515625
block,40,reference,1701,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,reference,1702,all,100,6036,6252,216,148713/25,4887/25,5948.52,195.48,2187/25,87.48,0.0345489443378119,0.03181640625
block,40,reference,1702,active,100,6036,6252,216,148713/25,4887/25,5948.52,195.48,2187/25,87.48,0.0345489443378119,0.03181640625
block,40,reference,1702,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,reference,1703,all,100,5964,6064,100,300081/50,7119/50,6001.62,142.38,-1881/50,-37.62,0.016490765171503958,0.023173828125
block,40,reference,1703,active,100,5964,6064,100,300081/50,7119/50,6001.62,142.38,-1881/50,-37.62,0.016490765171503958,0.023173828125
block,40,reference,1703,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,reference,1704,all,100,6052,6204,152,149586/25,4014/25,5983.44,160.56,1714/25,68.56,0.024500322372662798,0.0261328125
block,40,reference,1704,active,100,6052,6204,152,149586/25,4014/25,5983.44,160.56,1714/25,68.56,0.024500322372662798,0.0261328125
block,40,reference,1704,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,reference,1705,all,100,5704,5984,280,294777/50,12423/50,5895.54,248.46,-9577/50,-191.54,0.04679144385026738,0.040439453125
block,40,reference,1705,active,100,5704,5984,280,294777/50,12423/50,5895.54,248.46,-9577/50,-191.54,0.04679144385026738,0.040439453125
block,40,reference,1705,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,reference,1706,all,100,5900,6100,200,148632/25,4968/25,5945.28,198.72,-1132/25,-45.28,0.03278688524590164,0.03234375
block,40,reference,1706,active,100,5900,6100,200,148632/25,4968/25,5945.28,198.72,-1132/25,-45.28,0.03278688524590164,0.03234375
block,40,reference,1706,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,reference,1707,all,100,6072,6232,160,11937/2,351/2,5968.5,175.5,207/2,103.5,0.025673940949935817,0.028564453125
block,40,reference,1707,active,100,6072,6232,160,11937/2,351/2,5968.5,175.5,207/2,103.5,0.025673940949935817,0.028564453125
block,40,reference,1707,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,reference,1708,all,100,5812,6020,208,5928,216,5928.0,216.0,-116,-116.0,0.0345514950166113,0.03515625
block,40,reference,1708,active,100,5812,6020,208,5928,216,5928.0,216.0,-116,-116.0,0.0345514950166113,0.03515625
block,40,reference,1708,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,reference,1709,all,100,5804,6032,228,149403/25,4197/25,5976.12,167.88,-4303/25,-172.12,0.03779840848806366,0.02732421875
block,40,reference,1709,active,100,5804,6032,228,149403/25,4197/25,5976.12,167.88,-4303/25,-172.12,0.03779840848806366,0.02732421875
block,40,reference,1709,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,rare-large,1700,all,100,6312,6540,228,290363/50,16837/50,5807.26,336.74,25237/50,504.74,0.03486238532110092,0.054807942708333335
block,40,rare-large,1700,active,100,6312,6540,228,290363/50,16837/50,5807.26,336.74,25237/50,504.74,0.03486238532110092,0.054807942708333335
block,40,rare-large,1700,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,rare-large,1701,all,100,5888,6216,328,293657/50,13543/50,5873.14,270.86,743/50,14.86,0.05276705276705277,0.04408528645833333
block,40,rare-large,1701,active,100,5888,6216,328,293657/50,13543/50,5873.14,270.86,743/50,14.86,0.05276705276705277,0.04408528645833333
block,40,rare-large,1701,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,rare-large,1702,all,100,6068,6492,424,290693/50,16507/50,5813.86,330.14,12707/50,254.14,0.06531115218730746,0.05373372395833333
block,40,rare-large,1702,active,100,6068,6492,424,290693/50,16507/50,5813.86,330.14,12707/50,254.14,0.06531115218730746,0.05373372395833333
block,40,rare-large,1702,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,rare-large,1703,all,100,5468,5736,268,292637/50,14563/50,5852.74,291.26,-19237/50,-384.74,0.046722454672245464,0.047405598958333336
block,40,rare-large,1703,active,100,5468,5736,268,292637/50,14563/50,5852.74,291.26,-19237/50,-384.74,0.046722454672245464,0.047405598958333336
block,40,rare-large,1703,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,rare-large,1704,all,100,5820,6072,252,146918/25,6682/25,5876.72,267.28,-1418/25,-56.72,0.041501976284584984,0.04350260416666667
block,40,rare-large,1704,active,100,5820,6072,252,146918/25,6682/25,5876.72,267.28,-1418/25,-56.72,0.041501976284584984,0.04350260416666667
block,40,rare-large,1704,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,rare-large,1705,all,100,5808,6144,336,143453/25,10147/25,5738.12,405.88,1747/25,69.88,0.0546875,0.06606119791666666
block,40,rare-large,1705,active,100,5808,6144,336,143453/25,10147/25,5738.12,405.88,1747/25,69.88,0.0546875,0.06606119791666666
block,40,rare-large,1705,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,rare-large,1706,all,100,5772,5988,216,57949/10,3491/10,5794.9,349.1,-229/10,-22.9,0.036072144288577156,0.05681966145833333
block,40,rare-large,1706,active,100,5772,5988,216,57949/10,3491/10,5794.9,349.1,-229/10,-22.9,0.036072144288577156,0.05681966145833333
block,40,rare-large,1706,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,rare-large,1707,all,100,5596,5856,260,293909/50,13291/50,5878.18,265.82,-14109/50,-282.18,0.04439890710382514,0.043264973958333335
block,40,rare-large,1707,active,100,5596,5856,260,293909/50,13291/50,5878.18,265.82,-14109/50,-282.18,0.04439890710382514,0.043264973958333335
block,40,rare-large,1707,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,rare-large,1708,all,100,5712,6072,360,289511/50,17689/50,5790.22,353.78,-3911/50,-78.22,0.05928853754940711,0.05758138020833333
block,40,rare-large,1708,active,100,5712,6072,360,289511/50,17689/50,5790.22,353.78,-3911/50,-78.22,0.05928853754940711,0.05758138020833333
block,40,rare-large,1708,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,40,rare-large,1709,all,100,5256,5628,372,146519/25,7081/25,5860.76,283.24,-15119/25,-604.76,0.06609808102345416,0.046100260416666664
block,40,rare-large,1709,active,100,5256,5628,372,146519/25,7081/25,5860.76,283.24,-15119/25,-604.76,0.06609808102345416,0.046100260416666664
block,40,rare-large,1709,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,frequent-small,1700,all,100,5576,6146,570,140043/25,13557/25,5601.72,542.28,-643/25,-25.72,0.09274324764074195,0.08826171875
block,160,frequent-small,1700,active,100,5576,6146,570,140043/25,13557/25,5601.72,542.28,-643/25,-25.72,0.09274324764074195,0.08826171875
block,160,frequent-small,1700,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,frequent-small,1701,all,100,5611,6180,569,279639/50,27561/50,5592.78,551.22,911/50,18.22,0.09207119741100324,0.089716796875
block,160,frequent-small,1701,active,100,5611,6180,569,279639/50,27561/50,5592.78,551.22,911/50,18.22,0.09207119741100324,0.089716796875
block,160,frequent-small,1701,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,frequent-small,1702,all,100,5376,6086,710,136209/25,17391/25,5448.36,695.64,-1809/25,-72.36,0.11666118961551102,0.11322265625
block,160,frequent-small,1702,active,100,5376,6086,710,136209/25,17391/25,5448.36,695.64,-1809/25,-72.36,0.11666118961551102,0.11322265625
