treatment,seed,initial_mean,final_mean,birth_sorting,death_sorting,transmitted_mutation,net_change,ticks_checked
baseline,0,444.3875,957.0410958904109,440.73657634929106,207.13314097961518,-135.21612143849526,512.653595890411,5000
baseline,1,524.1625,939.7263157894737,502.4827485719272,-9.57089441208026,-77.34803837037326,415.56381578947367,5000
baseline,2,484.9875,983.6190476190476,514.4331787348743,126.66692035942938,-142.46855147525608,498.63154761904764,5000
baseline,3,519.4625,950.1666666666666,511.56266146370126,30.629210456426037,-111.48770525346063,430.70416666666665,5000
baseline,4,467.8375,985.75,501.73546603152016,142.77000804745515,-126.59297407897533,517.9125,5000
no-mutation,0,444.3875,984.0,378.1502024247827,161.46229757521732,0.0,539.6125,5000
no-mutation,1,524.1625,966.0,308.99989723283574,132.83760276716427,0.0,441.8375,5000
no-mutation,2,484.9875,960.0,394.23685818007095,80.77564181992904,0.0,475.0125,5000
no-mutation,3,519.4625,963.0,291.4952593559337,152.0422406440663,0.0,443.5375,5000
no-mutation,4,467.8375,989.0,416.0624850947271,105.1000149052729,0.0,521.1625,5000
