treatment,seed,start_tick,end_tick,mean_before_window,mean_after_window,births,deaths,birth_sorting,death_sorting,transmitted_mutation,net_change
baseline,0,1,1000,444.3875,940.843373493976,1605,1602,371.4470471006243,136.21823147755572,-11.209405084204109,496.4558734939759
baseline,0,1001,2000,940.843373493976,976.296875,1454,1473,31.240035293118183,35.11827878940655,-30.90481257650064,35.4535015060241
baseline,0,2001,3000,976.296875,956.3589743589744,1496,1482,12.571016457666492,-9.281316772267393,-23.227600326424742,-19.937900641025642
baseline,0,3001,4000,956.3589743589744,997.8767123287671,1524,1529,35.57819256078171,31.13362371346124,-25.194078304450187,41.51773796979276
baseline,0,4001,5000,997.8767123287671,957.0410958904109,1440,1440,-10.099715062899621,13.944323771459043,-44.68022514691559,-40.83561643835616
baseline,1,1,1000,524.1625,927.6705882352941,1596,1591,294.79247252389933,111.1879721691412,-2.472356457746412,403.5080882352941
baseline,1,1001,2000,927.6705882352941,903.5428571428571,1504,1519,48.467617126571504,-46.68056995854192,-25.91477826046655,-24.127731092436974
baseline,1,2001,3000,903.5428571428571,866.1222222222223,1548,1528,15.011820532618437,-29.787650863789278,-22.64480458946408,-37.42063492063492
baseline,1,3001,4000,866.1222222222223,925.438596491228,1515,1548,76.62856675514051,-15.874778902766423,-1.4374135833682444,59.31637426900585
baseline,1,4001,5000,925.438596491228,939.7263157894737,1521,1483,67.58227163369743,-28.41586685612384,-24.87868547932797,14.287719298245614
baseline,2,1,1000,484.9875,961.3387096774194,1567,1585,381.75462079553324,126.84943745300387,-32.25284857111777,476.3512096774194
baseline,2,1001,2000,961.3387096774194,935.2021276595744,1507,1475,15.418856650381265,-9.005856469191128,-32.54958219903502,-26.136582017844887
baseline,2,2001,3000,935.2021276595744,958.9857142857143,1482,1506,57.541889568596545,-12.195987705001244,-21.562315237455483,23.78358662613982
baseline,2,3001,4000,958.9857142857143,985.2105263157895,1476,1470,28.539471660513783,17.659422844204393,-19.974082474642987,26.22481203007519
baseline,2,4001,5000,985.2105263157895,983.6190476190476,1500,1492,31.178340059849475,3.3599042364134952,-36.129722993004826,-1.5914786967418546
baseline,3,1,1000,519.4625,965.6585365853658,1605,1603,354.52266319185503,107.5451973164492,-15.871823922938393,446.19603658536585
baseline,3,1001,2000,965.6585365853658,922.4623655913979,1483,1472,27.13800568930257,-53.8287172224787,-16.50545946079187,-43.196170993968
baseline,3,2001,3000,922.4623655913979,929.3157894736842,1511,1528,39.732592650653025,-29.229744456911128,-3.649424311455538,6.853423882286361
baseline,3,3001,4000,929.3157894736842,964.6666666666666,1530,1507,60.81758501500936,19.365076406931454,-44.831784228958355,35.35087719298246
baseline,3,4001,5000,964.6666666666666,950.1666666666666,1486,1507,29.35181491688126,-13.222601587564784,-30.629213329316475,-14.5
baseline,4,1,1000,467.8375,944.3,1569,1579,386.97920486366723,114.30319534020622,-24.819900203873463,476.4625
baseline,4,1001,2000,944.3,964.7042253521126,1512,1511,18.97385897392649,27.683630906725906,-26.253264528539717,20.404225352112675
baseline,4,2001,3000,964.7042253521126,952.3582089552239,1463,1467,37.33098964561591,-13.860929000791668,-35.81607704171303,-12.346016396888796
baseline,4,3001,4000,952.3582089552239,967.5909090909091,1474,1475,27.785950080870233,4.818512650297695,-17.371762595482718,15.23270013568521
baseline,4,4001,5000,967.5909090909091,985.75,1494,1500,30.665462467440317,9.825598151016996,-22.331969709366405,18.15909090909091
no-mutation,0,1,1000,444.3875,964.8901098901099,1545,1534,337.7124265860354,182.79018330407447,0.0,520.5026098901099
no-mutation,0,1001,2000,964.8901098901099,975.2352941176471,1494,1500,37.543621332111535,-27.198437104574367,0.0,10.34518422753717
no-mutation,0,2001,3000,975.2352941176471,984.0,1465,1492,2.8941545066357546,5.870551375717186,0.0,8.764705882352942
no-mutation,0,3001,4000,984.0,984.0,1457,1435,0.0,0.0,0.0,0.0
no-mutation,0,4001,5000,984.0,984.0,1469,1452,0.0,0.0,0.0,0.0
no-mutation,1,1,1000,524.1625,952.5205479452055,1590,1597,284.4451929203713,143.91285502483416,0.0,428.3580479452055
no-mutation,1,1001,2000,952.5205479452055,966.0,1555,1544,24.554704312464402,-11.075252257669883,0.0,13.479452054794521
no-mutation,1,2001,3000,966.0,966.0,1499,1506,0.0,0.0,0.0,0.0
no-mutation,1,3001,4000,966.0,966.0,1452,1461,0.0,0.0,0.0,0.0
no-mutation,1,4001,5000,966.0,966.0,1454,1446,0.0,0.0,0.0,0.0
no-mutation,2,1,1000,484.9875,937.421052631579,1617,1621,350.3187695913393,102.11478304023969,0.0,452.43355263157895
no-mutation,2,1001,2000,937.421052631579,916.6666666666666,1511,1491,6.233857825180949,-26.98824379009323,0.0,-20.75438596491228
no-mutation,2,2001,3000,916.6666666666666,925.7142857142857,1475,1480,10.724941499318493,-1.6773224516994467,0.0,9.047619047619047
no-mutation,2,3001,4000,925.7142857142857,960.0,1472,1489,26.959289264232268,7.326425021482017,0.0,34.285714285714285
no-mutation,2,4001,5000,960.0,960.0,1490,1476,0.0,0.0,0.0,0.0
no-mutation,3,1,1000,519.4625,934.734693877551,1601,1583,281.5160776909309,133.7561161866201,0.0,415.27219387755105
no-mutation,3,1001,2000,934.734693877551,950.0909090909091,1486,1507,10.255812604466438,5.100402608891632,0.0,15.356215213358071
no-mutation,3,2001,3000,950.0909090909091,957.2584269662922,1481,1469,-4.239725075095314,11.407242950478357,0.0,7.1675178753830435
no-mutation,3,3001,4000,957.2584269662922,963.0,1471,1491,3.963094135631652,1.7784788980762132,0.0,5.741573033707865
no-mutation,3,4001,5000,963.0,963.0,1485,1462,0.0,0.0,0.0,0.0
no-mutation,4,1,1000,467.8375,976.4684684684685,1619,1588,404.23710172793017,104.39386674053831,0.0,508.6309684684685
no-mutation,4,1001,2000,976.4684684684685,989.0,1466,1483,11.825383366796943,0.706148164734588,0.0,12.531531531531531
no-mutation,4,2001,3000,989.0,989.0,1482,1506,0.0,0.0,0.0,0.0
no-mutation,4,3001,4000,989.0,989.0,1480,1468,0.0,0.0,0.0,0.0
no-mutation,4,4001,5000,989.0,989.0,1452,1457,0.0,0.0,0.0,0.0
