source,parent_index,valid,reason,valid_to_valid,weight_changes,active_changes,behavior_comparable,behavior_changes,conditional_mean_tv,valid_to_invalid,invalid_to_invalid,invalid_to_valid
83000,0,True,developed,20,7,2,20,1,9/640,,,
83000,1,True,developed,20,14,11,20,7,51/800,,,
83000,2,True,developed,19,13,5,19,2,7/76,1,,
83000,3,False,empty_structure,,0,0,0,0,,,20,
83000,4,True,developed,20,9,4,20,4,1/80,,,
83001,0,False,empty_structure,,0,0,0,0,,,20,
83001,1,True,developed,20,13,6,20,5,81/3200,,,
83001,2,False,empty_structure,,0,0,0,0,,,20,
83001,3,False,empty_structure,,0,0,0,0,,,20,
83001,4,False,empty_structure,,0,0,0,0,,,20,
83002,0,False,empty_structure,,0,0,0,0,,,20,
83002,1,False,empty_structure,,0,0,0,0,,,20,
83002,2,False,empty_structure,,1,1,0,0,,,19,1
83002,3,False,empty_structure,,0,0,0,0,,,20,
83002,4,False,empty_structure,,0,0,0,0,,,20,
83003,0,False,empty_structure,,0,0,0,0,,,20,
83003,1,False,empty_structure,,2,2,0,0,,,18,2
83003,2,False,empty_structure,,0,0,0,0,,,20,
83003,3,False,empty_structure,,0,0,0,0,,,20,
83003,4,False,empty_structure,,0,0,0,0,,,20,
83004,0,False,empty_structure,,0,0,0,0,,,20,
83004,1,True,developed,15,9,5,15,0,0,5,,
83004,2,False,empty_structure,,0,0,0,0,,,20,
83004,3,False,empty_structure,,0,0,0,0,,,20,
83004,4,False,empty_structure,,0,0,0,0,,,20,
83005,0,False,empty_structure,,2,2,0,0,,,18,2
83005,1,False,empty_structure,,0,0,0,0,,,20,
83005,2,False,empty_structure,,0,0,0,0,,,20,
83005,3,False,empty_structure,,0,0,0,0,,,20,
83005,4,False,empty_structure,,0,0,0,0,,,20,
83006,0,False,empty_structure,,0,0,0,0,,,20,
83006,1,False,empty_structure,,0,0,0,0,,,20,
83006,2,False,empty_structure,,0,0,0,0,,,20,
83006,3,False,empty_structure,,1,1,0,0,,,19,1
83006,4,True,developed,20,14,6,20,6,219/3200,,,
83007,0,False,empty_structure,,0,0,0,0,,,20,
83007,1,False,empty_structure,,0,0,0,0,,,20,
83007,2,False,empty_structure,,0,0,0,0,,,20,
83007,3,False,empty_structure,,3,3,0,0,,,17,3
83007,4,True,developed,19,13,5,19,1,3/95,1,,
83008,0,False,empty_structure,,0,0,0,0,,,20,
83008,1,False,empty_structure,,0,0,0,0,,,20,
83008,2,False,empty_structure,,0,0,0,0,,,20,
83008,3,True,developed,20,13,6,20,6,39/640,,,
83008,4,True,developed,20,8,2,20,2,1/160,,,
83009,0,False,empty_structure,,0,0,0,0,,,20,
83009,1,True,developed,20,12,2,20,2,9/200,,,
83009,2,False,empty_structure,,1,1,0,0,,,19,1
83009,3,False,empty_structure,,0,0,0,0,,,20,
83009,4,False,empty_structure,,0,0,0,0,,,20,
83010,0,False,empty_structure,,0,0,0,0,,,20,
83010,1,False,empty_structure,,0,0,0,0,,,20,
83010,2,False,empty_structure,,0,0,0,0,,,20,
83010,3,True,developed,19,8,2,19,1,1/95,1,,
83010,4,False,empty_structure,,0,0,0,0,,,20,
83011,0,False,empty_structure,,0,0,0,0,,,20,
83011,1,False,empty_structure,,0,0,0,0,,,20,
83011,2,False,empty_structure,,0,0,0,0,,,20,
83011,3,False,empty_structure,,0,0,0,0,,,20,
