source,parents,valid_parents,valid_to_valid,weight_changes,active_changes,behavior_comparable,behavior_changes,valid_to_invalid,invalid_to_invalid,conditional_parent_equal_mean_tv,invalid_to_valid
83000,5,4,79,43,22,79,14,1,20,11091/243200,
83001,5,1,20,13,6,20,5,,80,81/3200,
83002,5,0,,1,1,0,0,,99,,1
83003,5,0,,2,2,0,0,,98,,2
83004,5,1,15,9,5,15,0,5,80,0,
83005,5,0,,2,2,0,0,,98,,2
83006,5,1,20,15,7,20,6,,79,219/3200,1
83007,5,1,19,16,8,19,1,1,77,3/95,3
83008,5,2,40,21,8,40,8,,60,43/1280,
83009,5,1,20,13,3,20,2,,79,9/200,1
83010,5,1,19,8,2,19,1,1,80,1/95,
83011,5,0,,0,0,0,0,,100,,
83012,5,1,19,9,3,19,1,1,80,3/380,
83013,5,1,19,17,11,19,6,1,76,173/3040,4
83014,5,1,19,13,5,19,3,1,80,23/1520,
83015,5,3,60,39,28,60,23,,40,47/360,
83016,5,1,20,6,1,20,1,,80,1/400,
83017,5,1,19,12,7,19,6,1,80,7/380,
83018,5,1,18,9,5,18,3,2,80,23/576,
83019,5,1,18,12,5,18,3,2,80,1/40,
