source,parent_index,coordinate,delta,parent_valid,variant_valid,variant_reason,transition,silent_genotype,weights_changed,active_sites_changed,cost_change,behavior_tv
83000,0,0,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,0,0,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,0,1,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,0,1,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,0,2,-1,True,True,developed,valid_to_valid,False,True,True,0,0
83000,0,2,1,True,True,developed,valid_to_valid,True,False,False,0,0
83000,0,3,-1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,0,3,1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,0,4,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,0,4,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,0,5,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,0,5,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,0,6,-1,True,True,developed,valid_to_valid,True,False,False,0,0
83000,0,6,1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,0,7,-1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,0,7,1,True,True,developed,valid_to_valid,True,False,False,0,0
83000,0,8,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,0,8,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,0,9,-1,True,True,developed,valid_to_valid,False,True,True,-33,9/32
83000,0,9,1,True,True,developed,valid_to_valid,False,True,False,35,0
83000,1,0,-1,True,True,developed,valid_to_valid,False,True,True,-3,1/10
83000,1,0,1,True,True,developed,valid_to_valid,False,True,True,-1,0
83000,1,1,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,1,1,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,1,2,-1,True,True,developed,valid_to_valid,False,True,True,1,13/40
83000,1,2,1,True,True,developed,valid_to_valid,False,True,True,-1,9/40
83000,1,3,-1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,1,3,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,1,4,-1,True,True,developed,valid_to_valid,False,True,True,1,1/8
83000,1,4,1,True,True,developed,valid_to_valid,False,True,True,0,0
83000,1,5,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,1,5,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,1,6,-1,True,True,developed,valid_to_valid,False,True,True,-6,1/5
83000,1,6,1,True,True,developed,valid_to_valid,False,True,True,2,0
83000,1,7,-1,True,True,developed,valid_to_valid,True,False,False,0,0
83000,1,7,1,True,True,developed,valid_to_valid,False,True,True,-5,1/5
83000,1,8,-1,True,True,developed,valid_to_valid,False,True,True,2,0
83000,1,8,1,True,True,developed,valid_to_valid,False,True,True,-1,1/10
83000,1,9,-1,True,True,developed,valid_to_valid,False,True,False,-35,0
83000,1,9,1,True,True,developed,valid_to_valid,False,True,False,35,0
83000,2,0,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,2,0,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,2,1,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,2,1,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,2,2,-1,True,True,developed,valid_to_valid,False,True,True,0,3/4
83000,2,2,1,True,True,developed,valid_to_valid,False,True,True,0,1
83000,2,3,-1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,2,3,1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,2,4,-1,True,True,developed,valid_to_valid,False,True,True,0,0
83000,2,4,1,True,True,developed,valid_to_valid,False,True,True,0,0
83000,2,5,-1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,2,5,1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,2,6,-1,True,True,developed,valid_to_valid,True,False,False,0,0
83000,2,6,1,True,False,empty_structure,valid_to_invalid,False,True,True,-2,
83000,2,7,-1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,2,7,1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,2,8,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,2,8,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,2,9,-1,True,True,developed,valid_to_valid,False,True,False,-35,0
83000,2,9,1,True,True,developed,valid_to_valid,False,True,False,35,0
83000,3,0,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,0,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,1,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,1,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,2,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,2,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,3,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,3,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,4,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,4,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,5,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,5,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,6,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,6,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,7,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,7,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,8,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,8,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83000,3,9,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,-35,
83000,3,9,1,False,False,empty_structure,invalid_to_invalid,False,False,False,35,
83000,4,0,-1,True,True,developed,valid_to_valid,False,True,True,0,9/160
83000,4,0,1,True,True,developed,valid_to_valid,False,True,True,0,1/20
83000,4,1,-1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,4,1,1,True,True,developed,valid_to_valid,False,True,False,0,0
83000,4,2,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,4,2,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,4,3,-1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,4,3,1,True,True,developed,valid_to_valid,False,False,False,0,0
83000,4,4,-1,True,True,developed,valid_to_valid,True,False,False,0,0
